node_id,admin_level,certification,department,established_year,funding_source,institution_name,institution_type,staff_count
0,regional,HIPAA_compliant,radiology,1976,research_grant,mayo_clinic,tier1_hospital,1765
1,regional,FedRAMP,oncology,2009,public,johns_hopkins,tier2_hospital,3677
2,local,ISO27001,cardiology,1968,private,stanford_med,research_center,463
3,national,SOC2,neurology,1985,public,mass_general,mobile_unit,2572
4,national,FedRAMP,pathology,1966,research_grant,ucla_health,edge_device,3081
5,local,SOC2,radiology,1989,research_grant,mayo_clinic,tier1_hospital,4151
6,regional,FedRAMP,oncology,2017,research_grant,johns_hopkins,tier2_hospital,2008
7,regional,FedRAMP,cardiology,1989,private,stanford_med,research_center,380
8,international,HIPAA_compliant,neurology,2017,mixed,mass_general,mobile_unit,720
9,international,SOC2,pathology,1956,private,ucla_health,edge_device,514
10,local,HIPAA_compliant,radiology,1970,private,mayo_clinic,tier1_hospital,928
11,international,ISO27001,oncology,1980,research_grant,johns_hopkins,tier2_hospital,2263
12,regional,SOC2,cardiology,1951,public,stanford_med,research_center,3066
13,international,ISO27001,neurology,2019,public,mass_general,mobile_unit,4384
14,international,ISO27001,pathology,1970,public,ucla_health,edge_device,1391
15,international,FedRAMP,radiology,1961,mixed,mayo_clinic,tier1_hospital,4070
16,regional,ISO27001,oncology,1999,mixed,johns_hopkins,tier2_hospital,4021
17,international,SOC2,cardiology,1993,mixed,stanford_med,research_center,1812
18,local,SOC2,neurology,2019,public,mass_general,mobile_unit,3992
19,international,HIPAA_compliant,pathology,1955,research_grant,ucla_health,edge_device,1578
20,national,FedRAMP,radiology,1973,research_grant,mayo_clinic,tier1_hospital,3108
21,international,SOC2,oncology,1961,public,johns_hopkins,tier2_hospital,2597
22,international,ISO27001,cardiology,1980,private,stanford_med,research_center,4692
23,international,HIPAA_compliant,neurology,1996,public,mass_general,mobile_unit,4576
24,international,ISO27001,pathology,1950,private,ucla_health,edge_device,4683
