accuracy,active_nodes,aggregator_node,avg_bandwidth_mbps,current_epoch,event_type,loss,metrics,network_density,node_type_distribution,num_active_nodes,num_nodes,num_participating_nodes,num_source_nodes,num_target_nodes,num_updated_nodes,organizational_entities,param_convergence,param_summary,participating_nodes,round_num,source_nodes,step_name,strategy_name,target_nodes,timestamp,topology_type,total_cpu_cores,total_edges,total_epochs,total_gpus,total_memory_gb,updated_nodes
,,,3436.0,,NetworkStructureEvent,,,0.08333333333333333,"{'tier1_hospital': 5, 'tier2_hospital': 5, 'research_center': 5, 'mobile_unit': 5, 'edge_device': 5}",,25,,,,,5,,,,0,,network_structure,,,1749358809.7827477,ring,1324,25,,169,6336,
,,,,,InitialStateEvent,,,,,,25,,,,,,,,,0,,initial_state,,,1749358809.7829168,ring,,,,,,
0.0769,,,,,EvaluationEvent,2.385212449645996,"{'loss': 2.385212449645996, 'accuracy': 0.0769}",,,,,,,,,,,,,0,,evaluation,,,1749358814.3146296,,,,,,,
,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24",,,,LocalTrainingEvent,,{},,,25,,,,,,,,,,1,,local_training,,,1749358814.314759,,,,1,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{0: {'norm': 3.328721761703491, 'mean': 0.009708037599921227, 'std': 0.19590641558170319}}",,1,0,parameter_transfer,,"24,1",1749358824.3924956,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{1: {'norm': 3.333678960800171, 'mean': 0.008609398268163204, 'std': 0.19625015556812286}}",,1,1,parameter_transfer,,"0,2",1749358824.3925495,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{2: {'norm': 3.306917190551758, 'mean': 0.008412745781242847, 'std': 0.19468027353286743}}",,1,2,parameter_transfer,,"1,3",1749358824.39257,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{3: {'norm': 3.311269521713257, 'mean': 0.009067387320101261, 'std': 0.19490762054920197}}",,1,3,parameter_transfer,,"2,4",1749358824.3925872,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{4: {'norm': 3.3141398429870605, 'mean': 0.008056649006903172, 'std': 0.19512130320072174}}",,1,4,parameter_transfer,,"3,5",1749358824.3926034,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{5: {'norm': 3.289796829223633, 'mean': 0.008208206854760647, 'std': 0.19367927312850952}}",,1,5,parameter_transfer,,"4,6",1749358824.3926196,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{6: {'norm': 3.305277109146118, 'mean': 0.007930888794362545, 'std': 0.1946037858724594}}",,1,6,parameter_transfer,,"5,7",1749358824.3926353,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{7: {'norm': 3.313657760620117, 'mean': 0.00913938321173191, 'std': 0.19504514336585999}}",,1,7,parameter_transfer,,"6,8",1749358824.3926513,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{8: {'norm': 3.294875383377075, 'mean': 0.009132339619100094, 'std': 0.1939374953508377}}",,1,8,parameter_transfer,,"7,9",1749358824.3926666,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{9: {'norm': 3.295987606048584, 'mean': 0.008781999349594116, 'std': 0.19401927292346954}}",,1,9,parameter_transfer,,"8,10",1749358824.3927293,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{10: {'norm': 3.312061309814453, 'mean': 0.009155447594821453, 'std': 0.19495022296905518}}",,1,10,parameter_transfer,,"9,11",1749358824.3927455,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{11: {'norm': 3.298717975616455, 'mean': 0.008320178836584091, 'std': 0.19420066475868225}}",,1,11,parameter_transfer,,"10,12",1749358824.3927617,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{12: {'norm': 3.2911376953125, 'mean': 0.008981204591691494, 'std': 0.19372408092021942}}",,1,12,parameter_transfer,,"11,13",1749358824.3927772,,,,,,,
