accuracy,active_nodes,aggregator_node,avg_bandwidth_mbps,current_epoch,event_type,loss,metrics,network_density,node_type_distribution,num_active_nodes,num_nodes,num_participating_nodes,num_source_nodes,num_target_nodes,num_updated_nodes,organizational_entities,param_convergence,param_summary,participating_nodes,round_num,source_nodes,step_name,strategy_name,target_nodes,timestamp,topology_type,total_cpu_cores,total_edges,total_epochs,total_gpus,total_memory_gb,updated_nodes
,,,3600.0,,NetworkStructureEvent,,,1.0,"{'tier1_hospital': 1, 'tier2_hospital': 1, 'research_center': 1, 'mobile_unit': 1, 'edge_device': 1}",,5,,,,,5,,,,0,,network_structure,,,1749405276.7051492,complete,370,10,,34,1704,
,,,,,InitialStateEvent,,,,,,5,,,,,,,,,0,,initial_state,,,1749405276.7052994,complete,,,,,,
0.02695956065901148,,,,,EvaluationEvent,2.4891877014876247,"{'loss': 2.4891877014876247, 'accuracy': 0.02695956065901148}",,,,,,,,,,,,,0,,evaluation,,,1749405291.4476657,,,,,,,
,"0,1,2,3,4",,,,LocalTrainingEvent,,{},,,5,,,,,,,,,,1,,local_training,,,1749405291.4477987,,,,1,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{0: {'norm': 3.3212289810180664, 'mean': 0.005116999614983797, 'std': 0.1128745749592781}}",,1,0,parameter_transfer,,"1,2,3,4",1749405343.2414258,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{1: {'norm': 3.318140983581543, 'mean': 0.005340081173926592, 'std': 0.1127590760588646}}",,1,1,parameter_transfer,,"0,2,3,4",1749405343.2415054,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{2: {'norm': 3.3203089237213135, 'mean': 0.005182600114494562, 'std': 0.11284025758504868}}",,1,2,parameter_transfer,,"0,1,3,4",1749405343.241537,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{3: {'norm': 3.3191001415252686, 'mean': 0.005096792243421078, 'std': 0.11280298978090286}}",,1,3,parameter_transfer,,"0,1,2,4",1749405343.2415664,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{4: {'norm': 3.319913625717163, 'mean': 0.0051004113629460335, 'std': 0.11283053457736969}}",,1,4,parameter_transfer,,"0,1,2,3",1749405343.2415879,,,,,,,
,,0,,,AggregationEvent,,,,,,,5,,,,,,,"0,1,2,3,4",1,,aggregation,GossipAvg,,1749405343.2416182,,,,,,,
,,1,,,AggregationEvent,,,,,,,5,,,,,,,"1,0,2,3,4",1,,aggregation,GossipAvg,,1749405343.2416341,,,,,,,
,,2,,,AggregationEvent,,,,,,,5,,,,,,,"2,0,1,3,4",1,,aggregation,GossipAvg,,1749405343.2416444,,,,,,,
,,3,,,AggregationEvent,,,,,,,5,,,,,,,"3,0,1,2,4",1,,aggregation,GossipAvg,,1749405343.2416523,,,,,,,
,,4,,,AggregationEvent,,,,,,,5,,,,,,,"4,0,1,2,3",1,,aggregation,GossipAvg,,1749405343.241661,,,,,,,
,,,,,ModelUpdateEvent,,,,,,,,,,5,,6.59323887371949,,,1,,model_update,,,1749405345.4740598,,,,,,,"0,1,2,3,4"
0.6674987518721918,,,,,EvaluationEvent,1.2579164040784983,"{'loss': 1.2579164040784983, 'accuracy': 0.6674987518721918}",,,,,,,,,,,,,1,,evaluation,,,1749405345.9796102,,,,,,,
,"0,1,2,3,4",,,,LocalTrainingEvent,,{},,,5,,,,,,,,,,2,,local_training,,,1749405345.9797454,,,,1,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{0: {'norm': 3.3191864490509033, 'mean': 0.005267261993139982, 'std': 0.11279809474945068}}",,2,0,parameter_transfer,,"1,2,3,4",1749405388.7212071,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{1: {'norm': 3.3197412490844727, 'mean': 0.005255293101072311, 'std': 0.11281755566596985}}",,2,1,parameter_transfer,,"0,2,3,4",1749405388.7212584,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{2: {'norm': 3.3175296783447266, 'mean': 0.00532845314592123, 'std': 0.11273879557847977}}",,2,2,parameter_transfer,,"0,1,3,4",1749405388.721284,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{3: {'norm': 3.3168227672576904, 'mean': 0.005216790363192558, 'std': 0.11271995306015015}}",,2,3,parameter_transfer,,"0,1,2,4",1749405388.7213058,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{4: {'norm': 3.316467523574829, 'mean': 0.005279215052723885, 'std': 0.11270494759082794}}",,2,4,parameter_transfer,,"0,1,2,3",1749405388.721326,,,,,,,
,,0,,,AggregationEvent,,,,,,,5,,,,,,,"0,1,2,3,4",2,,aggregation,GossipAvg,,1749405388.7213488,,,,,,,
,,1,,,AggregationEvent,,,,,,,5,,,,,,,"1,0,2,3,4",2,,aggregation,GossipAvg,,1749405388.7213788,,,,,,,
,,2,,,AggregationEvent,,,,,,,5,,,,,,,"2,0,1,3,4",2,,aggregation,GossipAvg,,1749405388.7213893,,,,,,,
,,3,,,AggregationEvent,,,,,,,5,,,,,,,"3,0,1,2,4",2,,aggregation,GossipAvg,,1749405388.721398,,,,,,,
,,4,,,AggregationEvent,,,,,,,5,,,,,,,"4,0,1,2,3",2,,aggregation,GossipAvg,,1749405388.721406,,,,,,,
,,,,,ModelUpdateEvent,,,,,,,,,,5,,6.922931130989033,,,2,,model_update,,,1749405390.6033556,,,,,,,"0,1,2,3,4"
0.6674987518721918,,,,,EvaluationEvent,1.386316130890944,"{'loss': 1.386316130890944, 'accuracy': 0.6674987518721918}",,,,,,,,,,,,,2,,evaluation,,,1749405391.11048,,,,,,,
,"0,1,2,3,4",,,,LocalTrainingEvent,,{},,,5,,,,,,,,,,3,,local_training,,,1749405391.110609,,,,1,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{0: {'norm': 3.320164918899536, 'mean': 0.005348147824406624, 'std': 0.1128276139497757}}",,3,0,parameter_transfer,,"1,2,3,4",1749405431.7518315,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{1: {'norm': 3.31990122795105, 'mean': 0.0051956078968942165, 'std': 0.11282576620578766}}",,3,1,parameter_transfer,,"0,2,3,4",1749405431.75189,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{2: {'norm': 3.3188018798828125, 'mean': 0.005296757910400629, 'std': 0.11278361827135086}}",,3,2,parameter_transfer,,"0,1,3,4",1749405431.7519238,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{3: {'norm': 3.319199800491333, 'mean': 0.005269455723464489, 'std': 0.11279845982789993}}",,3,3,parameter_transfer,,"0,1,2,4",1749405431.7519488,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{4: {'norm': 3.3150553703308105, 'mean': 0.005250426009297371, 'std': 0.11265819519758224}}",,3,4,parameter_transfer,,"0,1,2,3",1749405431.7519746,,,,,,,
,,0,,,AggregationEvent,,,,,,,5,,,,,,,"0,1,2,3,4",3,,aggregation,GossipAvg,,1749405431.7520053,,,,,,,
,,1,,,AggregationEvent,,,,,,,5,,,,,,,"1,0,2,3,4",3,,aggregation,GossipAvg,,1749405431.7520192,,,,,,,
,,2,,,AggregationEvent,,,,,,,5,,,,,,,"2,0,1,3,4",3,,aggregation,GossipAvg,,1749405431.7520287,,,,,,,
,,3,,,AggregationEvent,,,,,,,5,,,,,,,"3,0,1,2,4",3,,aggregation,GossipAvg,,1749405431.752038,,,,,,,
,,4,,,AggregationEvent,,,,,,,5,,,,,,,"4,0,1,2,3",3,,aggregation,GossipAvg,,1749405431.7520452,,,,,,,
,,,,,ModelUpdateEvent,,,,,,,,,,5,,6.9277647672147635,,,3,,model_update,,,1749405433.6339648,,,,,,,"0,1,2,3,4"
0.6674987518721918,,,,,EvaluationEvent,1.5936892433161742,"{'loss': 1.5936892433161742, 'accuracy': 0.6674987518721918}",,,,,,,,,,,,,3,,evaluation,,,1749405434.1414595,,,,,,,
