param_summary,round_num,source_node,strategy_name,target_node,timestamp,transfer_type
"{'norm': 3.282701253890991, 'mean': -0.0005169742507860065, 'std': 0.11167856305837631}",1,0,,6,1749407246.9548426,parameter_transfer
"{'norm': 3.282701253890991, 'mean': -0.0005169742507860065, 'std': 0.11167856305837631}",1,0,,1,1749407246.9548426,parameter_transfer
"{'norm': 3.2843477725982666, 'mean': -0.0005979362758807838, 'std': 0.11173417419195175}",1,1,,0,1749407246.9549072,parameter_transfer
"{'norm': 3.2843477725982666, 'mean': -0.0005979362758807838, 'std': 0.11173417419195175}",1,1,,2,1749407246.9549072,parameter_transfer
"{'norm': 3.2840073108673096, 'mean': -0.0005571214132942259, 'std': 0.11172280460596085}",1,2,,1,1749407246.9549332,parameter_transfer
"{'norm': 3.2840073108673096, 'mean': -0.0005571214132942259, 'std': 0.11172280460596085}",1,2,,3,1749407246.9549332,parameter_transfer
"{'norm': 3.283413887023926, 'mean': -0.0005698121385648847, 'std': 0.111702561378479}",1,3,,2,1749407246.9549565,parameter_transfer
"{'norm': 3.283413887023926, 'mean': -0.0005698121385648847, 'std': 0.111702561378479}",1,3,,4,1749407246.9549565,parameter_transfer
"{'norm': 3.283135414123535, 'mean': -0.0005371979204937816, 'std': 0.11169324070215225}",1,4,,3,1749407246.9549804,parameter_transfer
"{'norm': 3.283135414123535, 'mean': -0.0005371979204937816, 'std': 0.11169324070215225}",1,4,,5,1749407246.9549804,parameter_transfer
"{'norm': 3.2827892303466797, 'mean': -0.0005735040176659822, 'std': 0.11168128252029419}",1,5,,4,1749407246.9550078,parameter_transfer
"{'norm': 3.2827892303466797, 'mean': -0.0005735040176659822, 'std': 0.11168128252029419}",1,5,,6,1749407246.9550078,parameter_transfer
"{'norm': 3.282796621322632, 'mean': -0.0005481637781485915, 'std': 0.11168166995048523}",1,6,,5,1749407246.9550428,parameter_transfer
"{'norm': 3.282796621322632, 'mean': -0.0005481637781485915, 'std': 0.11168166995048523}",1,6,,0,1749407246.9550428,parameter_transfer
,1,6,GossipAvg,0,1749407246.955075,aggregation
,1,1,GossipAvg,0,1749407246.955075,aggregation
,1,0,GossipAvg,1,1749407246.955094,aggregation
,1,2,GossipAvg,1,1749407246.955094,aggregation
,1,1,GossipAvg,2,1749407246.9551055,aggregation
,1,3,GossipAvg,2,1749407246.9551055,aggregation
,1,2,GossipAvg,3,1749407246.9551156,aggregation
,1,4,GossipAvg,3,1749407246.9551156,aggregation
,1,3,GossipAvg,4,1749407246.9551244,aggregation
,1,5,GossipAvg,4,1749407246.9551244,aggregation
,1,4,GossipAvg,5,1749407246.9551337,aggregation
,1,6,GossipAvg,5,1749407246.9551337,aggregation
,1,5,GossipAvg,6,1749407246.955141,aggregation
,1,0,GossipAvg,6,1749407246.955141,aggregation
"{'norm': 3.282242774963379, 'mean': -0.0005851250025443733, 'std': 0.11166262626647949}",2,0,,6,1749407272.324008,parameter_transfer
"{'norm': 3.282242774963379, 'mean': -0.0005851250025443733, 'std': 0.11166262626647949}",2,0,,1,1749407272.324008,parameter_transfer
"{'norm': 3.2862515449523926, 'mean': -0.0005168624920770526, 'std': 0.11179935187101364}",2,1,,0,1749407272.3240545,parameter_transfer
"{'norm': 3.2862515449523926, 'mean': -0.0005168624920770526, 'std': 0.11179935187101364}",2,1,,2,1749407272.3240545,parameter_transfer
"{'norm': 3.2835540771484375, 'mean': -0.00053359818411991, 'std': 0.11170750856399536}",2,2,,1,1749407272.3240745,parameter_transfer
"{'norm': 3.2835540771484375, 'mean': -0.00053359818411991, 'std': 0.11170750856399536}",2,2,,3,1749407272.3240745,parameter_transfer
"{'norm': 3.283613920211792, 'mean': -0.0005912113119848073, 'std': 0.11170924454927444}",2,3,,2,1749407272.3240933,parameter_transfer
"{'norm': 3.283613920211792, 'mean': -0.0005912113119848073, 'std': 0.11170924454927444}",2,3,,4,1749407272.3240933,parameter_transfer
"{'norm': 3.283900499343872, 'mean': -0.000540666573215276, 'std': 0.11171925067901611}",2,4,,3,1749407272.3241103,parameter_transfer
"{'norm': 3.283900499343872, 'mean': -0.000540666573215276, 'std': 0.11171925067901611}",2,4,,5,1749407272.3241103,parameter_transfer
"{'norm': 3.2833640575408936, 'mean': -0.0005767333204858005, 'std': 0.11170082539319992}",2,5,,4,1749407272.324126,parameter_transfer
"{'norm': 3.2833640575408936, 'mean': -0.0005767333204858005, 'std': 0.11170082539319992}",2,5,,6,1749407272.324126,parameter_transfer
"{'norm': 3.282982587814331, 'mean': -0.00056260492419824, 'std': 0.11168792098760605}",2,6,,5,1749407272.324142,parameter_transfer
"{'norm': 3.282982587814331, 'mean': -0.00056260492419824, 'std': 0.11168792098760605}",2,6,,0,1749407272.324142,parameter_transfer
,2,6,GossipAvg,0,1749407272.3241615,aggregation
,2,1,GossipAvg,0,1749407272.3241615,aggregation
,2,0,GossipAvg,1,1749407272.3241742,aggregation
,2,2,GossipAvg,1,1749407272.3241742,aggregation
,2,1,GossipAvg,2,1749407272.3241823,aggregation
,2,3,GossipAvg,2,1749407272.3241823,aggregation
,2,2,GossipAvg,3,1749407272.3241894,aggregation
,2,4,GossipAvg,3,1749407272.3241894,aggregation
,2,3,GossipAvg,4,1749407272.3241963,aggregation
,2,5,GossipAvg,4,1749407272.3241963,aggregation
,2,4,GossipAvg,5,1749407272.3242033,aggregation
,2,6,GossipAvg,5,1749407272.3242033,aggregation
,2,5,GossipAvg,6,1749407272.3244417,aggregation
,2,0,GossipAvg,6,1749407272.3244417,aggregation
"{'norm': 3.283092737197876, 'mean': -0.0005464265705086291, 'std': 0.11169175058603287}",3,0,,6,1749407297.168468,parameter_transfer
"{'norm': 3.283092737197876, 'mean': -0.0005464265705086291, 'std': 0.11169175058603287}",3,0,,1,1749407297.168468,parameter_transfer
"{'norm': 3.284381866455078, 'mean': -0.0005746097303926945, 'std': 0.11173546314239502}",3,1,,0,1749407297.1685123,parameter_transfer
"{'norm': 3.284381866455078, 'mean': -0.0005746097303926945, 'std': 0.11173546314239502}",3,1,,2,1749407297.1685123,parameter_transfer
"{'norm': 3.283682107925415, 'mean': -0.0006011356017552316, 'std': 0.1117115244269371}",3,2,,1,1749407297.1685314,parameter_transfer
"{'norm': 3.283682107925415, 'mean': -0.0006011356017552316, 'std': 0.1117115244269371}",3,2,,3,1749407297.1685314,parameter_transfer
"{'norm': 3.2833452224731445, 'mean': -0.0005853553884662688, 'std': 0.111700139939785}",3,3,,2,1749407297.1685495,parameter_transfer
"{'norm': 3.2833452224731445, 'mean': -0.0005853553884662688, 'std': 0.111700139939785}",3,3,,4,1749407297.1685495,parameter_transfer
"{'norm': 3.2848684787750244, 'mean': -0.0005313704605214298, 'std': 0.1117522343993187}",3,4,,3,1749407297.1685655,parameter_transfer
"{'norm': 3.2848684787750244, 'mean': -0.0005313704605214298, 'std': 0.1117522343993187}",3,4,,5,1749407297.1685655,parameter_transfer
"{'norm': 3.2839856147766113, 'mean': -0.0005535751115530729, 'std': 0.11172208935022354}",3,5,,4,1749407297.168582,parameter_transfer
"{'norm': 3.2839856147766113, 'mean': -0.0005535751115530729, 'std': 0.11172208935022354}",3,5,,6,1749407297.168582,parameter_transfer
"{'norm': 3.2839267253875732, 'mean': -0.0005595573456957936, 'std': 0.11172004789113998}",3,6,,5,1749407297.1685967,parameter_transfer
"{'norm': 3.2839267253875732, 'mean': -0.0005595573456957936, 'std': 0.11172004789113998}",3,6,,0,1749407297.1685967,parameter_transfer
,3,6,GossipAvg,0,1749407297.1686165,aggregation
,3,1,GossipAvg,0,1749407297.1686165,aggregation
,3,0,GossipAvg,1,1749407297.1686282,aggregation
,3,2,GossipAvg,1,1749407297.1686282,aggregation
,3,1,GossipAvg,2,1749407297.168636,aggregation
,3,3,GossipAvg,2,1749407297.168636,aggregation
,3,2,GossipAvg,3,1749407297.168643,aggregation
,3,4,GossipAvg,3,1749407297.168643,aggregation
,3,3,GossipAvg,4,1749407297.1686504,aggregation
,3,5,GossipAvg,4,1749407297.1686504,aggregation
,3,4,GossipAvg,5,1749407297.1686566,aggregation
,3,6,GossipAvg,5,1749407297.1686566,aggregation
,3,5,GossipAvg,6,1749407297.1686625,aggregation
,3,0,GossipAvg,6,1749407297.1686625,aggregation
