param_summary,round_num,source_node,target_node,timestamp,transfer_type
"{'norm': 3.2129569053649902, 'mean': -0.0023701698519289494, 'std': 0.10928130894899368}",1,0,1,1749409081.7095385,parameter_transfer
"{'norm': 3.2129569053649902, 'mean': -0.0023701698519289494, 'std': 0.10928130894899368}",1,0,2,1749409081.7095385,parameter_transfer
"{'norm': 3.2129569053649902, 'mean': -0.0023701698519289494, 'std': 0.10928130894899368}",1,0,3,1749409081.7095385,parameter_transfer
"{'norm': 3.2129569053649902, 'mean': -0.0023701698519289494, 'std': 0.10928130894899368}",1,0,4,1749409081.7095385,parameter_transfer
"{'norm': 3.2129569053649902, 'mean': -0.0023701698519289494, 'std': 0.10928130894899368}",1,0,5,1749409081.7095385,parameter_transfer
"{'norm': 3.2129569053649902, 'mean': -0.0023701698519289494, 'std': 0.10928130894899368}",1,0,6,1749409081.7095385,parameter_transfer
"{'norm': 3.2124180793762207, 'mean': -0.0023971956688910723, 'std': 0.1092623844742775}",1,1,0,1749409081.7096,parameter_transfer
"{'norm': 3.2124180793762207, 'mean': -0.0023971956688910723, 'std': 0.1092623844742775}",1,1,2,1749409081.7096,parameter_transfer
"{'norm': 3.2124180793762207, 'mean': -0.0023971956688910723, 'std': 0.1092623844742775}",1,1,3,1749409081.7096,parameter_transfer
"{'norm': 3.2124180793762207, 'mean': -0.0023971956688910723, 'std': 0.1092623844742775}",1,1,4,1749409081.7096,parameter_transfer
"{'norm': 3.2124180793762207, 'mean': -0.0023971956688910723, 'std': 0.1092623844742775}",1,1,5,1749409081.7096,parameter_transfer
"{'norm': 3.2124180793762207, 'mean': -0.0023971956688910723, 'std': 0.1092623844742775}",1,1,6,1749409081.7096,parameter_transfer
"{'norm': 3.2139534950256348, 'mean': -0.0023343260399997234, 'std': 0.10931599885225296}",1,2,0,1749409081.7096303,parameter_transfer
"{'norm': 3.2139534950256348, 'mean': -0.0023343260399997234, 'std': 0.10931599885225296}",1,2,1,1749409081.7096303,parameter_transfer
"{'norm': 3.2139534950256348, 'mean': -0.0023343260399997234, 'std': 0.10931599885225296}",1,2,3,1749409081.7096303,parameter_transfer
"{'norm': 3.2139534950256348, 'mean': -0.0023343260399997234, 'std': 0.10931599885225296}",1,2,4,1749409081.7096303,parameter_transfer
"{'norm': 3.2139534950256348, 'mean': -0.0023343260399997234, 'std': 0.10931599885225296}",1,2,5,1749409081.7096303,parameter_transfer
"{'norm': 3.2139534950256348, 'mean': -0.0023343260399997234, 'std': 0.10931599885225296}",1,2,6,1749409081.7096303,parameter_transfer
"{'norm': 3.214810609817505, 'mean': -0.0024118791334331036, 'std': 0.10934347659349442}",1,3,0,1749409081.709658,parameter_transfer
"{'norm': 3.214810609817505, 'mean': -0.0024118791334331036, 'std': 0.10934347659349442}",1,3,1,1749409081.709658,parameter_transfer
"{'norm': 3.214810609817505, 'mean': -0.0024118791334331036, 'std': 0.10934347659349442}",1,3,2,1749409081.709658,parameter_transfer
"{'norm': 3.214810609817505, 'mean': -0.0024118791334331036, 'std': 0.10934347659349442}",1,3,4,1749409081.709658,parameter_transfer
"{'norm': 3.214810609817505, 'mean': -0.0024118791334331036, 'std': 0.10934347659349442}",1,3,5,1749409081.709658,parameter_transfer
"{'norm': 3.214810609817505, 'mean': -0.0024118791334331036, 'std': 0.10934347659349442}",1,3,6,1749409081.709658,parameter_transfer
"{'norm': 3.212219715118408, 'mean': -0.0023950294125825167, 'std': 0.10925569385290146}",1,4,0,1749409081.7096834,parameter_transfer
"{'norm': 3.212219715118408, 'mean': -0.0023950294125825167, 'std': 0.10925569385290146}",1,4,1,1749409081.7096834,parameter_transfer
"{'norm': 3.212219715118408, 'mean': -0.0023950294125825167, 'std': 0.10925569385290146}",1,4,2,1749409081.7096834,parameter_transfer
"{'norm': 3.212219715118408, 'mean': -0.0023950294125825167, 'std': 0.10925569385290146}",1,4,3,1749409081.7096834,parameter_transfer
"{'norm': 3.212219715118408, 'mean': -0.0023950294125825167, 'std': 0.10925569385290146}",1,4,5,1749409081.7096834,parameter_transfer
"{'norm': 3.212219715118408, 'mean': -0.0023950294125825167, 'std': 0.10925569385290146}",1,4,6,1749409081.7096834,parameter_transfer
"{'norm': 3.213811159133911, 'mean': -0.002341554732993245, 'std': 0.10931100696325302}",1,5,0,1749409081.7097085,parameter_transfer
"{'norm': 3.213811159133911, 'mean': -0.002341554732993245, 'std': 0.10931100696325302}",1,5,1,1749409081.7097085,parameter_transfer
"{'norm': 3.213811159133911, 'mean': -0.002341554732993245, 'std': 0.10931100696325302}",1,5,2,1749409081.7097085,parameter_transfer
"{'norm': 3.213811159133911, 'mean': -0.002341554732993245, 'std': 0.10931100696325302}",1,5,3,1749409081.7097085,parameter_transfer
"{'norm': 3.213811159133911, 'mean': -0.002341554732993245, 'std': 0.10931100696325302}",1,5,4,1749409081.7097085,parameter_transfer
"{'norm': 3.213811159133911, 'mean': -0.002341554732993245, 'std': 0.10931100696325302}",1,5,6,1749409081.7097085,parameter_transfer
"{'norm': 3.2134406566619873, 'mean': -0.002350573195144534, 'std': 0.10929819941520691}",1,6,0,1749409081.7097445,parameter_transfer
"{'norm': 3.2134406566619873, 'mean': -0.002350573195144534, 'std': 0.10929819941520691}",1,6,1,1749409081.7097445,parameter_transfer
"{'norm': 3.2134406566619873, 'mean': -0.002350573195144534, 'std': 0.10929819941520691}",1,6,2,1749409081.7097445,parameter_transfer
"{'norm': 3.2134406566619873, 'mean': -0.002350573195144534, 'std': 0.10929819941520691}",1,6,3,1749409081.7097445,parameter_transfer
"{'norm': 3.2134406566619873, 'mean': -0.002350573195144534, 'std': 0.10929819941520691}",1,6,4,1749409081.7097445,parameter_transfer
"{'norm': 3.2134406566619873, 'mean': -0.002350573195144534, 'std': 0.10929819941520691}",1,6,5,1749409081.7097445,parameter_transfer
"{'norm': 3.2095725536346436, 'mean': -0.002522408962249756, 'std': 0.10916272550821304}",2,0,1,1749409105.5719283,parameter_transfer
"{'norm': 3.2095725536346436, 'mean': -0.002522408962249756, 'std': 0.10916272550821304}",2,0,2,1749409105.5719283,parameter_transfer
"{'norm': 3.2095725536346436, 'mean': -0.002522408962249756, 'std': 0.10916272550821304}",2,0,3,1749409105.5719283,parameter_transfer
"{'norm': 3.2095725536346436, 'mean': -0.002522408962249756, 'std': 0.10916272550821304}",2,0,4,1749409105.5719283,parameter_transfer
"{'norm': 3.2095725536346436, 'mean': -0.002522408962249756, 'std': 0.10916272550821304}",2,0,5,1749409105.5719283,parameter_transfer
"{'norm': 3.2095725536346436, 'mean': -0.002522408962249756, 'std': 0.10916272550821304}",2,0,6,1749409105.5719283,parameter_transfer
"{'norm': 3.210693597793579, 'mean': -0.0023585641756653786, 'std': 0.10920454561710358}",2,1,0,1749409105.5719821,parameter_transfer
"{'norm': 3.210693597793579, 'mean': -0.0023585641756653786, 'std': 0.10920454561710358}",2,1,2,1749409105.5719821,parameter_transfer
"{'norm': 3.210693597793579, 'mean': -0.0023585641756653786, 'std': 0.10920454561710358}",2,1,3,1749409105.5719821,parameter_transfer
"{'norm': 3.210693597793579, 'mean': -0.0023585641756653786, 'std': 0.10920454561710358}",2,1,4,1749409105.5719821,parameter_transfer
"{'norm': 3.210693597793579, 'mean': -0.0023585641756653786, 'std': 0.10920454561710358}",2,1,5,1749409105.5719821,parameter_transfer
