node_id,admin_level,certification,department,established_year,funding_source,institution_name,institution_type,staff_count
0,international,HIPAA_compliant,radiology,1998,mixed,mayo_clinic,tier1_hospital,2457
1,local,ISO27001,oncology,1970,public,johns_hopkins,tier2_hospital,2872
2,national,SOC2,cardiology,1993,private,stanford_med,research_center,763
3,local,ISO27001,neurology,2020,research_grant,mass_general,mobile_unit,3290
4,local,HIPAA_compliant,pathology,2000,mixed,ucla_health,edge_device,3130
5,national,HIPAA_compliant,radiology,2012,mixed,mayo_clinic,tier1_hospital,561
6,international,FedRAMP,oncology,1996,private,johns_hopkins,tier2_hospital,2229
7,local,HIPAA_compliant,cardiology,1962,research_grant,stanford_med,research_center,4263
8,local,FedRAMP,neurology,1968,mixed,mass_general,mobile_unit,3003
9,regional,FedRAMP,pathology,1955,mixed,ucla_health,edge_device,2145
