activity_type,current_epoch,is_aggregator,metrics,param_convergence,round_num,strategy_name,timestamp,total_epochs
local_training,,,{},,1,,1749410332.9711742,1
aggregation,,False,,,1,GossipAvg,1749410356.426344,
aggregation,,True,,,1,GossipAvg,1749410356.4263573,
aggregation,,False,,,1,GossipAvg,1749410356.426365,
model_update,,,,1.2525149502168973,1,,1749410358.649245,
local_training,,,{},,2,,1749410359.1505628,1
aggregation,,False,,,2,GossipAvg,1749410371.3904817,
aggregation,,True,,,2,GossipAvg,1749410371.3904924,
aggregation,,False,,,2,GossipAvg,1749410371.3904994,
model_update,,,,1.407277482086652,2,,1749410373.2030318,
local_training,,,{},,3,,1749410373.7021563,1
aggregation,,False,,,3,GossipAvg,1749410386.0616407,
aggregation,,True,,,3,GossipAvg,1749410386.0616512,
aggregation,,False,,,3,GossipAvg,1749410386.0616581,
model_update,,,,1.4140811257798254,3,,1749410387.8760793,
