accuracy,active_nodes,aggregator_node,avg_bandwidth_mbps,current_epoch,event_type,loss,metrics,network_density,node_type_distribution,num_active_nodes,num_nodes,num_participating_nodes,num_source_nodes,num_target_nodes,num_updated_nodes,organizational_entities,param_convergence,param_summary,participating_nodes,round_num,source_nodes,step_name,strategy_name,target_nodes,timestamp,topology_type,total_cpu_cores,total_edges,total_epochs,total_gpus,total_memory_gb,updated_nodes
,,,3390.0,,NetworkStructureEvent,,,0.14285714285714285,"{'tier1_hospital': 3, 'tier2_hospital': 3, 'research_center': 3, 'mobile_unit': 3, 'edge_device': 3}",,15,,,,,5,,,,0,,network_structure,,,1749411933.765543,ring,1004,15,,107,3936,
,,,,,InitialStateEvent,,,,,,15,,,,,,,,,0,,initial_state,,,1749411933.7657037,ring,,,,,,
0.10434348477284074,,,,,EvaluationEvent,2.1027639985858233,"{'loss': 2.1027639985858233, 'accuracy': 0.10434348477284074}",,,,,,,,,,,,,0,,evaluation,,,1749411948.5536153,,,,,,,
,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",,,,LocalTrainingEvent,,{},,,15,,,,,,,,,,1,,local_training,,,1749411948.5537574,,,,1,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{0: {'norm': 3.297175168991089, 'mean': 0.0017883338732644916, 'std': 0.1121579185128212}}",,1,0,parameter_transfer,,"14,1",1749411962.593731,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{1: {'norm': 3.305262565612793, 'mean': 0.001174070523120463, 'std': 0.11244118958711624}}",,1,1,parameter_transfer,,"0,2",1749411962.5938034,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{2: {'norm': 3.3042099475860596, 'mean': 0.0007657455862499774, 'std': 0.11240889132022858}}",,1,2,parameter_transfer,,"1,3",1749411962.5938246,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{3: {'norm': 3.3049814701080322, 'mean': 0.001456318306736648, 'std': 0.11242832243442535}}",,1,3,parameter_transfer,,"2,4",1749411962.5938427,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{4: {'norm': 3.3093020915985107, 'mean': 0.00035347859375178814, 'std': 0.112584188580513}}",,1,4,parameter_transfer,,"3,5",1749411962.5938601,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{5: {'norm': 3.3048737049102783, 'mean': 0.0018473201198503375, 'std': 0.11241890490055084}}",,1,5,parameter_transfer,,"4,6",1749411962.5938764,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{6: {'norm': 3.2997052669525146, 'mean': 0.000927426153793931, 'std': 0.11225441843271255}}",,1,6,parameter_transfer,,"5,7",1749411962.5938928,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{7: {'norm': 3.3010404109954834, 'mean': 0.0015969768865033984, 'std': 0.1122923195362091}}",,1,7,parameter_transfer,,"6,8",1749411962.5939097,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{8: {'norm': 3.305598020553589, 'mean': 0.0015357083175331354, 'std': 0.11244823783636093}}",,1,8,parameter_transfer,,"7,9",1749411962.5939255,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{9: {'norm': 3.3016083240509033, 'mean': 0.0015318277291953564, 'std': 0.11231254786252975}}",,1,9,parameter_transfer,,"8,10",1749411962.593941,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{10: {'norm': 3.3028151988983154, 'mean': 0.0016300422139465809, 'std': 0.11235222965478897}}",,1,10,parameter_transfer,,"9,11",1749411962.593956,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{11: {'norm': 3.3028805255889893, 'mean': 0.0015452177030965686, 'std': 0.11235564947128296}}",,1,11,parameter_transfer,,"10,12",1749411962.593973,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{12: {'norm': 3.2989110946655273, 'mean': 0.0014004845870658755, 'std': 0.11222249269485474}}",,1,12,parameter_transfer,,"11,13",1749411962.5939896,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{13: {'norm': 3.3027164936065674, 'mean': 0.0018266885308548808, 'std': 0.11234584450721741}}",,1,13,parameter_transfer,,"12,14",1749411962.5940588,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{14: {'norm': 3.3025569915771484, 'mean': 0.0018878327682614326, 'std': 0.11233940720558167}}",,1,14,parameter_transfer,,"13,0",1749411962.5940752,,,,,,,
,,0,,,AggregationEvent,,,,,,,3,,,,,,,"0,14,1",1,,aggregation,GossipAvg,,1749411962.5940979,,,,,,,
,,1,,,AggregationEvent,,,,,,,3,,,,,,,"1,0,2",1,,aggregation,GossipAvg,,1749411962.5941133,,,,,,,
,,2,,,AggregationEvent,,,,,,,3,,,,,,,"2,1,3",1,,aggregation,GossipAvg,,1749411962.5941226,,,,,,,
,,3,,,AggregationEvent,,,,,,,3,,,,,,,"3,2,4",1,,aggregation,GossipAvg,,1749411962.5941312,,,,,,,
,,4,,,AggregationEvent,,,,,,,3,,,,,,,"4,3,5",1,,aggregation,GossipAvg,,1749411962.594138,,,,,,,
,,5,,,AggregationEvent,,,,,,,3,,,,,,,"5,4,6",1,,aggregation,GossipAvg,,1749411962.5941448,,,,,,,
,,6,,,AggregationEvent,,,,,,,3,,,,,,,"6,5,7",1,,aggregation,GossipAvg,,1749411962.594152,,,,,,,
,,7,,,AggregationEvent,,,,,,,3,,,,,,,"7,6,8",1,,aggregation,GossipAvg,,1749411962.5941591,,,,,,,
,,8,,,AggregationEvent,,,,,,,3,,,,,,,"8,7,9",1,,aggregation,GossipAvg,,1749411962.594166,,,,,,,
,,9,,,AggregationEvent,,,,,,,3,,,,,,,"9,8,10",1,,aggregation,GossipAvg,,1749411962.5941727,,,,,,,
,,10,,,AggregationEvent,,,,,,,3,,,,,,,"10,9,11",1,,aggregation,GossipAvg,,1749411962.5941792,,,,,,,
,,11,,,AggregationEvent,,,,,,,3,,,,,,,"11,10,12",1,,aggregation,GossipAvg,,1749411962.594186,,,,,,,
,,12,,,AggregationEvent,,,,,,,3,,,,,,,"12,11,13",1,,aggregation,GossipAvg,,1749411962.5941932,,,,,,,
