node_id,admin_level,certification,department,established_year,funding_source,institution_name,institution_type,staff_count
0,national,FedRAMP,radiology,1976,public,mayo_clinic,tier1_hospital,2789
1,national,FedRAMP,oncology,1977,mixed,johns_hopkins,tier2_hospital,2928
2,national,HIPAA_compliant,cardiology,1991,mixed,stanford_med,research_center,3715
3,international,ISO27001,neurology,1961,public,mass_general,mobile_unit,2434
4,local,ISO27001,pathology,1985,public,ucla_health,edge_device,1411
5,local,SOC2,radiology,2008,public,mayo_clinic,tier1_hospital,1442
6,international,HIPAA_compliant,oncology,2005,mixed,johns_hopkins,tier2_hospital,3598
7,national,ISO27001,cardiology,2000,public,stanford_med,research_center,1471
8,national,HIPAA_compliant,neurology,2015,public,mass_general,mobile_unit,1817
9,regional,ISO27001,pathology,2010,mixed,ucla_health,edge_device,185
10,regional,FedRAMP,radiology,1956,public,mayo_clinic,tier1_hospital,3143
11,national,ISO27001,oncology,1991,public,johns_hopkins,tier2_hospital,478
12,national,HIPAA_compliant,cardiology,1958,public,stanford_med,research_center,1573
13,regional,ISO27001,neurology,1981,mixed,mass_general,mobile_unit,4627
14,international,HIPAA_compliant,pathology,1991,public,ucla_health,edge_device,2781
