timestamp,round_num,node_id,parameter_norm,parameter_summary
1749416981.4750125,1,0,3.310288429260254,"{'norm': 3.310288429260254, 'mean': -0.0028599633369594812, 'std': 0.11258198320865631}"
1749416981.4750645,1,1,3.3164961338043213,"{'norm': 3.3164961338043213, 'mean': -0.0024647181853652, 'std': 0.11280256509780884}"
1749416981.4751012,1,2,3.3149068355560303,"{'norm': 3.3149068355560303, 'mean': -0.002193526830524206, 'std': 0.11275409162044525}"
1749416981.4751189,1,3,3.3161509037017822,"{'norm': 3.3161509037017822, 'mean': -0.0020861218217760324, 'std': 0.11279845982789993}"
1749416981.4751358,1,4,3.3193187713623047,"{'norm': 3.3193187713623047, 'mean': -0.002956587355583906, 'std': 0.11288680881261826}"
1749416981.4751525,1,5,3.3321008682250977,"{'norm': 3.3321008682250977, 'mean': -0.0008236448047682643, 'std': 0.11335738003253937}"
1749416981.47517,1,6,3.3149051666259766,"{'norm': 3.3149051666259766, 'mean': -0.0024839977268129587, 'std': 0.11274800449609756}"
1749417014.7713704,2,0,3.3164005279541016,"{'norm': 3.3164005279541016, 'mean': -0.0018368310993537307, 'std': 0.11281128227710724}"
1749417014.771416,2,1,3.315936803817749,"{'norm': 3.315936803817749, 'mean': -0.001227583852596581, 'std': 0.11280377954244614}"
1749417014.7714357,2,2,3.317716598510742,"{'norm': 3.317716598510742, 'mean': -0.0007064039818942547, 'std': 0.11286880075931549}"
1749417014.771453,2,3,3.3158652782440186,"{'norm': 3.3158652782440186, 'mean': -0.0017402844969183207, 'std': 0.11279460042715073}"
1749417014.771469,2,4,3.3190269470214844,"{'norm': 3.3190269470214844, 'mean': -0.0013288339832797647, 'std': 0.112907774746418}"
1749417014.7714863,2,5,3.3286750316619873,"{'norm': 3.3286750316619873, 'mean': -0.0012157774763181806, 'std': 0.11323730647563934}"
1749417014.7715015,2,6,3.31608247756958,"{'norm': 3.31608247756958, 'mean': -0.00158951326739043, 'std': 0.11280421912670135}"
1749417047.3612058,3,0,3.32126522064209,"{'norm': 3.32126522064209, 'mean': -0.0014272761764004827, 'std': 0.11298272758722305}"
1749417047.3612514,3,1,3.3211679458618164,"{'norm': 3.3211679458618164, 'mean': -0.001143270405009389, 'std': 0.11298263818025589}"
1749417047.3612704,3,2,3.3229446411132812,"{'norm': 3.3229446411132812, 'mean': -0.0006298146327026188, 'std': 0.11304712295532227}"
1749417047.3612902,3,3,3.3199830055236816,"{'norm': 3.3199830055236816, 'mean': -0.001018827548250556, 'std': 0.11294351518154144}"
1749417047.3613062,3,4,3.323568105697632,"{'norm': 3.323568105697632, 'mean': -0.001084623159840703, 'std': 0.11306488513946533}"
1749417047.3613222,3,5,3.3368730545043945,"{'norm': 3.3368730545043945, 'mean': -0.0009679836803115904, 'std': 0.1135186031460762}"
1749417047.361338,3,6,3.3201160430908203,"{'norm': 3.3201160430908203, 'mean': -0.0012379264226183295, 'std': 0.11294585466384888}"
