accuracy,active_nodes,aggregator_node,avg_bandwidth_mbps,current_epoch,event_type,loss,metrics,network_density,node_type_distribution,num_active_nodes,num_nodes,num_participating_nodes,num_source_nodes,num_target_nodes,num_updated_nodes,organizational_entities,param_convergence,param_summary,participating_nodes,round_num,source_nodes,step_name,strategy_name,target_nodes,timestamp,topology_type,total_cpu_cores,total_edges,total_epochs,total_gpus,total_memory_gb,updated_nodes
,,,5600.0,,NetworkStructureEvent,,,0.2,"{'tier1_hospital': 1, 'tier2_hospital': 1, 'research_center': 1, 'mobile_unit': 1, 'edge_device': 1}",,5,,,,,5,,,,0,,network_structure,,,1749420921.978778,line,176,2,,43,896,
,,,,,InitialStateEvent,,,,,,5,,,,,,,,,0,,initial_state,,,1749420921.9789314,line,,,,,,
0.10883674488267599,,,,,EvaluationEvent,1.9334921759483044,"{'loss': 1.9334921759483044, 'accuracy': 0.10883674488267599}",,,,,,,,,,,,,0,,evaluation,,,1749420935.9836564,,,,,,,
,"0,1,2,3,4",,,,LocalTrainingEvent,,{},,,5,,,,,,,,,,1,,local_training,,,1749420935.9838004,,,,1,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{0: {'norm': 3.399810552597046, 'mean': -0.002341699553653598, 'std': 0.11564018577337265}}",,1,0,parameter_transfer,,1,1749420958.7946947,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{1: {'norm': 3.398848295211792, 'mean': -0.0024407890159636736, 'std': 0.11560540646314621}}",,1,1,parameter_transfer,,0,1749420958.7947502,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{2: {'norm': 3.4066684246063232, 'mean': -0.0028678595554083586, 'std': 0.11586172133684158}}",,1,2,parameter_transfer,,1,1749420958.7947752,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{3: {'norm': 3.4044229984283447, 'mean': -0.0014322483912110329, 'std': 0.11581196635961533}}",,1,3,parameter_transfer,,2,1749420958.7947907,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{4: {'norm': 3.4073383808135986, 'mean': -0.0032612455543130636, 'std': 0.11587413400411606}}",,1,4,parameter_transfer,,3,1749420958.7948062,,,,,,,
,,0,,,AggregationEvent,,,,,,,2,,,,,,,"0,1",1,,aggregation,GossipAvg,,1749420958.7948325,,,,,,,
,,1,,,AggregationEvent,,,,,,,2,,,,,,,"1,0",1,,aggregation,GossipAvg,,1749420958.7948456,,,,,,,
,,2,,,AggregationEvent,,,,,,,2,,,,,,,"2,1",1,,aggregation,GossipAvg,,1749420958.7948534,,,,,,,
