node_id,city,country,latitude,longitude,region,timezone
0,Rochester,USA,44.045796,-92.429632,north_america,America/Chicago
1,Baltimore,USA,39.264181,-76.598303,europe,America/New_York
2,Palo Alto,USA,37.419338,-122.09745,asia_pacific,America/Los_Angeles
3,Boston,USA,42.330361,-71.028796,south_america,America/New_York
4,Los Angeles,USA,34.027042,-118.222175,africa,America/Los_Angeles
5,London,UK,51.476098,-0.12096,north_america,Europe/London
6,Paris,France,48.817506,2.306461,europe,Europe/Paris
7,Tokyo,Japan,35.672111,139.635007,asia_pacific,Asia/Tokyo
8,Singapore,Singapore,1.309705,103.803845,south_america,Asia/Singapore
9,Sydney,Australia,-33.839674,151.167952,africa,Australia/Sydney
10,Rochester,USA,43.97723,-92.490899,north_america,America/Chicago
11,Baltimore,USA,39.339422,-76.596169,europe,America/New_York
12,Palo Alto,USA,37.48494,-122.134327,asia_pacific,America/Los_Angeles
13,Boston,USA,42.355988,-71.054502,south_america,America/New_York
14,Los Angeles,USA,34.014312,-118.206066,africa,America/Los_Angeles
