timestamp,round_num,node_id,parameter_norm,parameter_summary
1749427724.2569509,1,0,3.1903676986694336,"{'norm': 3.1903676986694336, 'mean': -0.003449659561738372, 'std': 0.1084836795926094}"
1749427724.2570002,1,1,3.1852259635925293,"{'norm': 3.1852259635925293, 'mean': -0.0026942600961774588, 'std': 0.10833009332418442}"
1749427724.2570179,1,2,3.1815364360809326,"{'norm': 3.1815364360809326, 'mean': -0.0018897481495514512, 'std': 0.10822156816720963}"
1749427724.257034,1,3,3.188120126724243,"{'norm': 3.188120126724243, 'mean': -0.0027883618604391813, 'std': 0.10842619836330414}"
1749427724.2570477,1,4,3.1838223934173584,"{'norm': 3.1838223934173584, 'mean': -0.0020910415332764387, 'std': 0.10829565674066544}"
1749427724.257061,1,5,3.189580202102661,"{'norm': 3.189580202102661, 'mean': -0.0032887521665543318, 'std': 0.10846187174320221}"
1749427724.2570748,1,6,3.186021566390991,"{'norm': 3.186021566390991, 'mean': -0.002456695307046175, 'std': 0.10836280882358551}"
1749427724.2570887,1,7,3.180349588394165,"{'norm': 3.180349588394165, 'mean': -0.0024160135071724653, 'std': 0.10817071795463562}"
1749427724.2571018,1,8,3.187992811203003,"{'norm': 3.187992811203003, 'mean': -0.001561757642775774, 'std': 0.10844646394252777}"
1749427724.257115,1,9,3.1879966259002686,"{'norm': 3.1879966259002686, 'mean': -0.002076727570965886, 'std': 0.10843796283006668}"
1749427724.2571268,1,10,3.182847261428833,"{'norm': 3.182847261428833, 'mean': -0.0025904818903654814, 'std': 0.1082516685128212}"
1749427724.2571402,1,11,3.188336133956909,"{'norm': 3.188336133956909, 'mean': -0.002918772166594863, 'std': 0.10843012481927872}"
1749427724.257153,1,12,3.1878738403320312,"{'norm': 3.1878738403320312, 'mean': -0.0023512134794145823, 'std': 0.10842818021774292}"
1749427724.2572167,1,13,3.186406373977661,"{'norm': 3.186406373977661, 'mean': -0.0021349668968468904, 'std': 0.10838272422552109}"
1749427724.257231,1,14,3.184351921081543,"{'norm': 3.184351921081543, 'mean': -0.002215649001300335, 'std': 0.10831119865179062}"
1749427733.0704527,2,0,3.1853187084198,"{'norm': 3.1853187084198, 'mean': -0.002520097652450204, 'std': 0.10833743959665298}"
1749427733.0704975,2,1,3.185422897338867,"{'norm': 3.185422897338867, 'mean': -0.002306161681190133, 'std': 0.10834574699401855}"
1749427733.070515,2,2,3.1840999126434326,"{'norm': 3.1840999126434326, 'mean': -0.0022375239059329033, 'std': 0.10830216854810715}"
1749427733.0705438,2,3,3.185044765472412,"{'norm': 3.185044765472412, 'mean': -0.002330477349460125, 'std': 0.10833235830068588}"
1749427733.0706353,2,4,3.1847710609436035,"{'norm': 3.1847710609436035, 'mean': -0.002293746452778578, 'std': 0.1083238273859024}"
1749427733.07065,2,5,3.184993028640747,"{'norm': 3.184993028640747, 'mean': -0.002430710708722472, 'std': 0.10832839459180832}"
1749427733.070663,2,6,3.185523748397827,"{'norm': 3.185523748397827, 'mean': -0.0023478036746382713, 'std': 0.10834828019142151}"
1749427733.0706756,2,7,3.1839661598205566,"{'norm': 3.1839661598205566, 'mean': -0.002223204355686903, 'std': 0.1082979068160057}"
1749427733.0706882,2,8,3.1862969398498535,"{'norm': 3.1862969398498535, 'mean': -0.002258230233564973, 'std': 0.10837650299072266}"
1749427733.070701,2,9,3.1868221759796143,"{'norm': 3.1868221759796143, 'mean': -0.002256387611851096, 'std': 0.10839440673589706}"
1749427733.0707128,2,10,3.1846559047698975,"{'norm': 3.1846559047698975, 'mean': -0.0023316945880651474, 'std': 0.10831911116838455}"
1749427733.0707262,2,11,3.18476939201355,"{'norm': 3.18476939201355, 'mean': -0.002347922418266535, 'std': 0.1083226129412651}"
1749427733.0707388,2,12,3.1849029064178467,"{'norm': 3.1849029064178467, 'mean': -0.002424371661618352, 'std': 0.10832546651363373}"
1749427733.0707507,2,13,3.185600519180298,"{'norm': 3.185600519180298, 'mean': -0.00226854276843369, 'std': 0.10835259407758713}"
1749427733.0707626,2,14,3.184889793395996,"{'norm': 3.184889793395996, 'mean': -0.002349827904254198, 'std': 0.10832666605710983}"
1749427741.2810485,3,0,3.1850645542144775,"{'norm': 3.1850645542144775, 'mean': -0.0021889160852879286, 'std': 0.10833598673343658}"
1749427741.2810943,3,1,3.185439348220825,"{'norm': 3.185439348220825, 'mean': -0.0023369104601442814, 'std': 0.1083456426858902}"
1749427741.2811115,3,2,3.1860132217407227,"{'norm': 3.1860132217407227, 'mean': -0.0022365739569067955, 'std': 0.10836729407310486}"
1749427741.2811277,3,3,3.1850640773773193,"{'norm': 3.1850640773773193, 'mean': -0.0021977664437144995, 'std': 0.10833578556776047}"
1749427741.281227,3,4,3.1862716674804688,"{'norm': 3.1862716674804688, 'mean': -0.0023130730260163546, 'std': 0.10837448388338089}"
1749427741.2812424,3,5,3.185349464416504,"{'norm': 3.185349464416504, 'mean': -0.0023457289207726717, 'std': 0.10834240913391113}"
1749427741.2812557,3,6,3.187110185623169,"{'norm': 3.187110185623169, 'mean': -0.0023495538625866175, 'std': 0.10840222984552383}"
1749427741.2812703,3,7,3.185662031173706,"{'norm': 3.185662031173706, 'mean': -0.002207720186561346, 'std': 0.10835594683885574}"
1749427741.281284,3,8,3.186058282852173,"{'norm': 3.186058282852173, 'mean': -0.0022919620387256145, 'std': 0.1083676666021347}"
1749427741.2812974,3,9,3.188842296600342,"{'norm': 3.188842296600342, 'mean': -0.0024870706256479025, 'std': 0.10845810920000076}"
1749427741.2813091,3,10,3.186086654663086,"{'norm': 3.186086654663086, 'mean': -0.0023632431402802467, 'std': 0.10836710035800934}"
1749427741.2813227,3,11,3.184398651123047,"{'norm': 3.184398651123047, 'mean': -0.002304959809407592, 'std': 0.10831091552972794}"
1749427741.2813354,3,12,3.1863443851470947,"{'norm': 3.1863443851470947, 'mean': -0.002420699456706643, 'std': 0.10837459564208984}"
1749427741.2813492,3,13,3.187591791152954,"{'norm': 3.187591791152954, 'mean': -0.0023623269516974688, 'std': 0.10841834545135498}"
1749427741.2813618,3,14,3.187068462371826,"{'norm': 3.187068462371826, 'mean': -0.0025848818477243185, 'std': 0.10839544981718063}"
