timestamp,round_num,node_id,parameter_norm,parameter_summary
1749429018.8932061,1,0,3.203831911087036,"{'norm': 3.203831911087036, 'mean': -0.003948756493628025, 'std': 0.10892502218484879}"
1749429018.8932567,1,1,3.202742099761963,"{'norm': 3.202742099761963, 'mean': -0.003948176745325327, 'std': 0.1088879331946373}"
1749429018.893275,1,2,3.205212116241455,"{'norm': 3.205212116241455, 'mean': -0.0039724623784422874, 'std': 0.10897114872932434}"
1749429018.8933074,1,3,3.203322172164917,"{'norm': 3.203322172164917, 'mean': -0.003934118431061506, 'std': 0.10890820622444153}"
1749429018.8933222,1,4,3.20347261428833,"{'norm': 3.20347261428833, 'mean': -0.003991901408880949, 'std': 0.10891121625900269}"
1749429018.8933358,1,5,3.2036914825439453,"{'norm': 3.2036914825439453, 'mean': -0.003980394918471575, 'std': 0.10891909152269363}"
1749429018.89335,1,6,3.204468011856079,"{'norm': 3.204468011856079, 'mean': -0.003955421503633261, 'std': 0.10894644260406494}"
1749429018.8933644,1,7,3.2035884857177734,"{'norm': 3.2035884857177734, 'mean': -0.0039432174526154995, 'std': 0.10891693830490112}"
1749429018.893378,1,8,3.2040176391601562,"{'norm': 3.2040176391601562, 'mean': -0.003993753343820572, 'std': 0.10892970860004425}"
1749429018.8933916,1,9,3.2038004398345947,"{'norm': 3.2038004398345947, 'mean': -0.003949728328734636, 'std': 0.10892391204833984}"
1749429018.893404,1,10,3.203735828399658,"{'norm': 3.203735828399658, 'mean': -0.003980620764195919, 'std': 0.10892059653997421}"
1749429018.8934653,1,11,3.2044739723205566,"{'norm': 3.2044739723205566, 'mean': -0.003946453798562288, 'std': 0.10894696414470673}"
1749429018.8934786,1,12,3.20346736907959,"{'norm': 3.20346736907959, 'mean': -0.003935500048100948, 'std': 0.10891309380531311}"
1749429018.8934963,1,13,3.2051000595092773,"{'norm': 3.2051000595092773, 'mean': -0.003981974441558123, 'std': 0.10896699130535126}"
1749429018.893509,1,14,3.2029576301574707,"{'norm': 3.2029576301574707, 'mean': -0.00393676245585084, 'std': 0.1088956966996193}"
1749429029.0106013,2,0,3.2046525478363037,"{'norm': 3.2046525478363037, 'mean': -0.003942722920328379, 'std': 0.10895317792892456}"
1749429029.010646,2,1,3.2045187950134277,"{'norm': 3.2045187950134277, 'mean': -0.003977212589234114, 'std': 0.10894737392663956}"
1749429029.0106628,2,2,3.204711437225342,"{'norm': 3.204711437225342, 'mean': -0.00395020330324769, 'std': 0.10895490646362305}"
1749429029.010679,2,3,3.2045083045959473,"{'norm': 3.2045083045959473, 'mean': -0.0038895730394870043, 'std': 0.1089501827955246}"
1749429029.010701,2,4,3.204317569732666,"{'norm': 3.204317569732666, 'mean': -0.004043492488563061, 'std': 0.1089380756020546}"
1749429029.0108073,2,5,3.2042431831359863,"{'norm': 3.2042431831359863, 'mean': -0.00398379797115922, 'std': 0.10893774777650833}"
1749429029.010823,2,6,3.203961133956909,"{'norm': 3.203961133956909, 'mean': -0.003969752695411444, 'std': 0.10892865806818008}"
1749429029.0108361,2,7,3.204508066177368,"{'norm': 3.204508066177368, 'mean': -0.003980493173003197, 'std': 0.10894687473773956}"
1749429029.0108507,2,8,3.2025468349456787,"{'norm': 3.2025468349456787, 'mean': -0.004014988895505667, 'std': 0.10887885093688965}"
1749429029.0108645,2,9,3.2038466930389404,"{'norm': 3.2038466930389404, 'mean': -0.003933180123567581, 'std': 0.10892608761787415}"
1749429029.0108988,2,10,3.205487012863159,"{'norm': 3.205487012863159, 'mean': -0.003982260823249817, 'std': 0.10898014158010483}"
1749429029.010912,2,11,3.2047364711761475,"{'norm': 3.2047364711761475, 'mean': -0.003966315649449825, 'std': 0.10895517468452454}"
1749429029.010935,2,12,3.2029483318328857,"{'norm': 3.2029483318328857, 'mean': -0.003958758898079395, 'std': 0.10889458656311035}"
1749429029.0109494,2,13,3.205343008041382,"{'norm': 3.205343008041382, 'mean': -0.003978552762418985, 'std': 0.1089753806591034}"
1749429029.0109618,2,14,3.2037599086761475,"{'norm': 3.2037599086761475, 'mean': -0.003952088300138712, 'std': 0.10892245918512344}"
1749429038.722718,3,0,3.2051544189453125,"{'norm': 3.2051544189453125, 'mean': -0.003965196665376425, 'std': 0.10896944999694824}"
1749429038.7227633,3,1,3.203734874725342,"{'norm': 3.203734874725342, 'mean': -0.00394649151712656, 'std': 0.10892180353403091}"
1749429038.7227812,3,2,3.204354763031006,"{'norm': 3.204354763031006, 'mean': -0.003968268632888794, 'std': 0.10894211381673813}"
1749429038.7227983,3,3,3.2057204246520996,"{'norm': 3.2057204246520996, 'mean': -0.003950212150812149, 'std': 0.10898924618959427}"
1749429038.722815,3,4,3.2036092281341553,"{'norm': 3.2036092281341553, 'mean': -0.003978632856160402, 'std': 0.10891634970903397}"
1749429038.7229347,3,5,3.20487904548645,"{'norm': 3.20487904548645, 'mean': -0.003936379682272673, 'std': 0.10896112024784088}"
1749429038.7229512,3,6,3.2046616077423096,"{'norm': 3.2046616077423096, 'mean': -0.003987807314842939, 'std': 0.10895184427499771}"
1749429038.7229671,3,7,3.2036330699920654,"{'norm': 3.2036330699920654, 'mean': -0.003959032241255045, 'std': 0.10891788452863693}"
1749429038.7229934,3,8,3.204355239868164,"{'norm': 3.204355239868164, 'mean': -0.004024290945380926, 'std': 0.10894007235765457}"
1749429038.7230062,3,9,3.204115390777588,"{'norm': 3.204115390777588, 'mean': -0.003980542533099651, 'std': 0.10893352329730988}"
1749429038.7230203,3,10,3.2054316997528076,"{'norm': 3.2054316997528076, 'mean': -0.004015995655208826, 'std': 0.10897703468799591}"
1749429038.7230327,3,11,3.204962968826294,"{'norm': 3.204962968826294, 'mean': -0.003938717767596245, 'std': 0.10896389931440353}"
1749429038.7230463,3,12,3.2038259506225586,"{'norm': 3.2038259506225586, 'mean': -0.004033009521663189, 'std': 0.10892173647880554}"
1749429038.72306,3,13,3.204850673675537,"{'norm': 3.204850673675537, 'mean': -0.003983631264418364, 'std': 0.10895843803882599}"
1749429038.7230735,3,14,3.205538511276245,"{'norm': 3.205538511276245, 'mean': -0.003981807269155979, 'std': 0.1089819148182869}"
