accuracy,active_nodes,aggregator_node,avg_bandwidth_mbps,current_epoch,event_type,loss,metrics,network_density,node_type_distribution,num_active_nodes,num_nodes,num_participating_nodes,num_source_nodes,num_target_nodes,num_updated_nodes,organizational_entities,param_convergence,param_summary,participating_nodes,round_num,source_nodes,step_name,strategy_name,target_nodes,timestamp,topology_type,total_cpu_cores,total_edges,total_epochs,total_gpus,total_memory_gb,updated_nodes
,,,3980.0,,NetworkStructureEvent,,,0.13333333333333333,"{'tier1_hospital': 3, 'tier2_hospital': 3, 'research_center': 3, 'mobile_unit': 3, 'edge_device': 3}",,15,,,,,5,,,,0,,network_structure,,,1749429063.3262136,star,1094,14,,100,3720,
,,,,,InitialStateEvent,,,,,,15,,,,,,,,,0,,initial_state,,,1749429063.3263717,star,,,,,,
0.019470793809286072,,,,,EvaluationEvent,2.399212033880751,"{'loss': 2.399212033880751, 'accuracy': 0.019470793809286072}",,,,,,,,,,,,,0,,evaluation,,,1749429079.4121914,,,,,,,
,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",,,,LocalTrainingEvent,,{},,,15,,,,,,,,,,1,,local_training,,,1749429079.4123383,,,,1,,,
,,,,,ParameterTransferEvent,,,,,,,,14,1,,,,"{0: {'norm': 3.302802562713623, 'mean': -0.005944652482867241, 'std': 0.11220626533031464}, 1: {'norm': 3.3013265132904053, 'mean': -0.0058872271329164505, 'std': 0.11215900629758835}, 2: {'norm': 3.3010432720184326, 'mean': -0.005882349796593189, 'std': 0.11214961111545563}, 3: {'norm': 3.303443431854248, 'mean': -0.005853718146681786, 'std': 0.11223287880420685}, 4: {'norm': 3.3023681640625, 'mean': -0.005852069705724716, 'std': 0.11219632625579834}, 5: {'norm': 3.3032774925231934, 'mean': -0.005790910217911005, 'std': 0.11223048716783524}, 6: {'norm': 3.299586057662964, 'mean': -0.0059120324440300465, 'std': 0.11209840327501297}, 7: {'norm': 3.301015853881836, 'mean': -0.005890795961022377, 'std': 0.1121482327580452}, 8: {'norm': 3.302777051925659, 'mean': -0.005949664860963821, 'std': 0.11220511794090271}, 9: {'norm': 3.303224563598633, 'mean': -0.00589224137365818, 'std': 0.11222340166568756}, 10: {'norm': 3.3001151084899902, 'mean': -0.00583397364243865, 'std': 0.11212051659822464}, 11: {'norm': 3.3005833625793457, 'mean': -0.005868620239198208, 'std': 0.1121346727013588}, 12: {'norm': 3.3006956577301025, 'mean': -0.005826806183904409, 'std': 0.11214067041873932}, 13: {'norm': 3.3024239540100098, 'mean': -0.005841586738824844, 'std': 0.11219877749681473}, 14: {'norm': 3.3001394271850586, 'mean': -0.0058875237591564655, 'std': 0.11211854964494705}}",,1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14",parameter_transfer,,0,1749429092.0424247,,,,,,,
,,0,,,AggregationEvent,,,,,,,15,,,,,,,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",1,,aggregation,FedAvg,,1749429092.0425866,,,,,,,
,,,,,ModelUpdateEvent,,,,,,,,,,15,,3.2643779865928226,,,1,,model_update,,,1749429093.9322147,,,,,,,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14"
0.6674987518721918,,,,,EvaluationEvent,1.3247325568572914,"{'loss': 1.3247325568572914, 'accuracy': 0.6674987518721918}",,,,,,,,,,,,,1,,evaluation,,,1749429094.4334297,,,,,,,
,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",,,,LocalTrainingEvent,,{},,,15,,,,,,,,,,2,,local_training,,,1749429094.43357,,,,1,,,
,,,,,ParameterTransferEvent,,,,,,,,14,1,,,,"{0: {'norm': 3.303069591522217, 'mean': -0.005885016173124313, 'std': 0.11221850663423538}, 1: {'norm': 3.3019678592681885, 'mean': -0.005813801195472479, 'std': 0.11218468099832535}, 2: {'norm': 3.301971912384033, 'mean': -0.005806514527648687, 'std': 0.11218520253896713}, 3: {'norm': 3.3035829067230225, 'mean': -0.005921698175370693, 'std': 0.11223406344652176}, 4: {'norm': 3.301196813583374, 'mean': -0.005828857421875, 'std': 0.11215762794017792}, 5: {'norm': 3.300542116165161, 'mean': -0.0057947044260799885, 'std': 0.1121370941400528}, 6: {'norm': 3.2996084690093994, 'mean': -0.005886300932615995, 'std': 0.1121005266904831}, 7: {'norm': 3.302640914916992, 'mean': -0.005828713532537222, 'std': 0.11220683157444}, 8: {'norm': 3.3024444580078125, 'mean': -0.0059154219925403595, 'std': 0.11219560354948044}, 9: {'norm': 3.306000232696533, 'mean': -0.005779055878520012, 'std': 0.11232384294271469}, 10: {'norm': 3.299706220626831, 'mean': -0.00583296176046133, 'std': 0.11210664361715317}, 11: {'norm': 3.299974203109741, 'mean': -0.00586284976452589, 'std': 0.11211421340703964}, 12: {'norm': 3.3018782138824463, 'mean': -0.005818801000714302, 'std': 0.11218137294054031}, 13: {'norm': 3.30200457572937, 'mean': -0.005811408162117004, 'std': 0.11218605935573578}, 14: {'norm': 3.302744150161743, 'mean': -0.0058433557860553265, 'std': 0.11220958828926086}}",,2,"1,2,3,4,5,6,7,8,9,10,11,12,13,14",parameter_transfer,,0,1749429100.5119016,,,,,,,
