edge,weight
0-1,1671.55
0-2,5708.99
0-3,2237.52
0-4,5250.39
0-5,4798.41
0-6,2116.86
0-7,484.35
0-8,1027.68
0-9,5181.0
0-10,107.33
0-11,1896.98
0-12,4481.73
0-13,2074.49
0-14,5701.77
1-2,2225.55
1-3,89.54
1-4,112.92
1-5,1111.85
1-6,478.28
1-7,1176.08
1-8,1672.52
1-9,405.25
1-10,571.32
1-11,1042.67
1-12,2302.69
1-13,5027.35
1-14,1101.96
2-3,5875.55
2-4,508.08
2-5,5528.78
2-6,114.96
2-7,819.33
2-8,1707.48
2-9,427.31
2-10,4440.03
2-11,4827.95
2-12,105.64
2-13,1866.05
2-14,4669.75
3-4,425.91
3-5,495.19
3-6,940.62
3-7,1988.55
3-8,449.42
3-9,1839.72
3-10,5154.46
3-11,4946.1
3-12,119.04
3-13,1604.99
3-14,108.43
4-5,98.92
4-6,102.57
4-7,402.41
4-8,986.29
4-9,1198.07
4-10,89.33
4-11,1151.8
4-12,457.81
4-13,2028.19
4-14,856.06
5-6,4456.56
5-7,553.58
5-8,1812.29
5-9,1056.65
5-10,96.45
5-11,421.97
5-12,968.83
5-13,86.79
5-14,84.77
6-7,98.21
6-8,1979.03
6-9,4343.17
6-10,4639.92
6-11,89.15
6-12,97.24
6-13,884.92
6-14,91.74
7-8,1785.52
7-9,94.29
7-10,2391.7
7-11,410.91
7-12,1185.08
7-13,2226.91
7-14,541.29
8-9,1999.62
8-10,437.98
8-11,117.25
8-12,823.82
8-13,112.79
8-14,5199.99
9-10,1000.18
9-11,5484.77
9-12,4830.66
9-13,583.5
9-14,4474.85
10-11,1037.0
10-12,470.53
10-13,91.39
10-14,469.56
11-12,507.2
11-13,5210.34
11-14,2098.75
12-13,425.26
12-14,494.42
13-14,4386.52
