param_summary,round_num,source_node,strategy_name,target_node,timestamp,transfer_type
"{'norm': 3.226839780807495, 'mean': -0.0038972313050180674, 'std': 0.10971011966466904}",1,0,,1,1749430129.2491422,parameter_transfer
"{'norm': 3.226588010787964, 'mean': -0.003911066800355911, 'std': 0.10970105975866318}",1,1,,0,1749430129.2491932,parameter_transfer
"{'norm': 3.227402687072754, 'mean': -0.0039009819738566875, 'std': 0.10972915589809418}",1,2,,1,1749430129.2492113,parameter_transfer
"{'norm': 3.2276506423950195, 'mean': -0.00390966422855854, 'std': 0.10973728448152542}",1,3,,2,1749430129.249226,parameter_transfer
"{'norm': 3.2278037071228027, 'mean': -0.003884619101881981, 'std': 0.1097433865070343}",1,4,,3,1749430129.2492394,parameter_transfer
"{'norm': 3.227443218231201, 'mean': -0.0038828810211271048, 'std': 0.10973116755485535}",1,5,,4,1749430129.249254,parameter_transfer
"{'norm': 3.2270143032073975, 'mean': -0.003907994832843542, 'std': 0.10971568524837494}",1,6,,5,1749430129.2492685,parameter_transfer
"{'norm': 3.2269139289855957, 'mean': -0.0038820384070277214, 'std': 0.10971318185329437}",1,7,,6,1749430129.2492826,parameter_transfer
"{'norm': 3.2271063327789307, 'mean': -0.0038680073339492083, 'std': 0.10972023010253906}",1,8,,7,1749430129.2492962,parameter_transfer
"{'norm': 3.2278687953948975, 'mean': -0.0039078472182154655, 'std': 0.10974477231502533}",1,9,,8,1749430129.2493095,parameter_transfer
"{'norm': 3.2271108627319336, 'mean': -0.003896339563652873, 'std': 0.10971938073635101}",1,10,,9,1749430129.249322,parameter_transfer
"{'norm': 3.2271478176116943, 'mean': -0.003889881307259202, 'std': 0.1097208708524704}",1,11,,10,1749430129.2493355,parameter_transfer
"{'norm': 3.2282018661499023, 'mean': -0.0038988483138382435, 'std': 0.10975643247365952}",1,12,,11,1749430129.2493484,parameter_transfer
"{'norm': 3.2273035049438477, 'mean': -0.003913290333002806, 'std': 0.10972533375024796}",1,13,,12,1749430129.2493732,parameter_transfer
"{'norm': 3.227078437805176, 'mean': -0.0038914671167731285, 'std': 0.1097184494137764}",1,14,,13,1749430129.2493868,parameter_transfer
"{'norm': 3.2272017002105713, 'mean': -0.0038885425310581923, 'std': 0.10972274839878082}",1,15,,14,1749430129.2493992,parameter_transfer
"{'norm': 3.2275288105010986, 'mean': -0.003925483673810959, 'std': 0.10973256081342697}",1,16,,15,1749430129.2494118,parameter_transfer
"{'norm': 3.2271816730499268, 'mean': -0.0038926752749830484, 'std': 0.10972192138433456}",1,17,,16,1749430129.2494318,parameter_transfer
"{'norm': 3.2275846004486084, 'mean': -0.0038882705848664045, 'std': 0.10973579436540604}",1,18,,17,1749430129.2494452,parameter_transfer
"{'norm': 3.227102756500244, 'mean': -0.003909066319465637, 'std': 0.10971865057945251}",1,19,,18,1749430129.2494574,parameter_transfer
,1,1,GossipAvg,0,1749430129.2494774,aggregation
,1,0,GossipAvg,1,1749430129.2494922,aggregation
,1,1,GossipAvg,2,1749430129.249501,aggregation
,1,2,GossipAvg,3,1749430129.2495084,aggregation
,1,3,GossipAvg,4,1749430129.2495434,aggregation
,1,4,GossipAvg,5,1749430129.2495508,aggregation
,1,5,GossipAvg,6,1749430129.2495577,aggregation
,1,6,GossipAvg,7,1749430129.2495651,aggregation
,1,7,GossipAvg,8,1749430129.2495718,aggregation
,1,8,GossipAvg,9,1749430129.2495797,aggregation
,1,9,GossipAvg,10,1749430129.249586,aggregation
,1,10,GossipAvg,11,1749430129.2495925,aggregation
,1,11,GossipAvg,12,1749430129.249599,aggregation
,1,12,GossipAvg,13,1749430129.2496054,aggregation
,1,13,GossipAvg,14,1749430129.249612,aggregation
,1,14,GossipAvg,15,1749430129.249619,aggregation
,1,15,GossipAvg,16,1749430129.2496252,aggregation
,1,16,GossipAvg,17,1749430129.249632,aggregation
,1,17,GossipAvg,18,1749430129.2496388,aggregation
,1,18,GossipAvg,19,1749430129.2496448,aggregation
"{'norm': 3.227375030517578, 'mean': -0.003880453296005726, 'std': 0.10972893238067627}",2,0,,1,1749430140.2635036,parameter_transfer
"{'norm': 3.227511167526245, 'mean': -0.0038903101813048124, 'std': 0.1097332313656807}",2,1,,0,1749430140.263548,parameter_transfer
"{'norm': 3.228011131286621, 'mean': -0.0038947805296629667, 'std': 0.10975008457899094}",2,2,,1,1749430140.2635663,parameter_transfer
"{'norm': 3.228179693222046, 'mean': -0.003930009435862303, 'std': 0.10975456982851028}",2,3,,2,1749430140.2635815,parameter_transfer
"{'norm': 3.2279515266418457, 'mean': -0.003875820664688945, 'std': 0.1097487211227417}",2,4,,3,1749430140.2635958,parameter_transfer
"{'norm': 3.227618932723999, 'mean': -0.003883545519784093, 'std': 0.10973712801933289}",2,5,,4,1749430140.26361,parameter_transfer
"{'norm': 3.228062868118286, 'mean': -0.003906466532498598, 'std': 0.10975142568349838}",2,6,,5,1749430140.2636254,parameter_transfer
"{'norm': 3.2269186973571777, 'mean': -0.003880690084770322, 'std': 0.10971339046955109}",2,7,,6,1749430140.2636387,parameter_transfer
"{'norm': 3.227099895477295, 'mean': -0.003874122630804777, 'std': 0.10971979796886444}",2,8,,7,1749430140.2636518,parameter_transfer
"{'norm': 3.2281017303466797, 'mean': -0.003906318452209234, 'std': 0.10975275933742523}",2,9,,8,1749430140.2636645,parameter_transfer
"{'norm': 3.2273454666137695, 'mean': -0.003899677423760295, 'std': 0.10972724854946136}",2,10,,9,1749430140.2636771,parameter_transfer
"{'norm': 3.2268693447113037, 'mean': -0.003912695683538914, 'std': 0.10971056669950485}",2,11,,10,1749430140.26369,parameter_transfer
"{'norm': 3.227494239807129, 'mean': -0.0039101033471524715, 'std': 0.10973194241523743}",2,12,,11,1749430140.2637029,parameter_transfer
"{'norm': 3.227254629135132, 'mean': -0.0038966252468526363, 'std': 0.1097242683172226}",2,13,,12,1749430140.2637165,parameter_transfer
"{'norm': 3.2264151573181152, 'mean': -0.003926403820514679, 'std': 0.10969461500644684}",2,14,,13,1749430140.2637293,parameter_transfer
"{'norm': 3.227588176727295, 'mean': -0.0038977800868451595, 'std': 0.10973557829856873}",2,15,,14,1749430140.2637422,parameter_transfer
"{'norm': 3.2272720336914062, 'mean': -0.003916964866220951, 'std': 0.10972412675619125}",2,16,,15,1749430140.263755,parameter_transfer
"{'norm': 3.227285385131836, 'mean': -0.003900005482137203, 'std': 0.10972519218921661}",2,17,,16,1749430140.263768,parameter_transfer
"{'norm': 3.2270634174346924, 'mean': -0.0038913385942578316, 'std': 0.10971793532371521}",2,18,,17,1749430140.2640963,parameter_transfer
"{'norm': 3.2268600463867188, 'mean': -0.003905627643689513, 'std': 0.10971050709486008}",2,19,,18,1749430140.264113,parameter_transfer
,2,1,GossipAvg,0,1749430140.2641292,aggregation
,2,0,GossipAvg,1,1749430140.26414,aggregation
,2,1,GossipAvg,2,1749430140.264148,aggregation
,2,2,GossipAvg,3,1749430140.2641556,aggregation
,2,3,GossipAvg,4,1749430140.264163,aggregation
,2,4,GossipAvg,5,1749430140.2641697,aggregation
,2,5,GossipAvg,6,1749430140.2641764,aggregation
,2,6,GossipAvg,7,1749430140.2641833,aggregation
,2,7,GossipAvg,8,1749430140.2641895,aggregation
,2,8,GossipAvg,9,1749430140.2641964,aggregation
,2,9,GossipAvg,10,1749430140.2642047,aggregation
,2,10,GossipAvg,11,1749430140.2642117,aggregation
,2,11,GossipAvg,12,1749430140.264218,aggregation
,2,12,GossipAvg,13,1749430140.2642245,aggregation
,2,13,GossipAvg,14,1749430140.2642307,aggregation
,2,14,GossipAvg,15,1749430140.2642367,aggregation
,2,15,GossipAvg,16,1749430140.2642431,aggregation
,2,16,GossipAvg,17,1749430140.2642493,aggregation
,2,17,GossipAvg,18,1749430140.264274,aggregation
,2,18,GossipAvg,19,1749430140.2642803,aggregation
"{'norm': 3.2270803451538086, 'mean': -0.0038392215501517057, 'std': 0.10972035676240921}",3,0,,1,1749430150.8201587,parameter_transfer
"{'norm': 3.2260735034942627, 'mean': -0.003875337541103363, 'std': 0.10968481004238129}",3,1,,0,1749430150.8202055,parameter_transfer
"{'norm': 3.2284624576568604, 'mean': -0.003911128733307123, 'std': 0.10976486653089523}",3,2,,1,1749430150.8202243,parameter_transfer
"{'norm': 3.2276527881622314, 'mean': -0.003907403443008661, 'std': 0.10973744094371796}",3,3,,2,1749430150.8202412,parameter_transfer
"{'norm': 3.2286605834960938, 'mean': -0.003885919926688075, 'std': 0.10977250337600708}",3,4,,3,1749430150.8202581,parameter_transfer
"{'norm': 3.2273919582366943, 'mean': -0.0039059012196958065, 'std': 0.1097286120057106}",3,5,,4,1749430150.820273,parameter_transfer
"{'norm': 3.2283594608306885, 'mean': -0.003896121634170413, 'std': 0.10976188629865646}",3,6,,5,1749430150.8202863,parameter_transfer
"{'norm': 3.227515935897827, 'mean': -0.0038828616961836815, 'std': 0.10973364859819412}",3,7,,6,1749430150.8203015,parameter_transfer
"{'norm': 3.227025032043457, 'mean': -0.0039037128444761038, 'std': 0.10971619188785553}",3,8,,7,1749430150.8203163,parameter_transfer
"{'norm': 3.2281274795532227, 'mean': -0.003927663899958134, 'std': 0.10975287109613419}",3,9,,8,1749430150.8203301,parameter_transfer
"{'norm': 3.227802276611328, 'mean': -0.003905266523361206, 'std': 0.10974260419607162}",3,10,,9,1749430150.8203433,parameter_transfer
"{'norm': 3.2270357608795166, 'mean': -0.003903188044205308, 'std': 0.10971657931804657}",3,11,,10,1749430150.8203564,parameter_transfer
"{'norm': 3.227045774459839, 'mean': -0.003911491483449936, 'std': 0.10971661657094955}",3,12,,11,1749430150.8203692,parameter_transfer
"{'norm': 3.226776599884033, 'mean': -0.0039017219096422195, 'std': 0.1097077950835228}",3,13,,12,1749430150.8203824,parameter_transfer
"{'norm': 3.2273666858673096, 'mean': -0.003908390644937754, 'std': 0.1097276508808136}",3,14,,13,1749430150.8203957,parameter_transfer
"{'norm': 3.2277538776397705, 'mean': -0.003907970618456602, 'std': 0.10974086076021194}",3,15,,14,1749430150.8204093,parameter_transfer
"{'norm': 3.226834774017334, 'mean': -0.003915933892130852, 'std': 0.10970928519964218}",3,16,,15,1749430150.820422,parameter_transfer
"{'norm': 3.227165699005127, 'mean': -0.003897978225722909, 'std': 0.10972119122743607}",3,17,,16,1749430150.8204353,parameter_transfer
"{'norm': 3.2268621921539307, 'mean': -0.0038876133039593697, 'std': 0.10971122980117798}",3,18,,17,1749430150.8204882,parameter_transfer
"{'norm': 3.2275195121765137, 'mean': -0.0038943185936659575, 'std': 0.10973336547613144}",3,19,,18,1749430150.820503,parameter_transfer
,3,1,GossipAvg,0,1749430150.8205197,aggregation
,3,0,GossipAvg,1,1749430150.8205314,aggregation
,3,1,GossipAvg,2,1749430150.8205385,aggregation
,3,2,GossipAvg,3,1749430150.8205464,aggregation
,3,3,GossipAvg,4,1749430150.820553,aggregation
,3,4,GossipAvg,5,1749430150.8205595,aggregation
,3,5,GossipAvg,6,1749430150.820566,aggregation
,3,6,GossipAvg,7,1749430150.820573,aggregation
,3,7,GossipAvg,8,1749430150.82058,aggregation
,3,8,GossipAvg,9,1749430150.820587,aggregation
,3,9,GossipAvg,10,1749430150.8205945,aggregation
,3,10,GossipAvg,11,1749430150.8206007,aggregation
,3,11,GossipAvg,12,1749430150.8206074,aggregation
,3,12,GossipAvg,13,1749430150.8206139,aggregation
,3,13,GossipAvg,14,1749430150.8206198,aggregation
,3,14,GossipAvg,15,1749430150.820626,aggregation
,3,15,GossipAvg,16,1749430150.8206325,aggregation
,3,16,GossipAvg,17,1749430150.8206394,aggregation
,3,17,GossipAvg,18,1749430150.8206656,aggregation
,3,18,GossipAvg,19,1749430150.8206735,aggregation
