activity_type,current_epoch,is_aggregator,metrics,param_convergence,round_num,strategy_name,timestamp,total_epochs
local_training,,,{},,1,,1749430354.3662913,1
aggregation,,True,,,1,GossipAvg,1749430369.8196402,
aggregation,,False,,,1,GossipAvg,1749430369.819647,
model_update,,,,1.4881525742692014,1,,1749430374.248684,
local_training,,,{},,2,,1749430374.7488115,1
aggregation,,True,,,2,GossipAvg,1749430380.8324616,
aggregation,,False,,,2,GossipAvg,1749430380.8324683,
model_update,,,,1.8868220610561834,2,,1749430384.7083771,
local_training,,,{},,3,,1749430385.2160285,1
aggregation,,True,,,3,GossipAvg,1749430391.311619,
aggregation,,False,,,3,GossipAvg,1749430391.3116257,
model_update,,,,1.908456018407794,3,,1749430395.2476447,
