param_summary,round_num,source_node,strategy_name,target_node,timestamp,transfer_type
"{'norm': 3.282918691635132, 'mean': 0.00363349006511271, 'std': 0.19341371953487396}",1,0,,1,1749393594.4176648,parameter_transfer
"{'norm': 3.29496431350708, 'mean': 0.0034317236859351397, 'std': 0.19412730634212494}",1,1,,0,1749393594.4177198,parameter_transfer
"{'norm': 3.2718148231506348, 'mean': 0.0025605361443012953, 'std': 0.19277654588222504}",1,2,,1,1749393594.4177485,parameter_transfer
"{'norm': 3.2857213020324707, 'mean': 0.0016898185713216662, 'std': 0.19360561668872833}",1,3,,2,1749393594.4177835,parameter_transfer
"{'norm': 3.2774415016174316, 'mean': 0.0028960551135241985, 'std': 0.1931033879518509}",1,4,,3,1749393594.4177992,parameter_transfer
,1,1,GossipAvg,0,1749393594.4178216,aggregation
,1,0,GossipAvg,1,1749393594.417835,aggregation
,1,1,GossipAvg,2,1749393594.4178443,aggregation
,1,2,GossipAvg,3,1749393594.4178507,aggregation
,1,3,GossipAvg,4,1749393594.4178567,aggregation
"{'norm': 3.294156312942505, 'mean': 0.004613670986145735, 'std': 0.19405518472194672}",2,0,,1,1749393598.4441366,parameter_transfer
"{'norm': 3.282141923904419, 'mean': 0.005884228274226189, 'std': 0.19331254065036774}",2,1,,0,1749393598.4441762,parameter_transfer
"{'norm': 3.273676872253418, 'mean': 0.0024012525100260973, 'std': 0.1928883194923401}",2,2,,1,1749393598.4441948,parameter_transfer
"{'norm': 3.2755370140075684, 'mean': 0.0034672576002776623, 'std': 0.19298171997070312}",2,3,,2,1749393598.4442112,parameter_transfer
"{'norm': 3.2929470539093018, 'mean': 0.0033270232379436493, 'std': 0.19401024281978607}",2,4,,3,1749393598.4442317,parameter_transfer
,2,1,GossipAvg,0,1749393598.4442527,aggregation
,2,0,GossipAvg,1,1749393598.444264,aggregation
,2,1,GossipAvg,2,1749393598.4442716,aggregation
,2,2,GossipAvg,3,1749393598.44428,aggregation
,2,3,GossipAvg,4,1749393598.4442859,aggregation
"{'norm': 3.2694830894470215, 'mean': 0.0047149816527962685, 'std': 0.19259844720363617}",3,0,,1,1749393602.2949283,parameter_transfer
"{'norm': 3.2894649505615234, 'mean': 0.004665698856115341, 'std': 0.1937774270772934}",3,1,,0,1749393602.294975,parameter_transfer
"{'norm': 3.2843520641326904, 'mean': 0.003938988782465458, 'std': 0.19349223375320435}",3,2,,1,1749393602.2949936,parameter_transfer
"{'norm': 3.264342784881592, 'mean': 0.0034213874023407698, 'std': 0.19232282042503357}",3,3,,2,1749393602.29501,parameter_transfer
"{'norm': 3.287175178527832, 'mean': 0.0038872212171554565, 'std': 0.19365964829921722}",3,4,,3,1749393602.2950237,parameter_transfer
,3,1,GossipAvg,0,1749393602.2950406,aggregation
,3,0,GossipAvg,1,1749393602.295051,aggregation
,3,1,GossipAvg,2,1749393602.295058,aggregation
,3,2,GossipAvg,3,1749393602.2950647,aggregation
,3,3,GossipAvg,4,1749393602.2950711,aggregation
