node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,64,PIPEDA,16,128,tier1_hospital,0.973,standard,20000
1,clinic_001,5000,tier_2,64,local,4,256,tier2_hospital,0.936,critical,20000
2,research_center_002,5000,tier_3,64,HIPAA,32,512,research_center,0.997,critical,20000
3,mobile_unit_003,500,tier_1,16,HIPAA,2,16,mobile_unit,0.773,high,1000
4,edge_device_004,100,tier_2,2,GDPR,1,16,edge_device,0.888,high,500
5,hospital_005,5000,tier_1,128,HIPAA,4,512,tier1_hospital,0.967,high,10000
6,clinic_006,1000,tier_2,16,local,4,64,tier2_hospital,0.966,critical,10000
7,research_center_007,5000,tier_3,64,PIPEDA,8,1024,research_center,0.99,critical,20000
8,mobile_unit_008,1000,tier_1,16,local,2,32,mobile_unit,0.818,critical,1000
9,edge_device_009,500,tier_2,2,PIPEDA,0,32,edge_device,0.858,standard,1000
