accuracy,active_nodes,aggregator_node,avg_bandwidth_mbps,current_epoch,event_type,loss,metrics,network_density,node_type_distribution,num_active_nodes,num_nodes,num_participating_nodes,num_source_nodes,num_target_nodes,num_updated_nodes,organizational_entities,param_convergence,param_summary,participating_nodes,round_num,source_nodes,step_name,strategy_name,target_nodes,timestamp,topology_type,total_cpu_cores,total_edges,total_epochs,total_gpus,total_memory_gb,updated_nodes
,,,4615.0,,NetworkStructureEvent,,,0.06896551724137931,"{'tier1_hospital': 6, 'tier2_hospital': 6, 'research_center': 6, 'mobile_unit': 6, 'edge_device': 6}",,30,,,,,5,,,,0,,network_structure,,,1749396488.8327224,ring,1462,30,,238,5008,
,,,,,InitialStateEvent,,,,,,30,,,,,,,,,0,,initial_state,,,1749396488.832905,ring,,,,,,
0.1179,,,,,EvaluationEvent,2.397075322341919,"{'loss': 2.397075322341919, 'accuracy': 0.1179}",,,,,,,,,,,,,0,,evaluation,,,1749396493.0448184,,,,,,,
,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",,,,LocalTrainingEvent,,{},,,30,,,,,,,,,,1,,local_training,,,1749396493.0449874,,,,1,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{0: {'norm': 3.3743324279785156, 'mean': -7.670497143408284e-05, 'std': 0.19883443415164948}}",,1,0,parameter_transfer,,"29,1",1749396501.5420732,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{1: {'norm': 3.3730123043060303, 'mean': -0.001000821590423584, 'std': 0.19875414669513702}}",,1,1,parameter_transfer,,"0,2",1749396501.5421329,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{2: {'norm': 3.3609535694122314, 'mean': -0.0014789553824812174, 'std': 0.19804057478904724}}",,1,2,parameter_transfer,,"1,3",1749396501.5421548,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{3: {'norm': 3.3778371810913086, 'mean': -0.0007991337333805859, 'std': 0.19903935492038727}}",,1,3,parameter_transfer,,"2,4",1749396501.5421727,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{4: {'norm': 3.3624253273010254, 'mean': -0.0011559207923710346, 'std': 0.19812944531440735}}",,1,4,parameter_transfer,,"3,5",1749396501.5421903,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{5: {'norm': 3.3693389892578125, 'mean': -0.00043750760960392654, 'std': 0.19853973388671875}}",,1,5,parameter_transfer,,"4,6",1749396501.542208,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{6: {'norm': 3.3807997703552246, 'mean': -0.0013521508080884814, 'std': 0.19921095669269562}}",,1,6,parameter_transfer,,"5,7",1749396501.5422258,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{7: {'norm': 3.3728153705596924, 'mean': -0.0002868895826395601, 'std': 0.19874483346939087}}",,1,7,parameter_transfer,,"6,8",1749396501.5422428,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{8: {'norm': 3.3736581802368164, 'mean': -0.0007447146927006543, 'std': 0.19879333674907684}}",,1,8,parameter_transfer,,"7,9",1749396501.5422604,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{9: {'norm': 3.3785459995269775, 'mean': -0.00012509897351264954, 'std': 0.19908270239830017}}",,1,9,parameter_transfer,,"8,10",1749396501.542277,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{10: {'norm': 3.3689420223236084, 'mean': -0.000685129954945296, 'std': 0.1985156387090683}}",,1,10,parameter_transfer,,"9,11",1749396501.5422926,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{11: {'norm': 3.3683903217315674, 'mean': -0.00056693353690207, 'std': 0.19848349690437317}}",,1,11,parameter_transfer,,"10,12",1749396501.542308,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{12: {'norm': 3.3585853576660156, 'mean': -0.0003359384136274457, 'std': 0.1979062557220459}}",,1,12,parameter_transfer,,"11,13",1749396501.5423286,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{13: {'norm': 3.381253957748413, 'mean': -0.0005589143838733435, 'std': 0.1992415189743042}}",,1,13,parameter_transfer,,"12,14",1749396501.5423453,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{14: {'norm': 3.368522882461548, 'mean': 0.00024579319870099425, 'std': 0.19849194586277008}}",,1,14,parameter_transfer,,"13,15",1749396501.5423605,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{15: {'norm': 3.3733158111572266, 'mean': -0.0011593480594456196, 'std': 0.1987711489200592}}",,1,15,parameter_transfer,,"14,16",1749396501.5423808,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{16: {'norm': 3.383431911468506, 'mean': -0.0013169172452762723, 'std': 0.19936628639698029}}",,1,16,parameter_transfer,,"15,17",1749396501.5423963,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{17: {'norm': 3.384859085083008, 'mean': 0.00023622417938895524, 'std': 0.19945459067821503}}",,1,17,parameter_transfer,,"16,18",1749396501.5424147,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{18: {'norm': 3.3645670413970947, 'mean': -0.0008999229175969958, 'std': 0.1982569694519043}}",,1,18,parameter_transfer,,"17,19",1749396501.5424304,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{19: {'norm': 3.3642635345458984, 'mean': -0.0008495503570884466, 'std': 0.1982393115758896}}",,1,19,parameter_transfer,,"18,20",1749396501.542445,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{20: {'norm': 3.360790491104126, 'mean': -0.0017696850700303912, 'std': 0.198028564453125}}",,1,20,parameter_transfer,,"19,21",1749396501.54246,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{21: {'norm': 3.363166332244873, 'mean': -0.0008908692398108542, 'std': 0.19817447662353516}}",,1,21,parameter_transfer,,"20,22",1749396501.5424767,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{22: {'norm': 3.3661649227142334, 'mean': -0.0010321094887331128, 'std': 0.19835048913955688}}",,1,22,parameter_transfer,,"21,23",1749396501.5424957,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{23: {'norm': 3.383253574371338, 'mean': -0.0009649664862081409, 'std': 0.1993577927350998}}",,1,23,parameter_transfer,,"22,24",1749396501.542513,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{24: {'norm': 3.3649113178253174, 'mean': -0.0014841415686532855, 'std': 0.19827374815940857}}",,1,24,parameter_transfer,,"23,25",1749396501.5425544,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{25: {'norm': 3.3713455200195312, 'mean': -0.0008505024015903473, 'std': 0.1986566185951233}}",,1,25,parameter_transfer,,"24,26",1749396501.5425727,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{26: {'norm': 3.371411085128784, 'mean': -0.0005876943469047546, 'std': 0.1986614316701889}}",,1,26,parameter_transfer,,"25,27",1749396501.5425904,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{27: {'norm': 3.371450424194336, 'mean': -0.0014172167284414172, 'std': 0.19865955412387848}}",,1,27,parameter_transfer,,"26,28",1749396501.542607,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{28: {'norm': 3.3701741695404053, 'mean': -0.001309047918766737, 'std': 0.19858509302139282}}",,1,28,parameter_transfer,,"27,29",1749396501.5426235,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{29: {'norm': 3.3707339763641357, 'mean': -0.0002492900239303708, 'std': 0.1986222267150879}}",,1,29,parameter_transfer,,"28,0",1749396501.5426407,,,,,,,
,,0,,,AggregationEvent,,,,,,,3,,,,,,,"0,29,1",1,,aggregation,GossipAvg,,1749396501.5426655,,,,,,,
,,1,,,AggregationEvent,,,,,,,3,,,,,,,"1,0,2",1,,aggregation,GossipAvg,,1749396501.5426815,,,,,,,
,,2,,,AggregationEvent,,,,,,,3,,,,,,,"2,1,3",1,,aggregation,GossipAvg,,1749396501.5426912,,,,,,,
,,3,,,AggregationEvent,,,,,,,3,,,,,,,"3,2,4",1,,aggregation,GossipAvg,,1749396501.5427003,,,,,,,
,,4,,,AggregationEvent,,,,,,,3,,,,,,,"4,3,5",1,,aggregation,GossipAvg,,1749396501.5427105,,,,,,,
,,5,,,AggregationEvent,,,,,,,3,,,,,,,"5,4,6",1,,aggregation,GossipAvg,,1749396501.5427184,,,,,,,
,,6,,,AggregationEvent,,,,,,,3,,,,,,,"6,5,7",1,,aggregation,GossipAvg,,1749396501.5427275,,,,,,,
,,7,,,AggregationEvent,,,,,,,3,,,,,,,"7,6,8",1,,aggregation,GossipAvg,,1749396501.5427377,,,,,,,
,,8,,,AggregationEvent,,,,,,,3,,,,,,,"8,7,9",1,,aggregation,GossipAvg,,1749396501.5427458,,,,,,,
,,9,,,AggregationEvent,,,,,,,3,,,,,,,"9,8,10",1,,aggregation,GossipAvg,,1749396501.5427737,,,,,,,
,,10,,,AggregationEvent,,,,,,,3,,,,,,,"10,9,11",1,,aggregation,GossipAvg,,1749396501.5427825,,,,,,,
