accuracy,active_nodes,aggregator_node,avg_bandwidth_mbps,current_epoch,event_type,loss,metrics,network_density,node_type_distribution,num_active_nodes,num_nodes,num_participating_nodes,num_source_nodes,num_target_nodes,num_updated_nodes,organizational_entities,param_convergence,param_summary,participating_nodes,round_num,source_nodes,step_name,strategy_name,target_nodes,timestamp,topology_type,total_cpu_cores,total_edges,total_epochs,total_gpus,total_memory_gb,updated_nodes
,,,6300.0,,NetworkStructureEvent,,,1.0,"{'tier1_hospital': 1, 'tier2_hospital': 1, 'research_center': 1, 'mobile_unit': 1, 'edge_device': 1}",,5,,,,,5,,,,0,,network_structure,,,1749404383.1337194,complete,436,10,,47,1640,
,,,,,InitialStateEvent,,,,,,5,,,,,,,,,0,,initial_state,,,1749404383.1338973,complete,,,,,,
0.1872191712431353,,,,,EvaluationEvent,1.8208285623113334,"{'loss': 1.8208285623113334, 'accuracy': 0.1872191712431353}",,,,,,,,,,,,,0,,evaluation,,,1749404398.1096358,,,,,,,
,"0,1,2,3,4",,,,LocalTrainingEvent,,{},,,5,,,,,,,,,,1,,local_training,,,1749404398.1097841,,,,1,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{0: {'norm': 3.243722915649414, 'mean': -0.0024037128314375877, 'std': 0.11032750457525253}}",,1,0,parameter_transfer,,"1,2,3,4",1749404448.158143,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{1: {'norm': 3.240023374557495, 'mean': -0.0022980822250247, 'std': 0.11020387709140778}}",,1,1,parameter_transfer,,"0,2,3,4",1749404448.1582088,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{2: {'norm': 3.2438082695007324, 'mean': -0.0023570770863443613, 'std': 0.11033142358064651}}",,1,2,parameter_transfer,,"0,1,3,4",1749404448.1582408,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{3: {'norm': 3.2433104515075684, 'mean': -0.0023229578509926796, 'std': 0.11031520366668701}}",,1,3,parameter_transfer,,"0,1,2,4",1749404448.1582632,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{4: {'norm': 3.2432992458343506, 'mean': -0.0023474141489714384, 'std': 0.11031430959701538}}",,1,4,parameter_transfer,,"0,1,2,3",1749404448.1582854,,,,,,,
,,0,,,AggregationEvent,,,,,,,5,,,,,,,"0,1,2,3,4",1,,aggregation,GossipAvg,,1749404448.158314,,,,,,,
,,1,,,AggregationEvent,,,,,,,5,,,,,,,"1,0,2,3,4",1,,aggregation,GossipAvg,,1749404448.1583278,,,,,,,
,,2,,,AggregationEvent,,,,,,,5,,,,,,,"2,0,1,3,4",1,,aggregation,GossipAvg,,1749404448.1583378,,,,,,,
,,3,,,AggregationEvent,,,,,,,5,,,,,,,"3,0,1,2,4",1,,aggregation,GossipAvg,,1749404448.1583452,,,,,,,
,,4,,,AggregationEvent,,,,,,,5,,,,,,,"4,0,1,2,3",1,,aggregation,GossipAvg,,1749404448.1583543,,,,,,,
,,,,,ModelUpdateEvent,,,,,,,,,,5,,4.287516789979604,,,1,,model_update,,,1749404450.4791448,,,,,,,"0,1,2,3,4"
0.6674987518721918,,,,,EvaluationEvent,1.3075159789917175,"{'loss': 1.3075159789917175, 'accuracy': 0.6674987518721918}",,,,,,,,,,,,,1,,evaluation,,,1749404450.9780629,,,,,,,
,"0,1,2,3,4",,,,LocalTrainingEvent,,{},,,5,,,,,,,,,,2,,local_training,,,1749404450.978176,,,,1,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{0: {'norm': 3.241626501083374, 'mean': -0.0023430248256772757, 'std': 0.11025747656822205}}",,2,0,parameter_transfer,,"1,2,3,4",1749404492.7104065,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{1: {'norm': 3.2431135177612305, 'mean': -0.0023314293939620256, 'std': 0.11030833423137665}}",,2,1,parameter_transfer,,"0,2,3,4",1749404492.7104564,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{2: {'norm': 3.2401607036590576, 'mean': -0.0023199873976409435, 'std': 0.11020809412002563}}",,2,2,parameter_transfer,,"0,1,3,4",1749404492.7104824,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{3: {'norm': 3.2407565116882324, 'mean': -0.002284361980855465, 'std': 0.11022911965847015}}",,2,3,parameter_transfer,,"0,1,2,4",1749404492.7105048,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{4: {'norm': 3.2403955459594727, 'mean': -0.0023048482835292816, 'std': 0.11021639406681061}}",,2,4,parameter_transfer,,"0,1,2,3",1749404492.7105262,,,,,,,
,,0,,,AggregationEvent,,,,,,,5,,,,,,,"0,1,2,3,4",2,,aggregation,GossipAvg,,1749404492.7105591,,,,,,,
,,1,,,AggregationEvent,,,,,,,5,,,,,,,"1,0,2,3,4",2,,aggregation,GossipAvg,,1749404492.710595,,,,,,,
,,2,,,AggregationEvent,,,,,,,5,,,,,,,"2,0,1,3,4",2,,aggregation,GossipAvg,,1749404492.7106059,,,,,,,
,,3,,,AggregationEvent,,,,,,,5,,,,,,,"3,0,1,2,4",2,,aggregation,GossipAvg,,1749404492.7106147,,,,,,,
,,4,,,AggregationEvent,,,,,,,5,,,,,,,"4,0,1,2,3",2,,aggregation,GossipAvg,,1749404492.710623,,,,,,,
,,,,,ModelUpdateEvent,,,,,,,,,,5,,4.455923031818984,,,2,,model_update,,,1749404494.4029548,,,,,,,"0,1,2,3,4"
0.6674987518721918,,,,,EvaluationEvent,1.48058475661861,"{'loss': 1.48058475661861, 'accuracy': 0.6674987518721918}",,,,,,,,,,,,,2,,evaluation,,,1749404494.9049969,,,,,,,
,"0,1,2,3,4",,,,LocalTrainingEvent,,{},,,5,,,,,,,,,,3,,local_training,,,1749404494.9051144,,,,1,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{0: {'norm': 3.2409353256225586, 'mean': -0.002309642033651471, 'std': 0.11023467034101486}}",,3,0,parameter_transfer,,"1,2,3,4",1749404536.822956,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{1: {'norm': 3.2414627075195312, 'mean': -0.002358407946303487, 'std': 0.11025157570838928}}",,3,1,parameter_transfer,,"0,2,3,4",1749404536.82301,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{2: {'norm': 3.2418935298919678, 'mean': -0.0023730648681521416, 'std': 0.11026593297719955}}",,3,2,parameter_transfer,,"0,1,3,4",1749404536.823044,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{3: {'norm': 3.2423837184906006, 'mean': -0.0023206849582493305, 'std': 0.11028372496366501}}",,3,3,parameter_transfer,,"0,1,2,4",1749404536.8230727,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,4,,,,"{4: {'norm': 3.2417328357696533, 'mean': -0.0023142944555729628, 'std': 0.1102617010474205}}",,3,4,parameter_transfer,,"0,1,2,3",1749404536.8230948,,,,,,,
,,0,,,AggregationEvent,,,,,,,5,,,,,,,"0,1,2,3,4",3,,aggregation,GossipAvg,,1749404536.8231192,,,,,,,
,,1,,,AggregationEvent,,,,,,,5,,,,,,,"1,0,2,3,4",3,,aggregation,GossipAvg,,1749404536.8231308,,,,,,,
,,2,,,AggregationEvent,,,,,,,5,,,,,,,"2,0,1,3,4",3,,aggregation,GossipAvg,,1749404536.8231401,,,,,,,
,,3,,,AggregationEvent,,,,,,,5,,,,,,,"3,0,1,2,4",3,,aggregation,GossipAvg,,1749404536.8231497,,,,,,,
,,4,,,AggregationEvent,,,,,,,5,,,,,,,"4,0,1,2,3",3,,aggregation,GossipAvg,,1749404536.8231573,,,,,,,
,,,,,ModelUpdateEvent,,,,,,,,,,5,,4.458129420656972,,,3,,model_update,,,1749404538.4744966,,,,,,,"0,1,2,3,4"
0.6674987518721918,,,,,EvaluationEvent,1.6826198161154227,"{'loss': 1.6826198161154227, 'accuracy': 0.6674987518721918}",,,,,,,,,,,,,3,,evaluation,,,1749404538.9699895,,,,,,,
