accuracy,active_nodes,aggregator_node,avg_bandwidth_mbps,current_epoch,event_type,loss,metrics,network_density,node_type_distribution,num_active_nodes,num_nodes,num_participating_nodes,num_source_nodes,num_target_nodes,num_updated_nodes,organizational_entities,param_convergence,param_summary,participating_nodes,round_num,source_nodes,step_name,strategy_name,target_nodes,timestamp,topology_type,total_cpu_cores,total_edges,total_epochs,total_gpus,total_memory_gb,updated_nodes
,,,4942.857142857143,,NetworkStructureEvent,,,0.14285714285714285,"{'tier1_hospital': 2, 'tier2_hospital': 2, 'research_center': 1, 'mobile_unit': 1, 'edge_device': 1}",,7,,,,,5,,,,0,,network_structure,,,1749407510.7167082,line,480,3,,60,1648,
,,,,,InitialStateEvent,,,,,,7,,,,,,,,,0,,initial_state,,,1749407510.7168577,line,,,,,,
0.3479780329505741,,,,,EvaluationEvent,1.7572328540246842,"{'loss': 1.7572328540246842, 'accuracy': 0.3479780329505741}",,,,,,,,,,,,,0,,evaluation,,,1749407525.8266282,,,,,,,
,"0,1,2,3,4,5,6",,,,LocalTrainingEvent,,{},,,7,,,,,,,,,,1,,local_training,,,1749407525.8267848,,,,1,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{0: {'norm': 3.321375846862793, 'mean': 0.00670546805486083, 'std': 0.1127963662147522}}",,1,0,parameter_transfer,,1,1749407578.8866847,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{1: {'norm': 3.320007562637329, 'mean': 0.0066386628895998, 'std': 0.11275368183851242}}",,1,1,parameter_transfer,,0,1749407578.8867395,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{2: {'norm': 3.320556879043579, 'mean': 0.006601357366889715, 'std': 0.11277460306882858}}",,1,2,parameter_transfer,,1,1749407578.8867571,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{3: {'norm': 3.322404623031616, 'mean': 0.006688150577247143, 'std': 0.1128324493765831}}",,1,3,parameter_transfer,,2,1749407578.8867717,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{4: {'norm': 3.321875810623169, 'mean': 0.006708919070661068, 'std': 0.11281319707632065}}",,1,4,parameter_transfer,,3,1749407578.886785,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,1,,,,"{5: {'norm': 3.3213274478912354, 'mean': 0.0066836741752922535, 'std': 0.11279600858688354}}",,1,5,parameter_transfer,,4,1749407578.8867993,,,,,,,
