timestamp,round_num,node_id,parameter_norm,parameter_summary
1749408967.380202,1,0,3.3218483924865723,"{'norm': 3.3218483924865723, 'mean': -0.0010432956041768193, 'std': 0.11300676316022873}"
1749408967.380202,1,1,3.3202691078186035,"{'norm': 3.3202691078186035, 'mean': -0.0009048794745467603, 'std': 0.11295422166585922}"
1749408967.380202,1,2,3.318711042404175,"{'norm': 3.318711042404175, 'mean': -0.0010896283201873302, 'std': 0.11289958655834198}"
1749408967.380202,1,3,3.320655107498169,"{'norm': 3.320655107498169, 'mean': -0.0010673858923837543, 'std': 0.11296594142913818}"
1749408967.380202,1,4,3.319840431213379,"{'norm': 3.319840431213379, 'mean': -0.001052439445629716, 'std': 0.11293835937976837}"
1749408967.380202,1,5,3.3189499378204346,"{'norm': 3.3189499378204346, 'mean': -0.0011158896377310157, 'std': 0.11290745437145233}"
1749408967.380202,1,6,3.3196215629577637,"{'norm': 3.3196215629577637, 'mean': -0.0010960317449644208, 'std': 0.11293049901723862}"
1749408991.1324654,2,0,3.318542003631592,"{'norm': 3.318542003631592, 'mean': -0.0010227089514955878, 'std': 0.1128944605588913}"
1749408991.1324654,2,1,3.3197124004364014,"{'norm': 3.3197124004364014, 'mean': -0.0008874129271134734, 'std': 0.11293542385101318}"
1749408991.1324654,2,2,3.3171424865722656,"{'norm': 3.3171424865722656, 'mean': -0.0009464782779105008, 'std': 0.11284751445055008}"
1749408991.1324654,2,3,3.3201515674591064,"{'norm': 3.3201515674591064, 'mean': -0.0010669231414794922, 'std': 0.11294881254434586}"
1749408991.1324654,2,4,3.319243907928467,"{'norm': 3.319243907928467, 'mean': -0.0010300219291821122, 'std': 0.11291828006505966}"
1749408991.1324654,2,5,3.3176991939544678,"{'norm': 3.3176991939544678, 'mean': -0.0010437510209158063, 'std': 0.11286558210849762}"
1749408991.1324654,2,6,3.3180525302886963,"{'norm': 3.3180525302886963, 'mean': -0.0010112980380654335, 'std': 0.11287789791822433}"
1749409014.5496242,3,0,3.320340871810913,"{'norm': 3.320340871810913, 'mean': -0.0008975192322395742, 'std': 0.11295671761035919}"
1749409014.5496242,3,1,3.3179993629455566,"{'norm': 3.3179993629455566, 'mean': -0.0010177561780437827, 'std': 0.1128760352730751}"
1749409014.5496242,3,2,3.3161509037017822,"{'norm': 3.3161509037017822, 'mean': -0.0009360772091895342, 'std': 0.11281386762857437}"
1749409014.5496242,3,3,3.3187129497528076,"{'norm': 3.3187129497528076, 'mean': -0.0009871760848909616, 'std': 0.11290059238672256}"
1749409014.5496242,3,4,3.3172333240509033,"{'norm': 3.3172333240509033, 'mean': -0.0009007416665554047, 'std': 0.11285097151994705}"
1749409014.5496242,3,5,3.3166449069976807,"{'norm': 3.3166449069976807, 'mean': -0.0008566121687181294, 'std': 0.11283130198717117}"
1749409014.5496242,3,6,3.3180863857269287,"{'norm': 3.3180863857269287, 'mean': -0.000920119637157768, 'std': 0.11287984251976013}"
