node_id,admin_level,certification,department,established_year,funding_source,institution_name,institution_type,staff_count
0,regional,FedRAMP,radiology,1972,public,mayo_clinic,tier1_hospital,384
1,national,FedRAMP,oncology,1969,public,johns_hopkins,tier2_hospital,3361
2,international,FedRAMP,cardiology,1970,private,stanford_med,research_center,3278
3,local,FedRAMP,neurology,1959,private,mass_general,mobile_unit,4896
4,national,HIPAA_compliant,pathology,1951,public,ucla_health,edge_device,496
5,international,HIPAA_compliant,radiology,1992,public,mayo_clinic,tier1_hospital,75
6,international,SOC2,oncology,2014,public,johns_hopkins,tier2_hospital,555
7,national,ISO27001,cardiology,1952,mixed,stanford_med,research_center,982
8,local,ISO27001,neurology,2003,research_grant,mass_general,mobile_unit,1839
9,international,SOC2,pathology,2002,mixed,ucla_health,edge_device,1444
