accuracy,active_nodes,aggregator_node,avg_bandwidth_mbps,current_epoch,event_type,loss,metrics,network_density,node_type_distribution,num_active_nodes,num_nodes,num_participating_nodes,num_source_nodes,num_target_nodes,num_updated_nodes,organizational_entities,param_convergence,param_summary,participating_nodes,round_num,source_nodes,step_name,strategy_name,target_nodes,timestamp,topology_type,total_cpu_cores,total_edges,total_epochs,total_gpus,total_memory_gb,updated_nodes
,,,3876.6666666666665,,NetworkStructureEvent,,,0.13333333333333333,"{'tier1_hospital': 3, 'tier2_hospital': 3, 'research_center': 3, 'mobile_unit': 3, 'edge_device': 3}",,15,,,,,5,,,,0,,network_structure,,,1749412215.121165,star,876,14,,129,2760,
,,,,,InitialStateEvent,,,,,,15,,,,,,,,,0,,initial_state,,,1749412215.1213267,star,,,,,,
0.03344982526210684,,,,,EvaluationEvent,2.177669615252757,"{'loss': 2.177669615252757, 'accuracy': 0.03344982526210684}",,,,,,,,,,,,,0,,evaluation,,,1749412231.7597334,,,,,,,
,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",,,,LocalTrainingEvent,,{},,,15,,,,,,,,,,1,,local_training,,,1749412231.7598968,,,,1,,,
,,,,,ParameterTransferEvent,,,,,,,,14,1,,,,"{0: {'norm': 3.1172397136688232, 'mean': -0.0022667350713163614, 'std': 0.10602641850709915}, 1: {'norm': 3.117794990539551, 'mean': -0.00228295149281621, 'std': 0.10604497045278549}, 2: {'norm': 3.11822247505188, 'mean': -0.002286310773342848, 'std': 0.10605944693088531}, 3: {'norm': 3.118130922317505, 'mean': -0.002277911873534322, 'std': 0.10605650395154953}, 4: {'norm': 3.1190688610076904, 'mean': -0.002286510542035103, 'std': 0.10608824342489243}, 5: {'norm': 3.117469549179077, 'mean': -0.0022820550948381424, 'std': 0.10603391379117966}, 6: {'norm': 3.1187899112701416, 'mean': -0.0022977653425186872, 'std': 0.10607850551605225}, 7: {'norm': 3.1179733276367188, 'mean': -0.002275672974064946, 'std': 0.10605118423700333}, 8: {'norm': 3.1180148124694824, 'mean': -0.0022829542867839336, 'std': 0.1060524508357048}, 9: {'norm': 3.1182241439819336, 'mean': -0.002271725796163082, 'std': 0.10605981200933456}, 10: {'norm': 3.117438554763794, 'mean': -0.0022813607938587666, 'std': 0.10603287816047668}, 11: {'norm': 3.117851495742798, 'mean': -0.0022780478466302156, 'std': 0.10604699701070786}, 12: {'norm': 3.1181492805480957, 'mean': -0.002272858750075102, 'std': 0.10605724155902863}, 13: {'norm': 3.1179206371307373, 'mean': -0.0022804858162999153, 'std': 0.1060492992401123}, 14: {'norm': 3.1179933547973633, 'mean': -0.002273655030876398, 'std': 0.10605192184448242}}",,1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14",parameter_transfer,,0,1749412251.7895503,,,,,,,
,,0,,,AggregationEvent,,,,,,,15,,,,,,,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",1,,aggregation,FedAvg,,1749412251.7897122,,,,,,,
,,,,,ModelUpdateEvent,,,,,,,,,,15,,0.9553801707087967,,,1,,model_update,,,1749412253.607314,,,,,,,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14"
0.6674987518721918,,,,,EvaluationEvent,1.1954326455853785,"{'loss': 1.1954326455853785, 'accuracy': 0.6674987518721918}",,,,,,,,,,,,,1,,evaluation,,,1749412254.0993183,,,,,,,
,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",,,,LocalTrainingEvent,,{},,,15,,,,,,,,,,2,,local_training,,,1749412254.0994396,,,,1,,,
,,,,,ParameterTransferEvent,,,,,,,,14,1,,,,"{0: {'norm': 3.1176435947418213, 'mean': -0.0022621622774749994, 'std': 0.10604026168584824}, 1: {'norm': 3.118211507797241, 'mean': -0.002258766209706664, 'std': 0.10605965554714203}, 2: {'norm': 3.1184375286102295, 'mean': -0.0022905124351382256, 'std': 0.10606668144464493}, 3: {'norm': 3.1175668239593506, 'mean': -0.002250122604891658, 'std': 0.1060379147529602}, 4: {'norm': 3.1180663108825684, 'mean': -0.002292720368131995, 'std': 0.10605399310588837}, 5: {'norm': 3.118274211883545, 'mean': -0.0023033060133457184, 'std': 0.10606083273887634}, 6: {'norm': 3.1182656288146973, 'mean': -0.002285284921526909, 'std': 0.1060609295964241}, 7: {'norm': 3.1180315017700195, 'mean': -0.0022752624936401844, 'std': 0.1060531735420227}, 8: {'norm': 3.118180751800537, 'mean': -0.0022878849413245916, 'std': 0.10605798661708832}, 9: {'norm': 3.1182024478912354, 'mean': -0.0022816520649939775, 'std': 0.10605886578559875}, 10: {'norm': 3.117661476135254, 'mean': -0.0022795803379267454, 'std': 0.10604050010442734}, 11: {'norm': 3.1177453994750977, 'mean': -0.0022776394616812468, 'std': 0.10604339838027954}, 12: {'norm': 3.1179256439208984, 'mean': -0.002283799694851041, 'std': 0.10604938864707947}, 13: {'norm': 3.1180543899536133, 'mean': -0.002283550566062331, 'std': 0.10605379194021225}, 14: {'norm': 3.1178925037384033, 'mean': -0.0022740766871720552, 'std': 0.10604847967624664}}",,2,"1,2,3,4,5,6,7,8,9,10,11,12,13,14",parameter_transfer,,0,1749412264.038245,,,,,,,
