accuracy,active_nodes,aggregator_node,avg_bandwidth_mbps,current_epoch,event_type,loss,metrics,network_density,node_type_distribution,num_active_nodes,num_nodes,num_participating_nodes,num_source_nodes,num_target_nodes,num_updated_nodes,organizational_entities,param_convergence,param_summary,participating_nodes,round_num,source_nodes,step_name,strategy_name,target_nodes,timestamp,topology_type,total_cpu_cores,total_edges,total_epochs,total_gpus,total_memory_gb,updated_nodes
,,,3071.4285714285716,,NetworkStructureEvent,,,0.3333333333333333,"{'tier1_hospital': 2, 'tier2_hospital': 2, 'research_center': 1, 'mobile_unit': 1, 'edge_device': 1}",,7,,,,,5,,,,0,,network_structure,,,1749424252.6264265,ring,428,7,,52,1328,
,,,,,InitialStateEvent,,,,,,7,,,,,,,,,0,,initial_state,,,1749424252.6265779,ring,,,,,,
0.07139291063404893,,,,,EvaluationEvent,1.8292002854678135,"{'loss': 1.8292002854678135, 'accuracy': 0.07139291063404893}",,,,,,,,,,,,,0,,evaluation,,,1749424267.7225218,,,,,,,
,"0,1,2,3,4,5,6",,,,LocalTrainingEvent,,{},,,7,,,,,,,,,,1,,local_training,,,1749424267.7226536,,,,1,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{0: {'norm': 3.3269433975219727, 'mean': -0.003386399243026972, 'std': 0.1131342425942421}}",,1,0,parameter_transfer,,"6,1",1749424289.6404777,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{1: {'norm': 3.3277432918548584, 'mean': -0.003404665272682905, 'std': 0.11316092312335968}}",,1,1,parameter_transfer,,"0,2",1749424289.640533,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{2: {'norm': 3.3276896476745605, 'mean': -0.0033993790857493877, 'std': 0.11315924674272537}}",,1,2,parameter_transfer,,"1,3",1749424289.6405532,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{3: {'norm': 3.328190803527832, 'mean': -0.0033366756979376078, 'std': 0.11317817121744156}}",,1,3,parameter_transfer,,"2,4",1749424289.6405718,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{4: {'norm': 3.327687978744507, 'mean': -0.0033618404995650053, 'std': 0.11316031217575073}}",,1,4,parameter_transfer,,"3,5",1749424289.640588,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{5: {'norm': 3.3284504413604736, 'mean': -0.0034108145628124475, 'std': 0.11318480223417282}}",,1,5,parameter_transfer,,"4,6",1749424289.640606,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,2,,,,"{6: {'norm': 3.3277649879455566, 'mean': -0.0033997686114162207, 'std': 0.11316180229187012}}",,1,6,parameter_transfer,,"5,0",1749424289.6406226,,,,,,,
,,0,,,AggregationEvent,,,,,,,3,,,,,,,"0,6,1",1,,aggregation,GossipAvg,,1749424289.6406612,,,,,,,
,,1,,,AggregationEvent,,,,,,,3,,,,,,,"1,0,2",1,,aggregation,GossipAvg,,1749424289.6406817,,,,,,,
,,2,,,AggregationEvent,,,,,,,3,,,,,,,"2,1,3",1,,aggregation,GossipAvg,,1749424289.6406937,,,,,,,
,,3,,,AggregationEvent,,,,,,,3,,,,,,,"3,2,4",1,,aggregation,GossipAvg,,1749424289.640704,,,,,,,
,,4,,,AggregationEvent,,,,,,,3,,,,,,,"4,3,5",1,,aggregation,GossipAvg,,1749424289.6407142,,,,,,,
,,5,,,AggregationEvent,,,,,,,3,,,,,,,"5,4,6",1,,aggregation,GossipAvg,,1749424289.6407237,,,,,,,
,,6,,,AggregationEvent,,,,,,,3,,,,,,,"6,5,0",1,,aggregation,GossipAvg,,1749424289.640778,,,,,,,
,,,,,ModelUpdateEvent,,,,,,,,,,7,,2.1336861983066018,,,1,,model_update,,,1749424291.7880251,,,,,,,"0,1,2,3,4,5,6"
