accuracy,active_nodes,aggregator_node,avg_bandwidth_mbps,current_epoch,event_type,loss,metrics,network_density,node_type_distribution,num_active_nodes,num_nodes,num_participating_nodes,num_source_nodes,num_target_nodes,num_updated_nodes,organizational_entities,param_convergence,param_summary,participating_nodes,round_num,source_nodes,step_name,strategy_name,target_nodes,timestamp,topology_type,total_cpu_cores,total_edges,total_epochs,total_gpus,total_memory_gb,updated_nodes
,,,4721.428571428572,,NetworkStructureEvent,,,1.0,"{'tier1_hospital': 2, 'tier2_hospital': 2, 'research_center': 1, 'mobile_unit': 1, 'edge_device': 1}",,7,,,,,5,,,,0,,network_structure,,,1749424343.5112147,complete,460,21,,49,2032,
,,,,,InitialStateEvent,,,,,,7,,,,,,,,,0,,initial_state,,,1749424343.5113614,complete,,,,,,
0.03944083874188717,,,,,EvaluationEvent,2.342193412471282,"{'loss': 2.342193412471282, 'accuracy': 0.03944083874188717}",,,,,,,,,,,,,0,,evaluation,,,1749424358.5786862,,,,,,,
,"0,1,2,3,4,5,6",,,,LocalTrainingEvent,,{},,,7,,,,,,,,,,1,,local_training,,,1749424358.5788212,,,,1,,,
,,,,,ParameterTransferEvent,,,,,,,,1,6,,,,"{0: {'norm': 3.209368944168091, 'mean': -0.006283283233642578, 'std': 0.10900400578975677}}",,1,0,parameter_transfer,,"1,2,3,4,5,6",1749424380.8997495,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,6,,,,"{1: {'norm': 3.2095515727996826, 'mean': -0.006256622727960348, 'std': 0.10901176184415817}}",,1,1,parameter_transfer,,"0,2,3,4,5,6",1749424380.8998141,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,6,,,,"{2: {'norm': 3.2089030742645264, 'mean': -0.006340507883578539, 'std': 0.1089848205447197}}",,1,2,parameter_transfer,,"0,1,3,4,5,6",1749424380.8998442,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,6,,,,"{3: {'norm': 3.2096056938171387, 'mean': -0.006271957419812679, 'std': 0.10901272296905518}}",,1,3,parameter_transfer,,"0,1,2,4,5,6",1749424380.899872,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,6,,,,"{4: {'norm': 3.2087900638580322, 'mean': -0.006262736860662699, 'std': 0.10898546874523163}}",,1,4,parameter_transfer,,"0,1,2,3,5,6",1749424380.8998978,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,6,,,,"{5: {'norm': 3.2092771530151367, 'mean': -0.006303995382040739, 'std': 0.10899969190359116}}",,1,5,parameter_transfer,,"0,1,2,3,4,6",1749424380.899924,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,6,,,,"{6: {'norm': 3.208592414855957, 'mean': -0.006254034116864204, 'std': 0.1089792251586914}}",,1,6,parameter_transfer,,"0,1,2,3,4,5",1749424380.8999498,,,,,,,
,,0,,,AggregationEvent,,,,,,,7,,,,,,,"0,1,2,3,4,5,6",1,,aggregation,GossipAvg,,1749424380.8999867,,,,,,,
,,1,,,AggregationEvent,,,,,,,7,,,,,,,"1,0,2,3,4,5,6",1,,aggregation,GossipAvg,,1749424380.900007,,,,,,,
,,2,,,AggregationEvent,,,,,,,7,,,,,,,"2,0,1,3,4,5,6",1,,aggregation,GossipAvg,,1749424380.9000204,,,,,,,
,,3,,,AggregationEvent,,,,,,,7,,,,,,,"3,0,1,2,4,5,6",1,,aggregation,GossipAvg,,1749424380.9000297,,,,,,,
,,4,,,AggregationEvent,,,,,,,7,,,,,,,"4,0,1,2,3,5,6",1,,aggregation,GossipAvg,,1749424380.9000394,,,,,,,
,,5,,,AggregationEvent,,,,,,,7,,,,,,,"5,0,1,2,3,4,6",1,,aggregation,GossipAvg,,1749424380.9000485,,,,,,,
,,6,,,AggregationEvent,,,,,,,7,,,,,,,"6,0,1,2,3,4,5",1,,aggregation,GossipAvg,,1749424380.900059,,,,,,,
,,,,,ModelUpdateEvent,,,,,,,,,,7,,2.1391983502279004,,,1,,model_update,,,1749424385.4102197,,,,,,,"0,1,2,3,4,5,6"
0.6674987518721918,,,,,EvaluationEvent,1.2512487358768405,"{'loss': 1.2512487358768405, 'accuracy': 0.6674987518721918}",,,,,,,,,,,,,1,,evaluation,,,1749424385.9204757,,,,,,,
,"0,1,2,3,4,5,6",,,,LocalTrainingEvent,,{},,,7,,,,,,,,,,2,,local_training,,,1749424385.920604,,,,1,,,
,,,,,ParameterTransferEvent,,,,,,,,1,6,,,,"{0: {'norm': 3.208644151687622, 'mean': -0.006271729711443186, 'std': 0.1089799776673317}}",,2,0,parameter_transfer,,"1,2,3,4,5,6",1749424398.3150911,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,6,,,,"{1: {'norm': 3.209775447845459, 'mean': -0.00626404769718647, 'std': 0.109018974006176}}",,2,1,parameter_transfer,,"0,2,3,4,5,6",1749424398.3151448,,,,,,,
