node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,128,PIPEDA,16,512,tier1_hospital,0.992,standard,20000
1,clinic_001,2000,tier_2,64,HIPAA,8,128,tier2_hospital,0.977,standard,10000
2,research_center_002,10000,tier_3,128,GDPR,32,512,research_center,0.982,high,100000
3,mobile_unit_003,100,tier_1,16,HIPAA,1,16,mobile_unit,0.821,high,5000
4,edge_device_004,100,tier_2,4,GDPR,1,8,edge_device,0.819,high,500
5,hospital_005,5000,tier_1,32,PIPEDA,16,512,tier1_hospital,0.968,critical,50000
6,clinic_006,2000,tier_2,16,HIPAA,8,256,tier2_hospital,0.939,high,20000
7,research_center_007,20000,tier_3,256,PIPEDA,8,1024,research_center,0.985,standard,50000
8,mobile_unit_008,500,tier_1,4,HIPAA,2,64,mobile_unit,0.846,critical,2000
9,edge_device_009,50,tier_2,8,GDPR,1,8,edge_device,0.855,standard,500
