activity_type,current_epoch,is_aggregator,metrics,param_convergence,round_num,strategy_name,timestamp,total_epochs
local_training,,,{},,1,,1749427327.1260893,1
aggregation,,True,,,1,GossipAvg,1749427342.125107,
aggregation,,False,,,1,GossipAvg,1749427342.1251175,
model_update,,,,4.103944875887971,1,,1749427344.3756266,
local_training,,,{},,2,,1749427344.879035,1
aggregation,,True,,,2,GossipAvg,1749427352.8234022,
aggregation,,False,,,2,GossipAvg,1749427352.8234794,
model_update,,,,4.656041348479722,2,,1749427354.5779126,
local_training,,,{},,3,,1749427355.0699615,1
aggregation,,True,,,3,GossipAvg,1749427363.0516403,
aggregation,,False,,,3,GossipAvg,1749427363.0517156,
model_update,,,,4.662494751631954,3,,1749427364.760694,
