param_summary,round_num,source_node,strategy_name,target_node,timestamp,transfer_type
"{'norm': 3.2358834743499756, 'mean': -0.0020828028209507465, 'std': 0.11006730049848557}",1,0,,14,1749428389.3590088,parameter_transfer
"{'norm': 3.2358834743499756, 'mean': -0.0020828028209507465, 'std': 0.11006730049848557}",1,0,,1,1749428389.3590088,parameter_transfer
"{'norm': 3.2355055809020996, 'mean': -0.0020755005534738302, 'std': 0.11005456745624542}",1,1,,0,1749428389.3590636,parameter_transfer
"{'norm': 3.2355055809020996, 'mean': -0.0020755005534738302, 'std': 0.11005456745624542}",1,1,,2,1749428389.3590636,parameter_transfer
"{'norm': 3.2370474338531494, 'mean': -0.0020643954630941153, 'std': 0.11010722815990448}",1,2,,1,1749428389.3590841,parameter_transfer
"{'norm': 3.2370474338531494, 'mean': -0.0020643954630941153, 'std': 0.11010722815990448}",1,2,,3,1749428389.3590841,parameter_transfer
"{'norm': 3.2362053394317627, 'mean': -0.0020733943674713373, 'std': 0.11007841676473618}",1,3,,2,1749428389.359102,parameter_transfer
"{'norm': 3.2362053394317627, 'mean': -0.0020733943674713373, 'std': 0.11007841676473618}",1,3,,4,1749428389.359102,parameter_transfer
"{'norm': 3.23608660697937, 'mean': -0.0020852903835475445, 'std': 0.11007414758205414}",1,4,,3,1749428389.3591182,parameter_transfer
"{'norm': 3.23608660697937, 'mean': -0.0020852903835475445, 'std': 0.11007414758205414}",1,4,,5,1749428389.3591182,parameter_transfer
"{'norm': 3.2367892265319824, 'mean': -0.0020601286087185144, 'std': 0.11009852588176727}",1,5,,4,1749428389.3591352,parameter_transfer
"{'norm': 3.2367892265319824, 'mean': -0.0020601286087185144, 'std': 0.11009852588176727}",1,5,,6,1749428389.3591352,parameter_transfer
"{'norm': 3.2363922595977783, 'mean': -0.002066100249066949, 'std': 0.11008492112159729}",1,6,,5,1749428389.359152,parameter_transfer
"{'norm': 3.2363922595977783, 'mean': -0.002066100249066949, 'std': 0.11008492112159729}",1,6,,7,1749428389.359152,parameter_transfer
"{'norm': 3.236726760864258, 'mean': -0.0020716050639748573, 'std': 0.11009618639945984}",1,7,,6,1749428389.3591688,parameter_transfer
"{'norm': 3.236726760864258, 'mean': -0.0020716050639748573, 'std': 0.11009618639945984}",1,7,,8,1749428389.3591688,parameter_transfer
"{'norm': 3.2370142936706543, 'mean': -0.00206513749435544, 'std': 0.11010609567165375}",1,8,,7,1749428389.3591852,parameter_transfer
"{'norm': 3.2370142936706543, 'mean': -0.00206513749435544, 'std': 0.11010609567165375}",1,8,,9,1749428389.3591852,parameter_transfer
"{'norm': 3.2365543842315674, 'mean': -0.0020838493946939707, 'std': 0.11009009927511215}",1,9,,8,1749428389.3592007,parameter_transfer
"{'norm': 3.2365543842315674, 'mean': -0.0020838493946939707, 'std': 0.11009009927511215}",1,9,,10,1749428389.3592007,parameter_transfer
"{'norm': 3.2359259128570557, 'mean': -0.0020697626750916243, 'std': 0.11006897687911987}",1,10,,9,1749428389.3592153,parameter_transfer
"{'norm': 3.2359259128570557, 'mean': -0.0020697626750916243, 'std': 0.11006897687911987}",1,10,,11,1749428389.3592153,parameter_transfer
"{'norm': 3.236161708831787, 'mean': -0.0020828451961278915, 'std': 0.11007675528526306}",1,11,,10,1749428389.3592749,parameter_transfer
"{'norm': 3.236161708831787, 'mean': -0.0020828451961278915, 'std': 0.11007675528526306}",1,11,,12,1749428389.3592749,parameter_transfer
"{'norm': 3.2366042137145996, 'mean': -0.0020586431492120028, 'std': 0.11009225994348526}",1,12,,11,1749428389.3592913,parameter_transfer
"{'norm': 3.2366042137145996, 'mean': -0.0020586431492120028, 'std': 0.11009225994348526}",1,12,,13,1749428389.3592913,parameter_transfer
"{'norm': 3.236527919769287, 'mean': -0.0020582075230777264, 'std': 0.11008967459201813}",1,13,,12,1749428389.3593266,parameter_transfer
"{'norm': 3.236527919769287, 'mean': -0.0020582075230777264, 'std': 0.11008967459201813}",1,13,,14,1749428389.3593266,parameter_transfer
"{'norm': 3.2357099056243896, 'mean': -0.0020763580687344074, 'std': 0.11006150394678116}",1,14,,13,1749428389.3593438,parameter_transfer
"{'norm': 3.2357099056243896, 'mean': -0.0020763580687344074, 'std': 0.11006150394678116}",1,14,,0,1749428389.3593438,parameter_transfer
,1,14,GossipAvg,0,1749428389.3593667,aggregation
,1,1,GossipAvg,0,1749428389.3593667,aggregation
,1,0,GossipAvg,1,1749428389.3593814,aggregation
,1,2,GossipAvg,1,1749428389.3593814,aggregation
,1,1,GossipAvg,2,1749428389.3593915,aggregation
,1,3,GossipAvg,2,1749428389.3593915,aggregation
,1,2,GossipAvg,3,1749428389.359399,aggregation
,1,4,GossipAvg,3,1749428389.359399,aggregation
,1,3,GossipAvg,4,1749428389.3594062,aggregation
,1,5,GossipAvg,4,1749428389.3594062,aggregation
,1,4,GossipAvg,5,1749428389.3594134,aggregation
,1,6,GossipAvg,5,1749428389.3594134,aggregation
,1,5,GossipAvg,6,1749428389.359421,aggregation
,1,7,GossipAvg,6,1749428389.359421,aggregation
,1,6,GossipAvg,7,1749428389.359429,aggregation
,1,8,GossipAvg,7,1749428389.359429,aggregation
,1,7,GossipAvg,8,1749428389.3594368,aggregation
,1,9,GossipAvg,8,1749428389.3594368,aggregation
,1,8,GossipAvg,9,1749428389.3594434,aggregation
,1,10,GossipAvg,9,1749428389.3594434,aggregation
,1,9,GossipAvg,10,1749428389.3594503,aggregation
,1,11,GossipAvg,10,1749428389.3594503,aggregation
,1,10,GossipAvg,11,1749428389.359458,aggregation
,1,12,GossipAvg,11,1749428389.359458,aggregation
,1,11,GossipAvg,12,1749428389.3594644,aggregation
,1,13,GossipAvg,12,1749428389.3594644,aggregation
,1,12,GossipAvg,13,1749428389.3594708,aggregation
,1,14,GossipAvg,13,1749428389.3594708,aggregation
,1,13,GossipAvg,14,1749428389.3594778,aggregation
,1,0,GossipAvg,14,1749428389.3594778,aggregation
"{'norm': 3.2361130714416504, 'mean': -0.0020581649150699377, 'std': 0.11007555574178696}",2,0,,14,1749428400.9526763,parameter_transfer
"{'norm': 3.2361130714416504, 'mean': -0.0020581649150699377, 'std': 0.11007555574178696}",2,0,,1,1749428400.9526763,parameter_transfer
"{'norm': 3.2364513874053955, 'mean': -0.0020686695352196693, 'std': 0.11008687317371368}",2,1,,0,1749428400.952725,parameter_transfer
"{'norm': 3.2364513874053955, 'mean': -0.0020686695352196693, 'std': 0.11008687317371368}",2,1,,2,1749428400.952725,parameter_transfer
"{'norm': 3.236067056655884, 'mean': -0.002077840967103839, 'std': 0.11007361859083176}",2,2,,1,1749428400.9527454,parameter_transfer
"{'norm': 3.236067056655884, 'mean': -0.002077840967103839, 'std': 0.11007361859083176}",2,2,,3,1749428400.9527454,parameter_transfer
"{'norm': 3.235949993133545, 'mean': -0.0020771638955920935, 'std': 0.1100696548819542}",2,3,,2,1749428400.952765,parameter_transfer
"{'norm': 3.235949993133545, 'mean': -0.0020771638955920935, 'std': 0.1100696548819542}",2,3,,4,1749428400.952765,parameter_transfer
"{'norm': 3.236191749572754, 'mean': -0.002075653290376067, 'std': 0.11007791757583618}",2,4,,3,1749428400.9527824,parameter_transfer
"{'norm': 3.236191749572754, 'mean': -0.002075653290376067, 'std': 0.11007791757583618}",2,4,,5,1749428400.9527824,parameter_transfer
"{'norm': 3.237718105316162, 'mean': -0.0020652692764997482, 'std': 0.11013004183769226}",2,5,,4,1749428400.9528823,parameter_transfer
"{'norm': 3.237718105316162, 'mean': -0.0020652692764997482, 'std': 0.11013004183769226}",2,5,,6,1749428400.9528823,parameter_transfer
"{'norm': 3.2369587421417236, 'mean': -0.0020667987409979105, 'std': 0.11010418087244034}",2,6,,5,1749428400.9528987,parameter_transfer
"{'norm': 3.2369587421417236, 'mean': -0.0020667987409979105, 'std': 0.11010418087244034}",2,6,,7,1749428400.9528987,parameter_transfer
"{'norm': 3.237013816833496, 'mean': -0.0020666380878537893, 'std': 0.11010605096817017}",2,7,,6,1749428400.9529154,parameter_transfer
"{'norm': 3.237013816833496, 'mean': -0.0020666380878537893, 'std': 0.11010605096817017}",2,7,,8,1749428400.9529154,parameter_transfer
"{'norm': 3.2367305755615234, 'mean': -0.0020684266928583384, 'std': 0.11009638011455536}",2,8,,7,1749428400.9529316,parameter_transfer
"{'norm': 3.2367305755615234, 'mean': -0.0020684266928583384, 'std': 0.11009638011455536}",2,8,,9,1749428400.9529316,parameter_transfer
"{'norm': 3.2367963790893555, 'mean': -0.002087511820718646, 'std': 0.11009825766086578}",2,9,,8,1749428400.9529474,parameter_transfer
"{'norm': 3.2367963790893555, 'mean': -0.002087511820718646, 'std': 0.11009825766086578}",2,9,,10,1749428400.9529474,parameter_transfer
"{'norm': 3.2355496883392334, 'mean': -0.0020650315564125776, 'std': 0.11005627363920212}",2,10,,9,1749428400.9529636,parameter_transfer
"{'norm': 3.2355496883392334, 'mean': -0.0020650315564125776, 'std': 0.11005627363920212}",2,10,,11,1749428400.9529636,parameter_transfer
"{'norm': 3.236166477203369, 'mean': -0.0020597060211002827, 'std': 0.11007735133171082}",2,11,,10,1749428400.9529798,parameter_transfer
"{'norm': 3.236166477203369, 'mean': -0.0020597060211002827, 'std': 0.11007735133171082}",2,11,,12,1749428400.9529798,parameter_transfer
"{'norm': 3.2366416454315186, 'mean': -0.002077488461509347, 'std': 0.11009318381547928}",2,12,,11,1749428400.9529953,parameter_transfer
"{'norm': 3.2366416454315186, 'mean': -0.002077488461509347, 'std': 0.11009318381547928}",2,12,,13,1749428400.9529953,parameter_transfer
"{'norm': 3.2360758781433105, 'mean': -0.0020849136635661125, 'std': 0.11007379740476608}",2,13,,12,1749428400.9530149,parameter_transfer
"{'norm': 3.2360758781433105, 'mean': -0.0020849136635661125, 'std': 0.11007379740476608}",2,13,,14,1749428400.9530149,parameter_transfer
"{'norm': 3.235553026199341, 'mean': -0.00204486190341413, 'std': 0.11005675792694092}",2,14,,13,1749428400.953038,parameter_transfer
"{'norm': 3.235553026199341, 'mean': -0.00204486190341413, 'std': 0.11005675792694092}",2,14,,0,1749428400.953038,parameter_transfer
,2,14,GossipAvg,0,1749428400.9530628,aggregation
,2,1,GossipAvg,0,1749428400.9530628,aggregation
,2,0,GossipAvg,1,1749428400.9530778,aggregation
,2,2,GossipAvg,1,1749428400.9530778,aggregation
,2,1,GossipAvg,2,1749428400.9530873,aggregation
,2,3,GossipAvg,2,1749428400.9530873,aggregation
,2,2,GossipAvg,3,1749428400.9530957,aggregation
,2,4,GossipAvg,3,1749428400.9530957,aggregation
,2,3,GossipAvg,4,1749428400.9531033,aggregation
,2,5,GossipAvg,4,1749428400.9531033,aggregation
,2,4,GossipAvg,5,1749428400.9531116,aggregation
,2,6,GossipAvg,5,1749428400.9531116,aggregation
,2,5,GossipAvg,6,1749428400.953119,aggregation
,2,7,GossipAvg,6,1749428400.953119,aggregation
,2,6,GossipAvg,7,1749428400.9531264,aggregation
,2,8,GossipAvg,7,1749428400.9531264,aggregation
,2,7,GossipAvg,8,1749428400.953133,aggregation
,2,9,GossipAvg,8,1749428400.953133,aggregation
,2,8,GossipAvg,9,1749428400.9531403,aggregation
,2,10,GossipAvg,9,1749428400.9531403,aggregation
,2,9,GossipAvg,10,1749428400.9531476,aggregation
,2,11,GossipAvg,10,1749428400.9531476,aggregation
,2,10,GossipAvg,11,1749428400.953155,aggregation
,2,12,GossipAvg,11,1749428400.953155,aggregation
,2,11,GossipAvg,12,1749428400.9531622,aggregation
,2,13,GossipAvg,12,1749428400.9531622,aggregation
,2,12,GossipAvg,13,1749428400.9531884,aggregation
,2,14,GossipAvg,13,1749428400.9531884,aggregation
,2,13,GossipAvg,14,1749428400.9531956,aggregation
,2,0,GossipAvg,14,1749428400.9531956,aggregation
"{'norm': 3.236377716064453, 'mean': -0.0020380273927003145, 'std': 0.11008493602275848}",3,0,,14,1749428411.6385584,parameter_transfer
"{'norm': 3.236377716064453, 'mean': -0.0020380273927003145, 'std': 0.11008493602275848}",3,0,,1,1749428411.6385584,parameter_transfer
"{'norm': 3.2366154193878174, 'mean': -0.0020744430366903543, 'std': 0.11009234935045242}",3,1,,0,1749428411.6386049,parameter_transfer
"{'norm': 3.2366154193878174, 'mean': -0.0020744430366903543, 'std': 0.11009234935045242}",3,1,,2,1749428411.6386049,parameter_transfer
"{'norm': 3.2370314598083496, 'mean': -0.002067842520773411, 'std': 0.11010663211345673}",3,2,,1,1749428411.6386247,parameter_transfer
"{'norm': 3.2370314598083496, 'mean': -0.002067842520773411, 'std': 0.11010663211345673}",3,2,,3,1749428411.6386247,parameter_transfer
"{'norm': 3.2364883422851562, 'mean': -0.0020986890885978937, 'std': 0.1100875735282898}",3,3,,2,1749428411.6386445,parameter_transfer
"{'norm': 3.2364883422851562, 'mean': -0.0020986890885978937, 'std': 0.1100875735282898}",3,3,,4,1749428411.6386445,parameter_transfer
"{'norm': 3.236254930496216, 'mean': -0.0020440940279513597, 'std': 0.11008065193891525}",3,4,,3,1749428411.6386626,parameter_transfer
"{'norm': 3.236254930496216, 'mean': -0.0020440940279513597, 'std': 0.11008065193891525}",3,4,,5,1749428411.6386626,parameter_transfer
"{'norm': 3.2369349002838135, 'mean': -0.0020450621377676725, 'std': 0.11010377109050751}",3,5,,4,1749428411.6387696,parameter_transfer
"{'norm': 3.2369349002838135, 'mean': -0.0020450621377676725, 'std': 0.11010377109050751}",3,5,,6,1749428411.6387696,parameter_transfer
"{'norm': 3.235949993133545, 'mean': -0.0020546375308185816, 'std': 0.11007007956504822}",3,6,,5,1749428411.6388092,parameter_transfer
"{'norm': 3.235949993133545, 'mean': -0.0020546375308185816, 'std': 0.11007007956504822}",3,6,,7,1749428411.6388092,parameter_transfer
"{'norm': 3.237412452697754, 'mean': -0.002075083088129759, 'std': 0.11011945456266403}",3,7,,6,1749428411.6388276,parameter_transfer
"{'norm': 3.237412452697754, 'mean': -0.002075083088129759, 'std': 0.11011945456266403}",3,7,,8,1749428411.6388276,parameter_transfer
"{'norm': 3.236414670944214, 'mean': -0.00209606159478426, 'std': 0.11008511483669281}",3,8,,7,1749428411.6388488,parameter_transfer
"{'norm': 3.236414670944214, 'mean': -0.00209606159478426, 'std': 0.11008511483669281}",3,8,,9,1749428411.6388488,parameter_transfer
"{'norm': 3.237656354904175, 'mean': -0.002054935786873102, 'std': 0.11012814193964005}",3,9,,8,1749428411.6388643,parameter_transfer
"{'norm': 3.237656354904175, 'mean': -0.002054935786873102, 'std': 0.11012814193964005}",3,9,,10,1749428411.6388643,parameter_transfer
