node_id,admin_level,certification,department,established_year,funding_source,institution_name,institution_type,staff_count
0,regional,ISO27001,radiology,1980,mixed,mayo_clinic,tier1_hospital,3512
1,international,FedRAMP,oncology,1980,public,johns_hopkins,tier2_hospital,4319
2,international,ISO27001,cardiology,1952,research_grant,stanford_med,research_center,4165
3,international,ISO27001,neurology,1981,research_grant,mass_general,mobile_unit,4627
4,international,SOC2,pathology,2013,mixed,ucla_health,edge_device,3695
5,international,SOC2,radiology,2008,private,mayo_clinic,tier1_hospital,1574
6,regional,FedRAMP,oncology,1979,public,johns_hopkins,tier2_hospital,992
7,national,SOC2,cardiology,2013,public,stanford_med,research_center,1444
8,international,FedRAMP,neurology,2015,mixed,mass_general,mobile_unit,3237
9,international,FedRAMP,pathology,1985,research_grant,ucla_health,edge_device,1682
