node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,32,local,4,128,tier1_hospital,0.952,standard,50000
1,clinic_001,5000,tier_2,64,PIPEDA,4,64,tier2_hospital,0.941,standard,20000
2,research_center_002,10000,tier_3,128,PIPEDA,16,512,research_center,0.996,critical,50000
3,mobile_unit_003,100,tier_1,16,local,1,32,mobile_unit,0.807,standard,1000
4,edge_device_004,50,tier_2,8,local,0,32,edge_device,0.741,standard,2000
5,hospital_005,10000,tier_1,64,GDPR,8,128,tier1_hospital,0.956,standard,10000
6,clinic_006,5000,tier_2,32,PIPEDA,4,256,tier2_hospital,0.907,standard,10000
7,research_center_007,10000,tier_3,256,GDPR,8,256,research_center,0.998,high,20000
8,mobile_unit_008,100,tier_1,4,local,1,32,mobile_unit,0.886,high,2000
9,edge_device_009,100,tier_2,4,GDPR,1,32,edge_device,0.788,standard,500
