node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,128,local,16,512,tier1_hospital,0.991,critical,50000
1,clinic_001,5000,tier_2,64,local,4,256,tier2_hospital,0.974,critical,20000
2,research_center_002,10000,tier_3,128,GDPR,16,512,research_center,0.995,critical,100000
3,mobile_unit_003,500,tier_1,4,GDPR,1,16,mobile_unit,0.869,high,1000
4,edge_device_004,100,tier_2,4,PIPEDA,0,16,edge_device,0.808,high,500
5,hospital_005,2000,tier_1,32,HIPAA,4,128,tier1_hospital,0.967,critical,20000
6,clinic_006,2000,tier_2,64,GDPR,8,256,tier2_hospital,0.973,standard,5000
7,research_center_007,5000,tier_3,256,PIPEDA,16,1024,research_center,0.996,critical,50000
8,mobile_unit_008,100,tier_1,16,PIPEDA,2,16,mobile_unit,0.817,standard,2000
9,edge_device_009,500,tier_2,2,HIPAA,0,16,edge_device,0.772,standard,1000
10,hospital_010,2000,tier_1,32,HIPAA,4,128,tier1_hospital,0.956,standard,10000
11,clinic_011,2000,tier_2,64,GDPR,4,256,tier2_hospital,0.958,high,5000
12,research_center_012,20000,tier_3,256,PIPEDA,8,256,research_center,0.982,standard,50000
13,mobile_unit_013,100,tier_1,16,GDPR,2,16,mobile_unit,0.84,high,2000
14,edge_device_014,500,tier_2,8,GDPR,1,8,edge_device,0.717,standard,2000
