node_id,admin_level,certification,department,established_year,funding_source,institution_name,institution_type,staff_count
0,international,SOC2,radiology,1979,private,mayo_clinic,tier1_hospital,522
1,regional,ISO27001,oncology,2018,private,johns_hopkins,tier2_hospital,1978
2,national,ISO27001,cardiology,1978,mixed,stanford_med,research_center,4810
3,local,HIPAA_compliant,neurology,2018,mixed,mass_general,mobile_unit,937
4,local,FedRAMP,pathology,1974,private,ucla_health,edge_device,1665
5,national,FedRAMP,radiology,1955,research_grant,mayo_clinic,tier1_hospital,2741
6,regional,HIPAA_compliant,oncology,2019,public,johns_hopkins,tier2_hospital,4330
7,local,ISO27001,cardiology,1969,public,stanford_med,research_center,50
8,local,SOC2,neurology,2017,private,mass_general,mobile_unit,4088
9,local,FedRAMP,pathology,1954,mixed,ucla_health,edge_device,907
10,international,HIPAA_compliant,radiology,2012,mixed,mayo_clinic,tier1_hospital,1386
11,regional,ISO27001,oncology,2014,research_grant,johns_hopkins,tier2_hospital,401
12,regional,ISO27001,cardiology,1973,private,stanford_med,research_center,953
13,national,FedRAMP,neurology,2001,private,mass_general,mobile_unit,498
14,regional,HIPAA_compliant,pathology,2001,public,ucla_health,edge_device,139
