accuracy,active_nodes,aggregator_node,avg_bandwidth_mbps,current_epoch,event_type,loss,metrics,network_density,node_type_distribution,num_active_nodes,num_nodes,num_participating_nodes,num_source_nodes,num_target_nodes,num_updated_nodes,organizational_entities,param_convergence,param_summary,participating_nodes,round_num,source_nodes,step_name,strategy_name,target_nodes,timestamp,topology_type,total_cpu_cores,total_edges,total_epochs,total_gpus,total_memory_gb,updated_nodes
,,,3820.0,,NetworkStructureEvent,,,0.2,"{'tier1_hospital': 2, 'tier2_hospital': 2, 'research_center': 2, 'mobile_unit': 2, 'edge_device': 2}",,10,,,,,5,,,,0,,network_structure,,,1749441773.4713402,star,616,9,,68,2280,
,,,,,InitialStateEvent,,,,,,10,,,,,,,,,0,,initial_state,,,1749441773.4714942,star,,,,,,
0.103,,,,,EvaluationEvent,2.3585671031951905,"{'loss': 2.3585671031951905, 'accuracy': 0.103}",,,,,,,,,,,,,0,,evaluation,,,1749441776.0171313,,,,,,,
,"0,1,2,3,4,5,6,7,8,9",,,,LocalTrainingEvent,,{},,,10,,,,,,,,,,1,,local_training,,,1749441776.017258,,,,1,,,
,,,,,ParameterTransferEvent,,,,,,,,9,1,,,,"{0: {'norm': 3.3308069705963135, 'mean': 0.008535404689610004, 'std': 0.19608400762081146}, 1: {'norm': 3.3308069705963135, 'mean': 0.008535404689610004, 'std': 0.19608400762081146}, 2: {'norm': 3.3308069705963135, 'mean': 0.008535404689610004, 'std': 0.19608400762081146}, 3: {'norm': 3.3320977687835693, 'mean': 0.008717719465494156, 'std': 0.19615210592746735}, 4: {'norm': 3.3308069705963135, 'mean': 0.008535404689610004, 'std': 0.19608400762081146}, 5: {'norm': 3.3446779251098633, 'mean': 0.009911618195474148, 'std': 0.1968376487493515}, 6: {'norm': 3.345261573791504, 'mean': 0.00904899649322033, 'std': 0.19691361486911774}, 7: {'norm': 3.3330540657043457, 'mean': 0.009063886478543282, 'std': 0.19619283080101013}, 8: {'norm': 3.3201236724853516, 'mean': 0.009387428872287273, 'std': 0.19541482627391815}, 9: {'norm': 3.3308069705963135, 'mean': 0.008535404689610004, 'std': 0.19608400762081146}}",,1,"1,2,3,4,5,6,7,8,9",parameter_transfer,,0,1749441788.6348367,,,,,,,
,,0,,,AggregationEvent,,,,,,,10,,,,,,,"0,1,2,3,4,5,6,7,8,9",1,,aggregation,FedAvg,,1749441788.6349711,,,,,,,
,,,,,ModelUpdateEvent,,,,,,,,,,10,,2.8329501898590372,,,1,,model_update,,,1749441788.7399197,,,,,,,"0,1,2,3,4,5,6,7,8,9"
0.3181,,,,,EvaluationEvent,2.0164890853881836,"{'loss': 2.0164890853881836, 'accuracy': 0.3181}",,,,,,,,,,,,,1,,evaluation,,,1749441789.070036,,,,,,,
,"0,1,2,3,4,5,6,7,8,9",,,,LocalTrainingEvent,,{},,,10,,,,,,,,,,2,,local_training,,,1749441789.070148,,,,1,,,
,,,,,ParameterTransferEvent,,,,,,,,9,1,,,,"{0: {'norm': 3.331740617752075, 'mean': 0.008874542079865932, 'std': 0.19612401723861694}, 1: {'norm': 3.331920862197876, 'mean': 0.008961979299783707, 'std': 0.1961306780576706}, 2: {'norm': 3.345407485961914, 'mean': 0.0093850027769804, 'std': 0.19690649211406708}, 3: {'norm': 3.340184450149536, 'mean': 0.009250729344785213, 'std': 0.19660472869873047}, 4: {'norm': 3.331740617752075, 'mean': 0.008874542079865932, 'std': 0.19612401723861694}, 5: {'norm': 3.331740617752075, 'mean': 0.008874542079865932, 'std': 0.19612401723861694}, 6: {'norm': 3.3434343338012695, 'mean': 0.009081955067813396, 'std': 0.19680432975292206}, 7: {'norm': 3.331740617752075, 'mean': 0.008874542079865932, 'std': 0.19612401723861694}, 8: {'norm': 3.3471338748931885, 'mean': 0.009181360714137554, 'std': 0.19701795279979706}, 9: {'norm': 3.331740617752075, 'mean': 0.008874542079865932, 'std': 0.19612401723861694}}",,2,"1,2,3,4,5,6,7,8,9",parameter_transfer,,0,1749441801.1237793,,,,,,,
,,0,,,AggregationEvent,,,,,,,10,,,,,,,"0,1,2,3,4,5,6,7,8,9",2,,aggregation,FedAvg,,1749441801.1238937,,,,,,,
,,,,,ModelUpdateEvent,,,,,,,,,,10,,2.9175063587285663,,,2,,model_update,,,1749441801.226054,,,,,,,"0,1,2,3,4,5,6,7,8,9"
0.685,,,,,EvaluationEvent,1.4356006923675537,"{'loss': 1.4356006923675537, 'accuracy': 0.685}",,,,,,,,,,,,,2,,evaluation,,,1749441801.5488715,,,,,,,
,"0,1,2,3,4,5,6,7,8,9",,,,LocalTrainingEvent,,{},,,10,,,,,,,,,,3,,local_training,,,1749441801.5489802,,,,1,,,
,,,,,ParameterTransferEvent,,,,,,,,9,1,,,,"{0: {'norm': 3.340411424636841, 'mean': 0.008805183693766594, 'std': 0.19663859903812408}, 1: {'norm': 3.335505485534668, 'mean': 0.009024284780025482, 'std': 0.19633924961090088}, 2: {'norm': 3.336580753326416, 'mean': 0.009239260107278824, 'std': 0.19639268517494202}, 3: {'norm': 3.355239152908325, 'mean': 0.008910141885280609, 'std': 0.19750849902629852}, 4: {'norm': 3.335505485534668, 'mean': 0.009024284780025482, 'std': 0.19633924961090088}, 5: {'norm': 3.335505485534668, 'mean': 0.009024284780025482, 'std': 0.19633924961090088}, 6: {'norm': 3.3430306911468506, 'mean': 0.0086973886936903, 'std': 0.19679787755012512}, 7: {'norm': 3.335505485534668, 'mean': 0.009024284780025482, 'std': 0.19633924961090088}, 8: {'norm': 3.342810869216919, 'mean': 0.008527640253305435, 'std': 0.1967923492193222}, 9: {'norm': 3.335505485534668, 'mean': 0.009024284780025482, 'std': 0.19633924961090088}}",,3,"1,2,3,4,5,6,7,8,9",parameter_transfer,,0,1749441812.8480659,,,,,,,
,,0,,,AggregationEvent,,,,,,,10,,,,,,,"0,1,2,3,4,5,6,7,8,9",3,,aggregation,FedAvg,,1749441812.8481753,,,,,,,
,,,,,ModelUpdateEvent,,,,,,,,,,10,,2.936757583018178,,,3,,model_update,,,1749441812.9548237,,,,,,,"0,1,2,3,4,5,6,7,8,9"
0.7027,,,,,EvaluationEvent,1.1701593858718873,"{'loss': 1.1701593858718873, 'accuracy': 0.7027}",,,,,,,,,,,,,3,,evaluation,,,1749441813.2849288,,,,,,,
