node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,64,PIPEDA,4,512,tier1_hospital,0.973,critical,50000
1,clinic_001,1000,tier_2,16,PIPEDA,4,64,tier2_hospital,0.901,standard,10000
2,research_center_002,10000,tier_3,256,local,32,256,research_center,0.996,standard,50000
3,mobile_unit_003,1000,tier_1,8,PIPEDA,1,64,mobile_unit,0.764,standard,5000
4,edge_device_004,50,tier_2,4,PIPEDA,1,32,edge_device,0.89,standard,2000
5,hospital_005,2000,tier_1,32,GDPR,16,128,tier1_hospital,0.985,standard,20000
6,clinic_006,5000,tier_2,16,HIPAA,8,128,tier2_hospital,0.901,high,5000
7,research_center_007,5000,tier_3,128,GDPR,32,512,research_center,0.985,critical,100000
8,mobile_unit_008,1000,tier_1,8,PIPEDA,1,16,mobile_unit,0.89,critical,2000
9,edge_device_009,100,tier_2,4,GDPR,1,16,edge_device,0.793,critical,1000
