node_id,city,country,latitude,longitude,region,timezone
0,Rochester,USA,44.053859,-92.450139,north_america,America/Chicago
1,Baltimore,USA,39.241876,-76.569031,europe,America/New_York
2,Palo Alto,USA,37.449266,-122.147187,asia_pacific,America/Los_Angeles
3,Boston,USA,42.386257,-71.025596,south_america,America/New_York
4,Los Angeles,USA,34.043134,-118.19483,africa,America/Los_Angeles
5,London,UK,51.524435,-0.131958,north_america,Europe/London
6,Paris,France,48.833682,2.3069,europe,Europe/Paris
7,Tokyo,Japan,35.668202,139.690573,asia_pacific,Asia/Tokyo
8,Singapore,Singapore,1.327379,103.77954,south_america,Asia/Singapore
9,Sydney,Australia,-33.870592,151.215596,africa,Australia/Sydney
10,Rochester,USA,44.025321,-92.469528,north_america,America/Chicago
11,Baltimore,USA,39.254134,-76.565172,europe,America/New_York
12,Palo Alto,USA,37.461514,-122.153588,asia_pacific,America/Los_Angeles
13,Boston,USA,42.36762,-71.025072,south_america,America/New_York
14,Los Angeles,USA,34.063652,-118.244673,africa,America/Los_Angeles
