edge,weight
0-1,111.8
0-2,877.04
0-3,867.23
0-4,4801.84
0-5,400.13
0-6,1884.74
0-7,100.58
0-8,1179.88
0-9,2399.3
0-10,458.13
0-11,571.42
0-12,530.36
0-13,2260.11
0-14,5876.61
1-2,842.63
1-3,491.46
1-4,1805.11
1-5,5745.45
1-6,858.53
1-7,4491.45
1-8,545.86
1-9,105.39
1-10,99.0
1-11,106.19
1-12,4977.44
1-13,2384.69
1-14,4827.87
2-3,1132.69
2-4,118.72
2-5,5564.61
2-6,1173.98
2-7,5934.86
2-8,2040.65
2-9,101.53
2-10,428.42
2-11,1055.84
2-12,88.95
2-13,473.81
2-14,5855.97
3-4,504.96
3-5,88.67
3-6,5001.71
3-7,5249.77
3-8,585.51
3-9,1087.27
3-10,1818.73
3-11,863.27
3-12,443.66
3-13,4342.53
3-14,5753.77
4-5,5622.95
4-6,114.38
4-7,1627.12
4-8,1117.28
4-9,802.69
4-10,841.24
4-11,583.18
4-12,110.24
4-13,5967.48
4-14,590.42
5-6,413.35
5-7,4461.77
5-8,560.94
5-9,544.2
5-10,116.4
5-11,593.67
5-12,1642.36
5-13,941.3
5-14,1609.46
6-7,815.37
6-8,96.83
6-9,423.22
6-10,407.23
6-11,88.78
6-12,102.96
6-13,84.64
6-14,847.93
7-8,85.9
7-9,2107.69
7-10,445.72
7-11,104.79
7-12,5559.63
7-13,5794.85
7-14,87.28
8-9,528.01
8-10,5199.47
8-11,104.54
8-12,1007.9
8-13,535.54
8-14,436.84
9-10,105.74
9-11,867.16
9-12,5419.31
9-13,1682.71
9-14,1714.19
10-11,5808.75
10-12,1018.8
10-13,593.48
10-14,423.84
11-12,2166.09
11-13,408.57
11-14,80.34
12-13,578.52
12-14,1075.53
13-14,420.99
