accuracy,active_nodes,aggregator_node,avg_bandwidth_mbps,current_epoch,event_type,loss,metrics,network_density,node_type_distribution,num_active_nodes,num_nodes,num_participating_nodes,num_source_nodes,num_target_nodes,num_updated_nodes,organizational_entities,param_convergence,param_summary,participating_nodes,round_num,source_nodes,step_name,strategy_name,target_nodes,timestamp,topology_type,total_cpu_cores,total_edges,total_epochs,total_gpus,total_memory_gb,updated_nodes
,,,4792.857142857143,,NetworkStructureEvent,,,1.0,"{'tier1_hospital': 2, 'tier2_hospital': 2, 'research_center': 1, 'mobile_unit': 1, 'edge_device': 1}",,7,,,,,5,,,,0,,network_structure,,,1749446571.662342,complete,460,21,,36,1096,
,,,,,InitialStateEvent,,,,,,7,,,,,,,,,0,,initial_state,,,1749446571.6624918,complete,,,,,,
0.10883674488267599,,,,,EvaluationEvent,1.8569804399655094,"{'loss': 1.8569804399655094, 'accuracy': 0.10883674488267599}",,,,,,,,,,,,,0,,evaluation,,,1749446586.7203207,,,,,,,
,"0,1,2,3,4,5,6",,,,LocalTrainingEvent,,{},,,7,,,,,,,,,,1,,local_training,,,1749446586.7204592,,,,1,,,
,,,,,ParameterTransferEvent,,,,,,,,1,6,,,,"{0: {'norm': 3.2085790634155273, 'mean': 0.004142079968005419, 'std': 0.10907946527004242}}",,1,0,parameter_transfer,,"1,2,3,4,5,6",1749446600.8375366,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,6,,,,"{1: {'norm': 3.2085790634155273, 'mean': 0.004142079968005419, 'std': 0.10907946527004242}}",,1,1,parameter_transfer,,"0,2,3,4,5,6",1749446600.8375978,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,6,,,,"{2: {'norm': 3.2085790634155273, 'mean': 0.004142079968005419, 'std': 0.10907946527004242}}",,1,2,parameter_transfer,,"0,1,3,4,5,6",1749446600.8376265,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,6,,,,"{3: {'norm': 3.2085790634155273, 'mean': 0.004142079968005419, 'std': 0.10907946527004242}}",,1,3,parameter_transfer,,"0,1,2,4,5,6",1749446600.837653,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,6,,,,"{4: {'norm': 3.207810401916504, 'mean': 0.004142812918871641, 'std': 0.10905326902866364}}",,1,4,parameter_transfer,,"0,1,2,3,5,6",1749446600.8376794,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,6,,,,"{5: {'norm': 3.2085790634155273, 'mean': 0.004142079968005419, 'std': 0.10907946527004242}}",,1,5,parameter_transfer,,"0,1,2,3,4,6",1749446600.8377047,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,6,,,,"{6: {'norm': 3.2085790634155273, 'mean': 0.004142079968005419, 'std': 0.10907946527004242}}",,1,6,parameter_transfer,,"0,1,2,3,4,5",1749446600.8377295,,,,,,,
