node_id,admin_level,certification,department,established_year,funding_source,institution_name,institution_type,staff_count
0,local,HIPAA_compliant,radiology,1951,public,mayo_clinic,tier1_hospital,3172
1,national,ISO27001,oncology,1985,private,johns_hopkins,tier2_hospital,2195
2,local,ISO27001,cardiology,1964,public,stanford_med,research_center,3858
3,national,SOC2,neurology,1956,mixed,mass_general,mobile_unit,974
4,international,HIPAA_compliant,pathology,1964,public,ucla_health,edge_device,2823
5,regional,FedRAMP,radiology,1967,private,mayo_clinic,tier1_hospital,3003
6,national,SOC2,oncology,1967,private,johns_hopkins,tier2_hospital,330
7,national,ISO27001,cardiology,1986,public,stanford_med,research_center,1945
8,national,SOC2,neurology,1979,research_grant,mass_general,mobile_unit,4486
9,local,ISO27001,pathology,1978,private,ucla_health,edge_device,2045
