accuracy,active_nodes,aggregator_node,avg_bandwidth_mbps,current_epoch,event_type,loss,metrics,network_density,node_type_distribution,num_active_nodes,num_nodes,num_participating_nodes,num_source_nodes,num_target_nodes,num_updated_nodes,organizational_entities,param_convergence,param_summary,participating_nodes,round_num,source_nodes,step_name,strategy_name,target_nodes,timestamp,topology_type,total_cpu_cores,total_edges,total_epochs,total_gpus,total_memory_gb,updated_nodes
,,,4500.0,,NetworkStructureEvent,,,1.0,"{'tier1_hospital': 2, 'tier2_hospital': 2, 'research_center': 1, 'mobile_unit': 1, 'edge_device': 1}",,7,,,,,5,,,,0,,network_structure,,,1749453034.6993892,complete,328,21,,79,1352,
,,,,,InitialStateEvent,,,,,,7,,,,,,,,,0,,initial_state,,,1749453034.699542,complete,,,,,,
0.10883674488267599,,,,,EvaluationEvent,1.9495609259522086,"{'loss': 1.9495609259522086, 'accuracy': 0.10883674488267599}",,,,,,,,,,,,,0,,evaluation,,,1749453048.7545521,,,,,,,
,"0,1,2,3,4,5,6",,,,LocalTrainingEvent,,{},,,7,,,,,,,,,,1,,local_training,,,1749453048.7546856,,,,1,,,
,,,,,ParameterTransferEvent,,,,,,,,1,6,,,,"{0: {'norm': 3.311852216720581, 'mean': 0.005056995898485184, 'std': 0.11255795508623123}}",,1,0,parameter_transfer,,"1,2,3,4,5,6",1749453056.5722036,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,6,,,,"{1: {'norm': 3.311852216720581, 'mean': 0.005056995898485184, 'std': 0.11255795508623123}}",,1,1,parameter_transfer,,"0,2,3,4,5,6",1749453056.5722759,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,6,,,,"{2: {'norm': 3.311852216720581, 'mean': 0.005056995898485184, 'std': 0.11255795508623123}}",,1,2,parameter_transfer,,"0,1,3,4,5,6",1749453056.5723047,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,6,,,,"{3: {'norm': 3.3154866695404053, 'mean': 0.005387480836361647, 'std': 0.11266641318798065}}",,1,3,parameter_transfer,,"0,1,2,4,5,6",1749453056.5723302,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,6,,,,"{4: {'norm': 3.311852216720581, 'mean': 0.005056995898485184, 'std': 0.11255795508623123}}",,1,4,parameter_transfer,,"0,1,2,3,5,6",1749453056.5723553,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,6,,,,"{5: {'norm': 3.3140482902526855, 'mean': 0.0049506910145282745, 'std': 0.1126374676823616}}",,1,5,parameter_transfer,,"0,1,2,3,4,6",1749453056.5723794,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,6,,,,"{6: {'norm': 3.311852216720581, 'mean': 0.005056995898485184, 'std': 0.11255795508623123}}",,1,6,parameter_transfer,,"0,1,2,3,4,5",1749453056.572404,,,,,,,
,,,,,AggregationEvent,,,,,,,7,,,,,,,"0,1,2,3,4,5,6",1,,aggregation,FedAvg,,1749453056.5724335,,,,,,,
,,,,,ModelUpdateEvent,,,,,,,,,,7,,488.95436036014183,,,1,,model_update,,,1749453057.3632698,,,,,,,"0,1,2,3,4,5,6"
0.10883674488267599,,,,,EvaluationEvent,1.9669795080952446,"{'loss': 1.9669795080952446, 'accuracy': 0.10883674488267599}",,,,,,,,,,,,,1,,evaluation,,,1749453057.8444896,,,,,,,
,"0,1,2,3,4,5,6",,,,LocalTrainingEvent,,{},,,7,,,,,,,,,,2,,local_training,,,1749453057.8446116,,,,1,,,
,,,,,ParameterTransferEvent,,,,,,,,1,6,,,,"{0: {'norm': 3.3119776248931885, 'mean': 0.005069265142083168, 'std': 0.1125616729259491}}",,2,0,parameter_transfer,,"1,2,3,4,5,6",1749453075.1001084,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,6,,,,"{1: {'norm': 3.3198914527893066, 'mean': 0.0039253393188118935, 'std': 0.1128767728805542}}",,2,1,parameter_transfer,,"0,2,3,4,5,6",1749453075.1001623,,,,,,,
,,,,,ParameterTransferEvent,,,,,,,,1,6,,,,"{2: {'norm': 3.3136913776397705, 'mean': 0.0035418912302702665, 'std': 0.1126784235239029}}",,2,2,parameter_transfer,,"0,1,3,4,5,6",1749453075.100193,,,,,,,
