activity_type,current_epoch,is_aggregator,metrics,param_convergence,round_num,strategy_name,timestamp,total_epochs
local_training,,,{},,1,,1749458618.5835822,1
aggregation,,False,,,1,GossipAvg,1749458629.2215235,
aggregation,,False,,,1,GossipAvg,1749458629.2215428,
aggregation,,False,,,1,GossipAvg,1749458629.221555,
aggregation,,False,,,1,GossipAvg,1749458629.2215664,
aggregation,,False,,,1,GossipAvg,1749458629.2215772,
aggregation,,False,,,1,GossipAvg,1749458629.221588,
aggregation,,False,,,1,GossipAvg,1749458629.2216027,
aggregation,,True,,,1,GossipAvg,1749458629.221614,
aggregation,,False,,,1,GossipAvg,1749458629.2216258,
aggregation,,False,,,1,GossipAvg,1749458629.2216358,
model_update,,,,2034.095885132674,1,,1749458636.863363,
local_training,,,{},,2,,1749458637.3458185,1
aggregation,,False,,,2,GossipAvg,1749458644.1010706,
aggregation,,False,,,2,GossipAvg,1749458644.1010864,
aggregation,,False,,,2,GossipAvg,1749458644.1010988,
aggregation,,False,,,2,GossipAvg,1749458644.1011095,
aggregation,,False,,,2,GossipAvg,1749458644.101121,
aggregation,,False,,,2,GossipAvg,1749458644.1011312,
aggregation,,False,,,2,GossipAvg,1749458644.1011412,
aggregation,,True,,,2,GossipAvg,1749458644.1011512,
aggregation,,False,,,2,GossipAvg,1749458644.1011615,
aggregation,,False,,,2,GossipAvg,1749458644.1011715,
model_update,,,,276.62780831484076,2,,1749458651.4891014,
local_training,,,{},,3,,1749458651.9626353,1
aggregation,,False,,,3,GossipAvg,1749458662.7013903,
aggregation,,False,,,3,GossipAvg,1749458662.7014077,
aggregation,,False,,,3,GossipAvg,1749458662.70142,
aggregation,,False,,,3,GossipAvg,1749458662.701431,
aggregation,,False,,,3,GossipAvg,1749458662.7014413,
aggregation,,False,,,3,GossipAvg,1749458662.701452,
aggregation,,False,,,3,GossipAvg,1749458662.7014623,
aggregation,,True,,,3,GossipAvg,1749458662.7014723,
aggregation,,False,,,3,GossipAvg,1749458662.7014842,
aggregation,,False,,,3,GossipAvg,1749458662.701494,
model_update,,,,2768.4201695332827,3,,1749458670.3044088,
