edge,weight
0-1,1614.29
0-2,108.12
0-3,2313.83
0-4,95.83
0-5,4401.42
0-6,497.32
0-7,87.63
0-8,107.31
0-9,535.47
1-2,1013.2
1-3,2302.7
1-4,92.65
1-5,89.19
1-6,806.97
1-7,5357.47
1-8,103.64
1-9,5251.9
2-3,575.68
2-4,4278.44
2-5,4573.72
2-6,1800.6
2-7,1831.49
2-8,108.12
2-9,573.27
3-4,5714.79
3-5,2023.12
3-6,4346.6
3-7,1136.12
3-8,111.19
3-9,4096.23
4-5,520.76
4-6,403.85
4-7,573.59
4-8,1045.9
4-9,2233.59
5-6,5320.64
5-7,117.14
5-8,534.92
5-9,1839.1
6-7,114.51
6-8,590.51
6-9,4400.07
7-8,5554.37
7-9,1196.92
8-9,509.75
