timestamp,round_num,total_clients,sampled_clients,num_sampled_clients,client_sampling_rate,actual_client_rate,data_sampling_rates,total_data_points,sampled_data_points,actual_data_rate
1753393815.3195662,1,10,"[3, 5, 2, 1, 8, 9, 4, 0]",8,0.8,0.8,"{3: 1.0, 5: 1.0, 2: 1.0, 1: 1.0, 8: 1.0, 9: 1.0, 4: 1.0, 0: 1.0}",,,
1753393844.378301,2,10,"[2, 0, 5, 8, 9, 1, 7, 3]",8,0.8,0.8,"{2: 1.0, 0: 1.0, 5: 1.0, 8: 1.0, 9: 1.0, 1: 1.0, 7: 1.0, 3: 1.0}",,,
1753393864.0080147,3,10,"[5, 6, 7, 3, 9, 1, 4, 2]",8,0.8,0.8,"{5: 1.0, 6: 1.0, 7: 1.0, 3: 1.0, 9: 1.0, 1: 1.0, 4: 1.0, 2: 1.0}",,,
1753393887.3040907,4,10,"[1, 6, 7, 9, 8, 5, 2, 4]",8,0.8,0.8,"{1: 1.0, 6: 1.0, 7: 1.0, 9: 1.0, 8: 1.0, 5: 1.0, 2: 1.0, 4: 1.0}",,,
1753393895.8490844,5,10,"[6, 8, 5, 9, 4, 2, 1, 0]",8,0.8,0.8,"{6: 1.0, 8: 1.0, 5: 1.0, 9: 1.0, 4: 1.0, 2: 1.0, 1: 1.0, 0: 1.0}",,,
1753393904.5896263,6,10,"[3, 9, 7, 2, 6, 0, 4, 1]",8,0.8,0.8,"{3: 1.0, 9: 1.0, 7: 1.0, 2: 1.0, 6: 1.0, 0: 1.0, 4: 1.0, 1: 1.0}",,,
1753393912.8587387,7,10,"[4, 6, 0, 5, 1, 7, 8, 9]",8,0.8,0.8,"{4: 1.0, 6: 1.0, 0: 1.0, 5: 1.0, 1: 1.0, 7: 1.0, 8: 1.0, 9: 1.0}",,,
1753393921.5267668,8,10,"[2, 7, 0, 9, 5, 1, 6, 4]",8,0.8,0.8,"{2: 1.0, 7: 1.0, 0: 1.0, 9: 1.0, 5: 1.0, 1: 1.0, 6: 1.0, 4: 1.0}",,,
1753393929.8708844,9,10,"[5, 9, 2, 8, 6, 1, 0, 7]",8,0.8,0.8,"{5: 1.0, 9: 1.0, 2: 1.0, 8: 1.0, 6: 1.0, 1: 1.0, 0: 1.0, 7: 1.0}",,,
1753393938.4685276,10,10,"[5, 9, 7, 4, 3, 0, 8, 2]",8,0.8,0.8,"{5: 1.0, 9: 1.0, 7: 1.0, 4: 1.0, 3: 1.0, 0: 1.0, 8: 1.0, 2: 1.0}",,,
