node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,128,PIPEDA,16,128,tier1_hospital,0.98,high,20000
1,clinic_001,1000,tier_2,64,PIPEDA,2,256,tier2_hospital,0.934,high,5000
2,research_center_002,5000,tier_3,64,local,16,256,research_center,0.983,critical,100000
3,mobile_unit_003,1000,tier_1,8,local,1,16,mobile_unit,0.753,high,2000
4,edge_device_004,100,tier_2,2,GDPR,1,16,edge_device,0.844,standard,500
5,hospital_005,10000,tier_1,128,HIPAA,4,512,tier1_hospital,0.972,critical,20000
6,clinic_006,2000,tier_2,32,GDPR,8,128,tier2_hospital,0.905,standard,20000
7,research_center_007,5000,tier_3,256,GDPR,8,256,research_center,0.982,high,100000
8,mobile_unit_008,500,tier_1,4,HIPAA,2,16,mobile_unit,0.881,standard,5000
9,edge_device_009,500,tier_2,4,GDPR,1,32,edge_device,0.742,standard,2000
