edge,weight
0-1,1120.2
0-2,2039.35
0-3,933.41
0-4,2062.09
0-5,457.84
0-6,1679.35
0-7,535.23
0-8,4960.82
0-9,422.19
0-10,841.75
0-11,95.23
0-12,413.6
0-13,519.0
0-14,95.72
0-15,501.83
0-16,1181.89
0-17,98.25
0-18,92.87
0-19,878.45
1-2,468.72
1-3,5131.75
1-4,1024.27
1-5,2322.46
1-6,507.38
1-7,90.72
1-8,1047.43
1-9,1087.9
1-10,453.96
1-11,4597.54
1-12,426.24
1-13,109.38
1-14,5500.69
1-15,1088.49
1-16,114.16
1-17,4633.59
1-18,896.29
1-19,105.8
2-3,5344.59
2-4,102.8
2-5,4543.53
2-6,95.78
2-7,5580.83
2-8,1002.99
2-9,1772.37
2-10,2089.34
2-11,1064.35
2-12,2160.63
2-13,2141.72
2-14,1912.52
2-15,4847.47
2-16,904.67
2-17,5297.94
2-18,1717.16
2-19,481.24
3-4,991.26
3-5,110.98
3-6,446.76
3-7,2344.01
3-8,1073.3
3-9,116.65
3-10,1000.75
3-11,529.65
3-12,2318.86
3-13,2198.51
3-14,554.7
3-15,88.71
3-16,501.58
3-17,1779.56
3-18,1170.08
3-19,1048.51
4-5,1607.9
4-6,5587.43
4-7,96.06
4-8,1014.13
4-9,109.46
4-10,1914.65
4-11,963.15
4-12,598.41
4-13,84.26
4-14,513.33
4-15,957.34
4-16,825.15
4-17,5537.17
4-18,429.48
4-19,1776.26
5-6,564.88
5-7,809.66
5-8,958.01
5-9,1066.75
5-10,4483.2
5-11,1884.55
5-12,1027.16
5-13,837.45
5-14,5849.86
5-15,561.36
5-16,4188.14
5-17,1175.23
5-18,4518.02
5-19,2318.88
6-7,4164.33
6-8,2310.27
6-9,838.87
6-10,448.14
6-11,1978.58
6-12,524.71
6-13,4886.3
6-14,1707.16
6-15,517.29
6-16,113.88
6-17,896.89
6-18,5559.97
6-19,116.28
7-8,979.57
7-9,887.49
7-10,1956.66
7-11,2307.24
7-12,81.76
7-13,5292.8
7-14,2015.4
7-15,400.52
7-16,85.83
7-17,2343.98
7-18,521.54
7-19,576.16
8-9,528.76
8-10,850.2
8-11,90.45
8-12,104.51
8-13,1039.34
8-14,587.23
8-15,92.3
8-16,2031.66
8-17,806.67
8-18,92.75
8-19,5954.98
9-10,96.12
9-11,1017.61
9-12,2209.25
9-13,96.12
9-14,2193.7
9-15,4210.28
9-16,447.46
9-17,524.38
9-18,1886.28
9-19,5294.68
10-11,1189.31
10-12,5424.35
10-13,5821.83
10-14,895.88
10-15,5835.31
10-16,5641.18
10-17,5269.6
10-18,4738.09
10-19,574.45
11-12,1998.89
11-13,5827.11
11-14,5140.82
11-15,2187.62
11-16,1808.22
11-17,964.95
11-18,116.21
11-19,1634.82
12-13,589.9
12-14,4203.21
12-15,107.02
12-16,1123.92
12-17,5449.62
12-18,536.7
12-19,2397.64
13-14,426.45
13-15,1055.76
13-16,2320.27
13-17,96.03
13-18,2398.41
13-19,85.63
14-15,2118.98
14-16,1995.26
14-17,2077.45
14-18,861.45
14-19,106.81
15-16,4422.3
15-17,92.01
15-18,2256.21
15-19,94.98
16-17,598.49
16-18,1061.41
16-19,2283.8
17-18,1635.42
17-19,2303.18
18-19,4555.06
