timestamp,round_num,node_id,parameter_norm,parameter_summary
1753389699.2250407,1,0,3.2997732162475586,"{'norm': 3.2997732162475586, 'mean': -0.009710900485515594, 'std': 0.11183976382017136}"
1753389699.2251706,1,1,3.7127633094787598,"{'norm': 3.7127633094787598, 'mean': -0.013728932477533817, 'std': 0.12556244432926178}"
1753389699.2252426,1,2,3.2805449962615967,"{'norm': 3.2805449962615967, 'mean': -0.009492618031799793, 'std': 0.11120198667049408}"
1753389699.225289,1,3,3.2805449962615967,"{'norm': 3.2805449962615967, 'mean': -0.009492618031799793, 'std': 0.11120198667049408}"
1753389699.2253263,1,4,3.7201569080352783,"{'norm': 3.7201569080352783, 'mean': -0.010299601592123508, 'std': 0.12614251673221588}"
1753389715.8748934,2,0,3.7075610160827637,"{'norm': 3.7075610160827637, 'mean': -0.01136679295450449, 'std': 0.12562057375907898}"
1753389715.874965,2,1,3.3891708850860596,"{'norm': 3.3891708850860596, 'mean': -0.01084684208035469, 'std': 0.11479059606790543}"
1753389715.8750048,2,2,3.3602020740509033,"{'norm': 3.3602020740509033, 'mean': -0.010197911411523819, 'std': 0.11386062204837799}"
1753389715.8750923,2,3,4.16533899307251,"{'norm': 4.16533899307251, 'mean': -0.013864008709788322, 'std': 0.14102789759635925}"
1753389715.8751323,2,4,4.147421836853027,"{'norm': 4.147421836853027, 'mean': -0.01121845468878746, 'std': 0.14065146446228027}"
1753389730.6729717,3,0,4.1607584953308105,"{'norm': 4.1607584953308105, 'mean': -0.013171649537980556, 'std': 0.1409377157688141}"
1753389730.6730433,3,1,3.6715919971466064,"{'norm': 3.6715919971466064, 'mean': -0.011654107831418514, 'std': 0.12436524033546448}"
1753389730.6731207,3,2,4.225566387176514,"{'norm': 4.225566387176514, 'mean': -0.012438692152500153, 'std': 0.1432175487279892}"
1753389730.6731575,3,3,4.62677526473999,"{'norm': 4.62677526473999, 'mean': -0.015556509606540203, 'std': 0.15663547813892365}"
1753389730.6731906,3,4,3.8000011444091797,"{'norm': 3.8000011444091797, 'mean': -0.011674134992063046, 'std': 0.1287504881620407}"
1753389738.9163094,4,0,4.018406391143799,"{'norm': 4.018406391143799, 'mean': -0.012945735827088356, 'std': 0.13609462976455688}"
1753389738.9163961,4,1,4.6415181159973145,"{'norm': 4.6415181159973145, 'mean': -0.016382480040192604, 'std': 0.1570555418729782}"
1753389738.9164374,4,2,4.096517562866211,"{'norm': 4.096517562866211, 'mean': -0.013181012123823166, 'std': 0.1387416273355484}"
1753389738.9164743,4,3,4.934946060180664,"{'norm': 4.934946060180664, 'mean': -0.014558442868292332, 'std': 0.1672578901052475}"
1753389738.916506,4,4,4.714890003204346,"{'norm': 4.714890003204346, 'mean': -0.014087327755987644, 'std': 0.15978401899337769}"
1753389746.821978,5,0,4.86671781539917,"{'norm': 4.86671781539917, 'mean': -0.013124937191605568, 'std': 0.16504806280136108}"
1753389746.8220587,5,1,5.0805864334106445,"{'norm': 5.0805864334106445, 'mean': -0.017083974555134773, 'std': 0.17199870944023132}"
1753389746.8221545,5,2,4.546253681182861,"{'norm': 4.546253681182861, 'mean': -0.014235719107091427, 'std': 0.15401016175746918}"
1753389746.8221903,5,3,4.618589401245117,"{'norm': 4.618589401245117, 'mean': -0.014388461597263813, 'std': 0.15646742284297943}"
1753389746.8222268,5,4,5.08150577545166,"{'norm': 5.08150577545166, 'mean': -0.01609746925532818, 'std': 0.17212523519992828}"
1753389754.7580314,6,0,4.810110569000244,"{'norm': 4.810110569000244, 'mean': -0.015072685666382313, 'std': 0.1629476547241211}"
1753389754.7581527,6,1,5.314759254455566,"{'norm': 5.314759254455566, 'mean': -0.016561102122068405, 'std': 0.1800517439842224}"
1753389754.758191,6,2,4.769920349121094,"{'norm': 4.769920349121094, 'mean': -0.01509875524789095, 'std': 0.16157203912734985}"
1753389754.7582257,6,3,5.357132434844971,"{'norm': 5.357132434844971, 'mean': -0.015016196295619011, 'std': 0.18163368105888367}"
1753389754.7582572,6,4,5.321411609649658,"{'norm': 5.321411609649658, 'mean': -0.01587025076150894, 'std': 0.18034115433692932}"
1753389762.7324643,7,0,5.101250648498535,"{'norm': 5.101250648498535, 'mean': -0.015563756227493286, 'std': 0.17284879088401794}"
1753389762.7325516,7,1,5.589139461517334,"{'norm': 5.589139461517334, 'mean': -0.015958664938807487, 'std': 0.18947550654411316}"
1753389762.7325895,7,2,5.445043087005615,"{'norm': 5.445043087005615, 'mean': -0.013805310241878033, 'std': 0.18472900986671448}"
1753389762.732623,7,3,5.812710762023926,"{'norm': 5.812710762023926, 'mean': -0.014673500321805477, 'std': 0.1972072869539261}"
1753389762.7326553,7,4,5.183267593383789,"{'norm': 5.183267593383789, 'mean': -0.015622748993337154, 'std': 0.17564493417739868}"
1753389770.5048308,8,0,5.683481693267822,"{'norm': 5.683481693267822, 'mean': -0.013909084722399712, 'std': 0.19285504519939423}"
1753389770.504937,8,1,5.458518981933594,"{'norm': 5.458518981933594, 'mean': -0.015141267329454422, 'std': 0.1850842833518982}"
1753389770.5049837,8,2,5.720909118652344,"{'norm': 5.720909118652344, 'mean': -0.01381216011941433, 'std': 0.1941385716199875}"
1753389770.5050192,8,3,5.889340400695801,"{'norm': 5.889340400695801, 'mean': -0.014765278436243534, 'std': 0.19981463253498077}"
1753389770.5050514,8,4,5.382288932800293,"{'norm': 5.382288932800293, 'mean': -0.015224405564367771, 'std': 0.18247517943382263}"
1753389778.5833526,9,0,5.896227836608887,"{'norm': 5.896227836608887, 'mean': -0.014581973664462566, 'std': 0.20006303489208221}"
1753389778.583422,9,1,5.589413642883301,"{'norm': 5.589413642883301, 'mean': -0.014780577272176743, 'std': 0.18958041071891785}"
1753389778.5834599,9,2,5.620820045471191,"{'norm': 5.620820045471191, 'mean': -0.014699364081025124, 'std': 0.19065837562084198}"
1753389778.583494,9,3,6.020850658416748,"{'norm': 6.020850658416748, 'mean': -0.01631373167037964, 'std': 0.20418281853199005}"
1753389778.5835261,9,4,5.868566036224365,"{'norm': 5.868566036224365, 'mean': -0.01630294695496559, 'std': 0.19898591935634613}"
1753389785.875548,10,0,6.065688610076904,"{'norm': 6.065688610076904, 'mean': -0.015200771391391754, 'std': 0.20579828321933746}"
1753389785.8756177,10,1,5.771317481994629,"{'norm': 5.771317481994629, 'mean': -0.015546097420156002, 'std': 0.19572778046131134}"
1753389785.8756564,10,2,6.057344436645508,"{'norm': 6.057344436645508, 'mean': -0.014996634796261787, 'std': 0.2055286467075348}"
1753389785.8756971,10,3,5.8440842628479,"{'norm': 5.8440842628479, 'mean': -0.015866050496697426, 'std': 0.19818571209907532}"
1753389785.8757315,10,4,6.120455741882324,"{'norm': 6.120455741882324, 'mean': -0.01555741485208273, 'std': 0.2076401263475418}"
