accuracy,active_nodes,actual_client_rate,actual_data_rate,aggregator_node,avg_bandwidth_mbps,batches_processed,client_sampling_rate,communication_savings_percent,computation_type,current_epoch,data_sampling_rates,epochs_completed,event_type,loss,metrics,network_density,node_id,node_type_distribution,num_active_nodes,num_nodes,num_participating_nodes,num_sampled_clients,num_source_nodes,num_target_nodes,num_updated_nodes,organizational_entities,param_convergence,param_summary,participating_nodes,resource_efficiency_score,round_completion_time,round_num,sampled_clients,sampled_clients_count,sampled_data_points,samples_processed,source_nodes,step_name,strategy_name,target_nodes,throughput_samples_per_sec,time_per_client,time_taken,timestamp,topology_type,total_clients,total_clients_involved,total_communication_bytes,total_computation_time,total_cpu_cores,total_data_points,total_edges,total_epochs,total_gpus,total_memory_gb,updated_nodes
,,,,,3720.0,,,,,,,,NetworkStructureEvent,,,0.2222222222222222,,"{'tier1_hospital': 2, 'tier2_hospital': 2, 'research_center': 2, 'mobile_unit': 2, 'edge_device': 2}",,10,,,,,,5,,,,,,0,,,,,,network_structure,,,,,,1753384476.53569,ring,,,,,498,,10,,78,2840,
,,,,,,,,,,,,,InitialStateEvent,,,,,,,10,,,,,,,,,,,,0,,,,,,initial_state,,,,,,1753384476.5358913,ring,,,,,,,,,,,
0.1,,,,,,,,,,,,,EvaluationEvent,2.482807050704956,"{'loss': 2.482807050704956, 'accuracy': 0.1}",,,,,,,,,,,,,,,,,0,,,,,,evaluation,,,,,,1753384480.94508,,,,,,,,,,,,
,"0,1,2,3,4,5,6,7,8,9",,,,,,,,,,,,LocalTrainingEvent,,{},,,,10,,,,,,,,,,,,,1,,,,,,local_training,,,,,,1753384480.9452834,,,,,,,,,3,,,
,,0.8,,,,,0.8,,,,"{3: 1.0, 0: 1.0, 5: 1.0, 4: 1.0, 2: 1.0, 7: 1.0, 8: 1.0, 6: 1.0}",,SamplingEvent,,,,,,,,,8,,,,,,,,,,1,"[3, 0, 5, 4, 2, 7, 8, 6]",,,,,resource_sampling,,,,,,1753384480.9454968,,10,,,,,,,,,,
,,,,,,0,,,training,,,0,ComputationTimeEvent,,,,-1,,,,,,,,,,,,,,,1,,,,0,,resource_computation_time,,,,,25.803357362747192,1753384506.7487204,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{0: {'norm': 3.334348201751709, 'mean': -0.005623303819447756, 'std': 0.11329736560583115}}",,,,1,,,,,0,parameter_transfer,,"9,1",,,,1753384506.9276545,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{1: {'norm': 3.3052594661712646, 'mean': -0.004953696392476559, 'std': 0.11233804374933243}}",,,,1,,,,,1,parameter_transfer,,"0,2",,,,1753384506.927731,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{2: {'norm': 3.3084585666656494, 'mean': -0.005133150145411491, 'std': 0.11243893951177597}}",,,,1,,,,,2,parameter_transfer,,"1,3",,,,1753384506.9277642,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{3: {'norm': 3.3720271587371826, 'mean': -0.005014711059629917, 'std': 0.11460904031991959}}",,,,1,,,,,3,parameter_transfer,,"2,4",,,,1753384506.9278057,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{4: {'norm': 3.3271026611328125, 'mean': -0.004397020675241947, 'std': 0.11310488730669022}}",,,,1,,,,,4,parameter_transfer,,"3,5",,,,1753384506.9278357,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{5: {'norm': 3.360369920730591, 'mean': -0.005593400448560715, 'std': 0.11418519169092178}}",,,,1,,,,,5,parameter_transfer,,"4,6",,,,1753384506.9278638,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{6: {'norm': 3.3109724521636963, 'mean': -0.004887493792921305, 'std': 0.1125354915857315}}",,,,1,,,,,6,parameter_transfer,,"5,7",,,,1753384506.9278898,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{7: {'norm': 3.321751356124878, 'mean': -0.0053367516957223415, 'std': 0.11288218945264816}}",,,,1,,,,,7,parameter_transfer,,"6,8",,,,1753384506.9279227,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{8: {'norm': 3.352158308029175, 'mean': -0.0057127512991428375, 'std': 0.11389957368373871}}",,,,1,,,,,8,parameter_transfer,,"7,9",,,,1753384506.9279485,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{9: {'norm': 3.3052594661712646, 'mean': -0.004953696392476559, 'std': 0.11233804374933243}}",,,,1,,,,,9,parameter_transfer,,"8,0",,,,1753384506.927973,,,,,,,,,,,,
,,,,0,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"0,9,1",,,1,,,,,,aggregation,GossipAvg,,,,,1753384506.9280076,,,,,,,,,,,,
,,,,1,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"1,0,2",,,1,,,,,,aggregation,GossipAvg,,,,,1753384506.928031,,,,,,,,,,,,
,,,,2,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"2,1,3",,,1,,,,,,aggregation,GossipAvg,,,,,1753384506.9280512,,,,,,,,,,,,
,,,,3,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"3,2,4",,,1,,,,,,aggregation,GossipAvg,,,,,1753384506.9280646,,,,,,,,,,,,
,,,,4,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"4,3,5",,,1,,,,,,aggregation,GossipAvg,,,,,1753384506.9280756,,,,,,,,,,,,
,,,,5,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"5,4,6",,,1,,,,,,aggregation,GossipAvg,,,,,1753384506.9281187,,,,,,,,,,,,
,,,,6,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"6,5,7",,,1,,,,,,aggregation,GossipAvg,,,,,1753384506.9281301,,,,,,,,,,,,
,,,,7,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"7,6,8",,,1,,,,,,aggregation,GossipAvg,,,,,1753384506.9281468,,,,,,,,,,,,
