timestamp,round_num,source_node,target_node,transfer_type,param_summary,strategy_name
1753384227.428391,1,0,9,parameter_transfer,"{'norm': 3.2844088077545166, 'mean': -0.0003178213373757899, 'std': 0.11173740029335022}",
1753384227.428391,1,0,1,parameter_transfer,"{'norm': 3.2844088077545166, 'mean': -0.0003178213373757899, 'std': 0.11173740029335022}",
1753384227.428469,1,1,0,parameter_transfer,"{'norm': 3.3527257442474365, 'mean': -0.0004854383005294949, 'std': 0.11406101286411285}",
1753384227.428469,1,1,2,parameter_transfer,"{'norm': 3.3527257442474365, 'mean': -0.0004854383005294949, 'std': 0.11406101286411285}",
1753384227.428503,1,2,1,parameter_transfer,"{'norm': 3.285104274749756, 'mean': -0.0003744529385585338, 'std': 0.11176089197397232}",
1753384227.428503,1,2,3,parameter_transfer,"{'norm': 3.285104274749756, 'mean': -0.0003744529385585338, 'std': 0.11176089197397232}",
1753384227.4285328,1,3,2,parameter_transfer,"{'norm': 3.3011856079101562, 'mean': -5.067360689281486e-06, 'std': 0.11230862140655518}",
1753384227.4285328,1,3,4,parameter_transfer,"{'norm': 3.3011856079101562, 'mean': -5.067360689281486e-06, 'std': 0.11230862140655518}",
1753384227.4285667,1,4,3,parameter_transfer,"{'norm': 3.2844088077545166, 'mean': -0.0003178213373757899, 'std': 0.11173740029335022}",
1753384227.4285667,1,4,5,parameter_transfer,"{'norm': 3.2844088077545166, 'mean': -0.0003178213373757899, 'std': 0.11173740029335022}",
1753384227.4285958,1,5,4,parameter_transfer,"{'norm': 3.4859659671783447, 'mean': -0.002021247986704111, 'std': 0.118577741086483}",
1753384227.4285958,1,5,6,parameter_transfer,"{'norm': 3.4859659671783447, 'mean': -0.002021247986704111, 'std': 0.118577741086483}",
1753384227.4286215,1,6,5,parameter_transfer,"{'norm': 3.4125709533691406, 'mean': -0.0011944842990487814, 'std': 0.11609187722206116}",
1753384227.4286215,1,6,7,parameter_transfer,"{'norm': 3.4125709533691406, 'mean': -0.0011944842990487814, 'std': 0.11609187722206116}",
1753384227.4286492,1,7,6,parameter_transfer,"{'norm': 3.287186622619629, 'mean': -0.00028765216120518744, 'std': 0.11183199286460876}",
1753384227.4286492,1,7,8,parameter_transfer,"{'norm': 3.287186622619629, 'mean': -0.00028765216120518744, 'std': 0.11183199286460876}",
1753384227.4286847,1,8,7,parameter_transfer,"{'norm': 3.641620635986328, 'mean': -0.0054471613839268684, 'std': 0.12377063930034637}",
1753384227.4286847,1,8,9,parameter_transfer,"{'norm': 3.641620635986328, 'mean': -0.0054471613839268684, 'std': 0.12377063930034637}",
1753384227.4287124,1,9,8,parameter_transfer,"{'norm': 3.2851364612579346, 'mean': -0.0003866423503495753, 'std': 0.11176193505525589}",
1753384227.4287124,1,9,0,parameter_transfer,"{'norm': 3.2851364612579346, 'mean': -0.0003866423503495753, 'std': 0.11176193505525589}",
1753384227.4287486,1,9,0,aggregation,,GossipAvg
1753384227.4287486,1,1,0,aggregation,,GossipAvg
1753384227.4287727,1,0,1,aggregation,,GossipAvg
1753384227.4287727,1,2,1,aggregation,,GossipAvg
1753384227.4287927,1,1,2,aggregation,,GossipAvg
1753384227.4287927,1,3,2,aggregation,,GossipAvg
1753384227.428807,1,2,3,aggregation,,GossipAvg
1753384227.428807,1,4,3,aggregation,,GossipAvg
1753384227.428819,1,3,4,aggregation,,GossipAvg
1753384227.428819,1,5,4,aggregation,,GossipAvg
1753384227.4288301,1,4,5,aggregation,,GossipAvg
1753384227.4288301,1,6,5,aggregation,,GossipAvg
1753384227.4288409,1,5,6,aggregation,,GossipAvg
1753384227.4288409,1,7,6,aggregation,,GossipAvg
1753384227.428854,1,6,7,aggregation,,GossipAvg
1753384227.428854,1,8,7,aggregation,,GossipAvg
1753384227.4288688,1,7,8,aggregation,,GossipAvg
1753384227.4288688,1,9,8,aggregation,,GossipAvg
1753384227.4288814,1,8,9,aggregation,,GossipAvg
1753384227.4288814,1,0,9,aggregation,,GossipAvg
1753384240.5849404,2,0,9,parameter_transfer,"{'norm': 3.576855421066284, 'mean': -0.0030249343253672123, 'std': 0.12164949625730515}",
1753384240.5849404,2,0,1,parameter_transfer,"{'norm': 3.576855421066284, 'mean': -0.0030249343253672123, 'std': 0.12164949625730515}",
1753384240.5850086,2,1,0,parameter_transfer,"{'norm': 3.806889533996582, 'mean': 0.0003392445214558393, 'std': 0.12951257824897766}",
1753384240.5850086,2,1,2,parameter_transfer,"{'norm': 3.806889533996582, 'mean': 0.0003392445214558393, 'std': 0.12951257824897766}",
1753384240.5850456,2,2,1,parameter_transfer,"{'norm': 3.337766170501709, 'mean': 0.00029862148221582174, 'std': 0.11355271935462952}",
1753384240.5850456,2,2,3,parameter_transfer,"{'norm': 3.337766170501709, 'mean': 0.00029862148221582174, 'std': 0.11355271935462952}",
1753384240.5851161,2,3,2,parameter_transfer,"{'norm': 3.290452003479004, 'mean': -0.00015054532559588552, 'std': 0.11194334179162979}",
1753384240.5851161,2,3,4,parameter_transfer,"{'norm': 3.290452003479004, 'mean': -0.00015054532559588552, 'std': 0.11194334179162979}",
1753384240.5851507,2,4,3,parameter_transfer,"{'norm': 3.517240285873413, 'mean': 0.0004031331045553088, 'std': 0.11965826898813248}",
