timestamp,round_num,node_id,parameter_norm,parameter_summary
1753378864.4339716,1,0,3.316601037979126,"{'norm': 3.316601037979126, 'mean': -0.00771694490686059, 'std': 0.11256884783506393}"
1753378864.4341118,1,1,3.2724013328552246,"{'norm': 3.2724013328552246, 'mean': -0.00896286778151989, 'std': 0.11096798628568649}"
1753378864.434172,1,2,3.2724013328552246,"{'norm': 3.2724013328552246, 'mean': -0.00896286778151989, 'std': 0.11096798628568649}"
1753378864.4342034,1,3,3.2724013328552246,"{'norm': 3.2724013328552246, 'mean': -0.00896286778151989, 'std': 0.11096798628568649}"
1753378864.4342318,1,4,3.2724013328552246,"{'norm': 3.2724013328552246, 'mean': -0.00896286778151989, 'std': 0.11096798628568649}"
1753378880.2749238,2,0,3.276106595993042,"{'norm': 3.276106595993042, 'mean': -0.00856746919453144, 'std': 0.1111256331205368}"
1753378880.274988,2,1,3.272601366043091,"{'norm': 3.272601366043091, 'mean': -0.008823812007904053, 'std': 0.11098594218492508}"
1753378880.2750306,2,2,3.27233624458313,"{'norm': 3.27233624458313, 'mean': -0.008910045027732849, 'std': 0.11097001284360886}"
1753378880.2750623,2,3,3.2723686695098877,"{'norm': 3.2723686695098877, 'mean': -0.008949543349444866, 'std': 0.11096794158220291}"
1753378880.275128,2,4,3.8306384086608887,"{'norm': 3.8306384086608887, 'mean': -0.009800058789551258, 'std': 0.12995195388793945}"
1753378894.129614,3,0,3.368450164794922,"{'norm': 3.368450164794922, 'mean': -0.00906132161617279, 'std': 0.1142381951212883}"
1753378894.1296751,3,1,3.2939164638519287,"{'norm': 3.2939164638519287, 'mean': -0.008929222822189331, 'std': 0.1117049977183342}"
1753378894.1297052,3,2,3.4824163913726807,"{'norm': 3.4824163913726807, 'mean': -0.010425852611660957, 'std': 0.11801457405090332}"
1753378894.1297333,3,3,3.3812310695648193,"{'norm': 3.3812310695648193, 'mean': -0.009251154959201813, 'std': 0.11465921252965927}"
1753378894.1297593,3,4,3.489664077758789,"{'norm': 3.489664077758789, 'mean': -0.009370647370815277, 'std': 0.11835039407014847}"
1753378901.2260437,4,0,3.6968610286712646,"{'norm': 3.6968610286712646, 'mean': -0.009247682988643646, 'std': 0.12542931735515594}"
1753378901.2261548,4,1,3.347867965698242,"{'norm': 3.347867965698242, 'mean': -0.009374468587338924, 'std': 0.11351032555103302}"
1753378901.226196,4,2,3.3823471069335938,"{'norm': 3.3823471069335938, 'mean': -0.00958500150591135, 'std': 0.11466988921165466}"
1753378901.226235,4,3,3.4151229858398438,"{'norm': 3.4151229858398438, 'mean': -0.00937835406512022, 'std': 0.1158057153224945}"
1753378901.2262695,4,4,3.420431613922119,"{'norm': 3.420431613922119, 'mean': -0.00929203536361456, 'std': 0.11599385738372803}"
