timestamp,round_num,total_clients,sampled_clients,num_sampled_clients,client_sampling_rate,actual_client_rate,data_sampling_rates,total_data_points,sampled_data_points,actual_data_rate
1753379930.6043599,1,5,"[3, 1]",2,0.4,0.4,"{3: 1.0, 1: 1.0}",,,
1753379962.6169498,2,5,"[1, 0]",2,0.4,0.4,"{1: 1.0, 0: 1.0}",,,
1753379993.0068872,3,5,"[0, 4]",2,0.4,0.4,"{0: 1.0, 4: 1.0}",,,
1753380023.8508718,4,5,"[4, 1]",2,0.4,0.4,"{4: 1.0, 1: 1.0}",,,
1753380032.5513003,5,5,"[4, 3]",2,0.4,0.4,"{4: 1.0, 3: 1.0}",,,
1753380041.5612223,6,5,"[4, 0]",2,0.4,0.4,"{4: 1.0, 0: 1.0}",,,
1753380049.8926091,7,5,"[2, 1]",2,0.4,0.4,"{2: 1.0, 1: 1.0}",,,
1753380075.813232,8,5,"[4, 3]",2,0.4,0.4,"{4: 1.0, 3: 1.0}",,,
1753380084.6664217,9,5,"[2, 0]",2,0.4,0.4,"{2: 1.0, 0: 1.0}",,,
1753380092.7785418,10,5,"[1, 2]",2,0.4,0.4,"{1: 1.0, 2: 1.0}",,,
