timestamp,round_num,total_clients,sampled_clients,num_sampled_clients,client_sampling_rate,actual_client_rate,data_sampling_rates,total_data_points,sampled_data_points,actual_data_rate
1753373867.1264567,1,10,"[4, 5, 2, 8]",4,0.4,0.4,"{4: 1.0, 5: 1.0, 2: 1.0, 8: 1.0}",,,
1753373894.9163094,2,10,"[8, 0, 4, 1]",4,0.4,0.4,"{8: 1.0, 0: 1.0, 4: 1.0, 1: 1.0}",,,
1753373922.7815692,3,10,"[9, 6, 8, 1]",4,0.4,0.4,"{9: 1.0, 6: 1.0, 8: 1.0, 1: 1.0}",,,
1753373947.3180203,4,10,"[6, 5, 4, 0]",4,0.4,0.4,"{6: 1.0, 5: 1.0, 4: 1.0, 0: 1.0}",,,
1753373953.123605,5,10,"[8, 5, 1, 2]",4,0.4,0.4,"{8: 1.0, 5: 1.0, 1: 1.0, 2: 1.0}",,,
1753373960.066544,6,10,"[7, 9, 2, 4]",4,0.4,0.4,"{7: 1.0, 9: 1.0, 2: 1.0, 4: 1.0}",,,
1753373980.443348,7,10,"[9, 1, 2, 8]",4,0.4,0.4,"{9: 1.0, 1: 1.0, 2: 1.0, 8: 1.0}",,,
1753373987.594524,8,10,"[0, 5, 2, 8]",4,0.4,0.4,"{0: 1.0, 5: 1.0, 2: 1.0, 8: 1.0}",,,
1753373994.6067758,9,10,"[8, 4, 7, 3]",4,0.4,0.4,"{8: 1.0, 4: 1.0, 7: 1.0, 3: 1.0}",,,
1753374019.8393106,10,10,"[8, 1, 0, 5]",4,0.4,0.4,"{8: 1.0, 1: 1.0, 0: 1.0, 5: 1.0}",,,
