accuracy,active_nodes,actual_client_rate,actual_data_rate,aggregator_node,avg_bandwidth_mbps,batches_processed,client_sampling_rate,communication_savings_percent,computation_type,current_epoch,data_sampling_rates,epochs_completed,event_type,loss,metrics,network_density,node_id,node_type_distribution,num_active_nodes,num_nodes,num_participating_nodes,num_sampled_clients,num_source_nodes,num_target_nodes,num_updated_nodes,organizational_entities,param_convergence,param_summary,participating_nodes,resource_efficiency_score,round_completion_time,round_num,sampled_clients,sampled_clients_count,sampled_data_points,samples_processed,source_nodes,step_name,strategy_name,target_nodes,throughput_samples_per_sec,time_per_client,time_taken,timestamp,topology_type,total_clients,total_clients_involved,total_communication_bytes,total_computation_time,total_cpu_cores,total_data_points,total_edges,total_epochs,total_gpus,total_memory_gb,updated_nodes
,,,,,2615.0,,,,,,,,NetworkStructureEvent,,,0.2,,"{'tier1_hospital': 2, 'tier2_hospital': 2, 'research_center': 2, 'mobile_unit': 2, 'edge_device': 2}",,10,,,,,,5,,,,,,0,,,,,,network_structure,,,,,,1753375671.2206411,star,,,,,348,,9,,79,2640,
,,,,,,,,,,,,,InitialStateEvent,,,,,,,10,,,,,,,,,,,,0,,,,,,initial_state,,,,,,1753375671.2208478,star,,,,,,,,,,,
0.0979,,,,,,,,,,,,,EvaluationEvent,2.3371497402191164,"{'loss': 2.3371497402191164, 'accuracy': 0.0979}",,,,,,,,,,,,,,,,,0,,,,,,evaluation,,,,,,1753375675.6721687,,,,,,,,,,,,
,"0,1,2,3,4,5,6,7,8,9",,,,,,,,,,,,LocalTrainingEvent,,{},,,,10,,,,,,,,,,,,,1,,,,,,local_training,,,,,,1753375675.6723611,,,,,,,,,3,,,
,,1.0,,,,,1.0,,,,"{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0}",,SamplingEvent,,,,,,,,,10,,,,,,,,,,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",,,,,resource_sampling,,,,,,1753375675.6724389,,10,,,,,,,,,,
,,,,,,0,,,training,,,0,ComputationTimeEvent,,,,-1,,,,,,,,,,,,,,,1,,,,0,,resource_computation_time,,,,,26.515111923217773,1753375702.1875608,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,9,1,,,,"{0: {'norm': 3.2522470951080322, 'mean': -0.00807610061019659, 'std': 0.11034855246543884}, 1: {'norm': 3.2615225315093994, 'mean': -0.006568944081664085, 'std': 0.11076463013887405}, 2: {'norm': 3.234117269515991, 'mean': -0.007618297357112169, 'std': 0.10976284742355347}, 3: {'norm': 3.244853973388672, 'mean': -0.006819168571382761, 'std': 0.11018134653568268}, 4: {'norm': 3.245643377304077, 'mean': -0.008350810967385769, 'std': 0.11010280251502991}, 5: {'norm': 3.2393341064453125, 'mean': -0.006459895987063646, 'std': 0.1100148856639862}, 6: {'norm': 3.2184317111968994, 'mean': -0.007374603766947985, 'std': 0.10924464464187622}, 7: {'norm': 3.2344799041748047, 'mean': -0.007541939150542021, 'std': 0.10978048294782639}, 8: {'norm': 3.2563765048980713, 'mean': -0.006907310802489519, 'std': 0.11056864261627197}, 9: {'norm': 3.2287323474884033, 'mean': -0.007466452196240425, 'std': 0.10958965867757797}}",,,,1,,,,,"1,2,3,4,5,6,7,8,9",parameter_transfer,,0,,,,1753375702.37087,,,,,,,,,,,,
,,,,0,,,,,,,,,AggregationEvent,,,,,,,,10,,,,,,,,"0,1,2,3,4,5,6,7,8,9",,,1,,,,,,aggregation,FedAvg,,,,,1753375702.3710454,,,,,,,,,,,,
,,,,,,,,,,,,,AggregationCostEvent,,,,,,,,,,,,,,,,,,,1,,,,,,resource_aggregation_cost,,,,,,1753375702.5562737,,,,,,,,,,,,
,,,,,,,,,,,,,ModelUpdateEvent,,,,,,,,,,,,10,,11.185617881988403,,,,,1,,,,,,model_update,,,,,,1753375702.60944,,,,,,,,,,,,"0,1,2,3,4,5,6,7,8,9"
0.1539,,,,,,,,,,,,,EvaluationEvent,2.2422284080505372,"{'loss': 2.2422284080505372, 'accuracy': 0.1539}",,,,,,,,,,,,,,,,,1,,,,,,evaluation,,,,,,1753375703.5733876,,,,,,,,,,,,
,,,,,,,,0.0,,,,,ResourceSummaryEvent,,,,,,,,,,,,,,,,,0.005515905824438722,27.901129007339478,1,,10,,,,resource_resource_summary,,,,2.7901129007339476,,1753375703.5734584,,,10,78383280,0,,,,,,,
,"0,1,2,3,4,5,6,7,8,9",,,,,,,,,,,,LocalTrainingEvent,,{},,,,10,,,,,,,,,,,,,2,,,,,,local_training,,,,,,1753375703.8491993,,,,,,,,,3,,,
,,1.0,,,,,1.0,,,,"{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0}",,SamplingEvent,,,,,,,,,10,,,,,,,,,,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",,,,,resource_sampling,,,,,,1753375703.8492608,,10,,,,,,,,,,
