timestamp,round_num,total_clients,sampled_clients,num_sampled_clients,client_sampling_rate,actual_client_rate,data_sampling_rates,total_data_points,sampled_data_points,actual_data_rate
1753375934.8387814,1,20,"[18, 1, 19, 10]",4,0.2,0.2,"{18: 1.0, 1: 1.0, 19: 1.0, 10: 1.0}",,,
1753375946.9525673,2,20,"[17, 14, 10, 0]",4,0.2,0.2,"{17: 1.0, 14: 1.0, 10: 1.0, 0: 1.0}",,,
1753375959.1162257,3,20,"[2, 1, 5, 9]",4,0.2,0.2,"{2: 1.0, 1: 1.0, 5: 1.0, 9: 1.0}",,,
1753375970.7252154,4,20,"[12, 7, 8, 15]",4,0.2,0.2,"{12: 1.0, 7: 1.0, 8: 1.0, 15: 1.0}",,,
1753375983.7117705,5,20,"[4, 15, 5, 17]",4,0.2,0.2,"{4: 1.0, 15: 1.0, 5: 1.0, 17: 1.0}",,,
1753375994.9384775,6,20,"[17, 1, 8, 18]",4,0.2,0.2,"{17: 1.0, 1: 1.0, 8: 1.0, 18: 1.0}",,,
1753375998.723599,7,20,"[4, 18, 17, 16]",4,0.2,0.2,"{4: 1.0, 18: 1.0, 17: 1.0, 16: 1.0}",,,
1753376010.0584478,8,20,"[3, 5, 0, 16]",4,0.2,0.2,"{3: 1.0, 5: 1.0, 0: 1.0, 16: 1.0}",,,
1753376021.9778333,9,20,"[14, 12, 9, 1]",4,0.2,0.2,"{14: 1.0, 12: 1.0, 9: 1.0, 1: 1.0}",,,
1753376026.5137968,10,20,"[16, 19, 13, 1]",4,0.2,0.2,"{16: 1.0, 19: 1.0, 13: 1.0, 1: 1.0}",,,
