node_id,latitude,longitude
0,44.030133,-92.513757
1,39.263765,-76.612693
2,37.399502,-122.187193
3,42.381697,-71.052176
4,34.05666,-118.256542
5,51.524461,-0.152229
6,48.813791,2.38839
7,35.666576,139.68477
8,1.313656,103.830379
9,-33.835739,151.243605
10,44.068662,-92.4832
11,39.269477,-76.606019
12,37.433475,-122.163546
13,42.355121,-71.083484
14,34.02201,-118.276622
15,51.484245,-0.132775
16,48.813349,2.349482
17,35.696465,139.684258
18,1.323218,103.800564
19,-33.872374,151.232665
