node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,32,PIPEDA,8,512,tier1_hospital,0.96,critical,50000
1,clinic_001,1000,tier_2,32,local,4,128,tier2_hospital,0.923,high,5000
2,research_center_002,10000,tier_3,128,GDPR,32,1024,research_center,0.993,high,20000
3,mobile_unit_003,1000,tier_1,8,GDPR,2,16,mobile_unit,0.854,high,5000
4,edge_device_004,500,tier_2,4,GDPR,0,16,edge_device,0.769,standard,2000
5,hospital_005,10000,tier_1,128,HIPAA,8,256,tier1_hospital,0.964,critical,10000
6,clinic_006,5000,tier_2,64,local,8,64,tier2_hospital,0.975,high,10000
7,research_center_007,5000,tier_3,128,GDPR,8,256,research_center,0.984,standard,20000
8,mobile_unit_008,100,tier_1,8,GDPR,1,16,mobile_unit,0.825,high,5000
9,edge_device_009,500,tier_2,2,GDPR,1,8,edge_device,0.812,critical,1000
