node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,64,GDPR,16,128,tier1_hospital,0.979,high,50000
1,clinic_001,2000,tier_2,32,HIPAA,8,128,tier2_hospital,0.969,standard,20000
2,research_center_002,10000,tier_3,256,HIPAA,8,512,research_center,0.995,standard,100000
3,mobile_unit_003,100,tier_1,16,local,2,16,mobile_unit,0.876,high,2000
4,edge_device_004,50,tier_2,4,HIPAA,1,8,edge_device,0.834,standard,2000
5,hospital_005,10000,tier_1,32,HIPAA,4,512,tier1_hospital,0.972,critical,50000
6,clinic_006,1000,tier_2,64,HIPAA,8,256,tier2_hospital,0.972,high,20000
7,research_center_007,20000,tier_3,256,HIPAA,32,256,research_center,0.983,critical,50000
8,mobile_unit_008,1000,tier_1,8,HIPAA,1,16,mobile_unit,0.806,critical,5000
9,edge_device_009,100,tier_2,8,HIPAA,0,16,edge_device,0.725,critical,500
