timestamp,round_num,total_clients,sampled_clients,num_sampled_clients,client_sampling_rate,actual_client_rate,data_sampling_rates,total_data_points,sampled_data_points,actual_data_rate
1753367415.2924936,1,20,"[5, 14, 10, 19, 7, 16, 6, 9]",8,0.4,0.4,"{5: 1.0, 14: 1.0, 10: 1.0, 19: 1.0, 7: 1.0, 16: 1.0, 6: 1.0, 9: 1.0}",,,
1753367435.6133435,2,20,"[5, 2, 19, 3, 4, 13, 11, 17]",8,0.4,0.4,"{5: 1.0, 2: 1.0, 19: 1.0, 3: 1.0, 4: 1.0, 13: 1.0, 11: 1.0, 17: 1.0}",,,
1753367452.4940128,3,20,"[17, 9, 15, 11, 8, 16, 1, 13]",8,0.4,0.4,"{17: 1.0, 9: 1.0, 15: 1.0, 11: 1.0, 8: 1.0, 16: 1.0, 1: 1.0, 13: 1.0}",,,
1753367468.787473,4,20,"[11, 5, 14, 18, 4, 7, 8, 2]",8,0.4,0.4,"{11: 1.0, 5: 1.0, 14: 1.0, 18: 1.0, 4: 1.0, 7: 1.0, 8: 1.0, 2: 1.0}",,,
1753367485.0595145,5,20,"[4, 3, 9, 14, 18, 10, 8, 12]",8,0.4,0.4,"{4: 1.0, 3: 1.0, 9: 1.0, 14: 1.0, 18: 1.0, 10: 1.0, 8: 1.0, 12: 1.0}",,,
1753367503.2096808,6,20,"[6, 1, 15, 7, 11, 2, 0, 16]",8,0.4,0.4,"{6: 1.0, 1: 1.0, 15: 1.0, 7: 1.0, 11: 1.0, 2: 1.0, 0: 1.0, 16: 1.0}",,,
1753367520.0171702,7,20,"[15, 18, 3, 5, 6, 12, 13, 1]",8,0.4,0.4,"{15: 1.0, 18: 1.0, 3: 1.0, 5: 1.0, 6: 1.0, 12: 1.0, 13: 1.0, 1: 1.0}",,,
1753367527.8601222,8,20,"[8, 15, 18, 16, 4, 3, 6, 1]",8,0.4,0.4,"{8: 1.0, 15: 1.0, 18: 1.0, 16: 1.0, 4: 1.0, 3: 1.0, 6: 1.0, 1: 1.0}",,,
1753367535.5530062,9,20,"[6, 13, 19, 7, 3, 17, 5, 8]",8,0.4,0.4,"{6: 1.0, 13: 1.0, 19: 1.0, 7: 1.0, 3: 1.0, 17: 1.0, 5: 1.0, 8: 1.0}",,,
1753367544.032675,10,20,"[9, 18, 7, 4, 15, 1, 16, 17]",8,0.4,0.4,"{9: 1.0, 18: 1.0, 7: 1.0, 4: 1.0, 15: 1.0, 1: 1.0, 16: 1.0, 17: 1.0}",,,
