edge,weight
0-1,4342.34
0-2,4468.53
0-3,2246.95
0-4,5077.88
0-5,86.96
0-6,873.34
0-7,863.37
0-8,460.4
0-9,5633.02
0-10,520.94
0-11,5874.86
0-12,112.77
0-13,106.55
0-14,452.56
0-15,104.65
0-16,584.82
0-17,433.48
0-18,514.56
0-19,1068.05
1-2,452.5
1-3,4776.86
1-4,4411.65
1-5,2130.54
1-6,1006.29
1-7,514.66
1-8,1055.3
1-9,596.07
1-10,5506.78
1-11,972.95
1-12,2238.96
1-13,1108.14
1-14,2019.06
1-15,115.4
1-16,1092.5
1-17,2012.5
1-18,1059.88
1-19,105.78
2-3,5137.68
2-4,965.73
2-5,421.99
2-6,854.07
2-7,2080.24
2-8,2182.36
2-9,2140.0
2-10,935.99
2-11,414.22
2-12,523.92
2-13,429.62
2-14,1997.07
2-15,4867.07
2-16,1992.15
2-17,104.13
2-18,83.42
2-19,469.35
3-4,84.68
3-5,992.54
3-6,5790.48
3-7,1730.14
3-8,1805.62
3-9,530.5
3-10,104.43
3-11,525.64
3-12,2281.06
3-13,4196.01
3-14,1142.9
3-15,4640.54
3-16,5712.14
3-17,1056.01
3-18,4241.86
3-19,923.18
4-5,459.24
4-6,1163.56
4-7,1047.84
4-8,850.62
4-9,982.68
4-10,86.71
4-11,1089.25
4-12,104.89
4-13,4829.38
4-14,2268.26
4-15,115.19
4-16,532.67
4-17,5694.16
4-18,4529.76
4-19,1136.31
5-6,1898.9
5-7,547.32
5-8,530.44
5-9,4006.96
5-10,860.07
5-11,1670.67
5-12,1782.54
5-13,84.19
5-14,488.99
5-15,2276.36
5-16,4984.37
5-17,923.42
5-18,902.0
5-19,4333.09
6-7,5280.61
6-8,443.49
6-9,1149.7
6-10,508.47
6-11,524.13
6-12,446.16
6-13,101.27
6-14,409.59
6-15,2274.61
6-16,2293.19
6-17,5651.51
6-18,5928.22
6-19,822.59
7-8,1082.77
7-9,4589.27
7-10,107.42
7-11,5376.62
7-12,90.68
7-13,1755.19
7-14,5154.69
7-15,995.06
7-16,104.0
7-17,5664.22
7-18,1030.31
7-19,541.2
8-9,5341.75
8-10,974.27
8-11,119.34
8-12,116.79
8-13,4179.75
8-14,4508.45
8-15,472.8
8-16,1891.8
8-17,5598.95
8-18,2257.97
8-19,97.49
9-10,957.88
9-11,488.63
9-12,5193.35
9-13,1124.95
9-14,2086.04
9-15,462.96
9-16,2007.22
9-17,5118.56
9-18,527.75
9-19,4737.89
10-11,4137.5
10-12,966.72
10-13,1972.11
10-14,987.08
10-15,2221.52
10-16,896.61
10-17,1049.52
10-18,1715.94
10-19,1973.84
11-12,5040.26
11-13,868.94
11-14,91.64
11-15,1786.33
11-16,80.9
11-17,1846.47
11-18,4538.12
11-19,898.27
12-13,118.38
12-14,972.58
12-15,547.02
12-16,928.18
12-17,4351.08
12-18,1632.64
12-19,1699.32
13-14,2333.03
13-15,4180.67
13-16,1155.74
13-17,514.41
13-18,1780.18
13-19,1083.91
14-15,105.46
14-16,5346.84
14-17,1704.39
14-18,551.45
14-19,509.64
15-16,1022.67
15-17,968.65
15-18,2068.15
15-19,424.77
16-17,545.52
16-18,1102.22
16-19,4051.3
17-18,93.45
17-19,855.29
18-19,538.04
