node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,128,HIPAA,4,512,tier1_hospital,0.974,high,20000
1,clinic_001,1000,tier_2,16,local,2,256,tier2_hospital,0.962,standard,10000
2,research_center_002,20000,tier_3,64,local,16,1024,research_center,0.985,high,100000
3,mobile_unit_003,1000,tier_1,8,GDPR,1,32,mobile_unit,0.815,high,1000
4,edge_device_004,100,tier_2,4,GDPR,0,16,edge_device,0.778,high,2000
5,hospital_005,2000,tier_1,32,HIPAA,4,512,tier1_hospital,0.963,critical,50000
6,clinic_006,2000,tier_2,64,GDPR,4,64,tier2_hospital,0.96,high,10000
7,research_center_007,10000,tier_3,256,local,16,1024,research_center,0.987,standard,20000
8,mobile_unit_008,1000,tier_1,8,PIPEDA,1,16,mobile_unit,0.754,critical,2000
9,edge_device_009,50,tier_2,8,HIPAA,0,16,edge_device,0.754,standard,1000
