accuracy,active_nodes,actual_client_rate,actual_data_rate,aggregator_node,avg_bandwidth_mbps,batches_processed,client_sampling_rate,communication_savings_percent,computation_type,current_epoch,data_sampling_rates,epochs_completed,event_type,loss,metrics,network_density,node_id,node_type_distribution,num_active_nodes,num_nodes,num_participating_nodes,num_sampled_clients,num_source_nodes,num_target_nodes,num_updated_nodes,organizational_entities,param_convergence,param_summary,participating_nodes,resource_efficiency_score,round_completion_time,round_num,sampled_clients,sampled_clients_count,sampled_data_points,samples_processed,source_nodes,step_name,strategy_name,target_nodes,throughput_samples_per_sec,time_per_client,time_taken,timestamp,topology_type,total_clients,total_clients_involved,total_communication_bytes,total_computation_time,total_cpu_cores,total_data_points,total_edges,total_epochs,total_gpus,total_memory_gb,updated_nodes
,,,,,3597.5,,,,,,,,NetworkStructureEvent,,,0.10526315789473684,,"{'tier1_hospital': 4, 'tier2_hospital': 4, 'research_center': 4, 'mobile_unit': 4, 'edge_device': 4}",,20,,,,,,5,,,,,,0,,,,,,network_structure,,,,,,1753359819.4021933,ring,,,,,1474,,20,,132,4656,
,,,,,,,,,,,,,InitialStateEvent,,,,,,,20,,,,,,,,,,,,0,,,,,,initial_state,,,,,,1753359819.4024103,ring,,,,,,,,,,,
0.0995,,,,,,,,,,,,,EvaluationEvent,2.3278689094543457,"{'loss': 2.3278689094543457, 'accuracy': 0.0995}",,,,,,,,,,,,,,,,,0,,,,,,evaluation,,,,,,1753359822.6536174,,,,,,,,,,,,
,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",,,,,,,,,,,,LocalTrainingEvent,,{},,,,20,,,,,,,,,,,,,1,,,,,,local_training,,,,,,1753359822.6538165,,,,,,,,,3,,,
,,0.4,,,,,0.4,,,,"{0: 1.0, 1: 1.0, 7: 1.0, 11: 1.0, 19: 1.0, 15: 1.0, 16: 1.0, 4: 1.0}",,SamplingEvent,,,,,,,,,8,,,,,,,,,,1,"[0, 1, 7, 11, 19, 15, 16, 4]",,,,,resource_sampling,,,,,,1753359822.6540918,,20,,,,,,,,,,
,,,,,,0,,,training,,,0,ComputationTimeEvent,,,,-1,,,,,,,,,,,,,,,1,,,,0,,resource_computation_time,,,,,7.9303460121154785,1753359830.5842516,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{0: {'norm': 4.39834451675415, 'mean': 0.021907933056354523, 'std': 0.25824737548828125}}",,,,1,,,,,0,parameter_transfer,,"19,1",,,,1753359830.8287868,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{1: {'norm': 4.404880523681641, 'mean': 0.018482228741049767, 'std': 0.2589012086391449}}",,,,1,,,,,1,parameter_transfer,,"0,2",,,,1753359830.8288617,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{2: {'norm': 3.316800832748413, 'mean': -0.011663940735161304, 'std': 0.19509601593017578}}",,,,1,,,,,2,parameter_transfer,,"1,3",,,,1753359830.8288944,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{3: {'norm': 3.316800832748413, 'mean': -0.011663940735161304, 'std': 0.19509601593017578}}",,,,1,,,,,3,parameter_transfer,,"2,4",,,,1753359830.8289247,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{4: {'norm': 4.660658359527588, 'mean': 0.013627458363771439, 'std': 0.2742936313152313}}",,,,1,,,,,4,parameter_transfer,,"3,5",,,,1753359830.8289516,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{5: {'norm': 3.316800832748413, 'mean': -0.011663940735161304, 'std': 0.19509601593017578}}",,,,1,,,,,5,parameter_transfer,,"4,6",,,,1753359830.8289773,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{6: {'norm': 3.316800832748413, 'mean': -0.011663940735161304, 'std': 0.19509601593017578}}",,,,1,,,,,6,parameter_transfer,,"5,7",,,,1753359830.8290014,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{7: {'norm': 4.494662761688232, 'mean': 0.039837583899497986, 'std': 0.26183730363845825}}",,,,1,,,,,7,parameter_transfer,,"6,8",,,,1753359830.8290267,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{8: {'norm': 3.316800832748413, 'mean': -0.011663940735161304, 'std': 0.19509601593017578}}",,,,1,,,,,8,parameter_transfer,,"7,9",,,,1753359830.8290849,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{9: {'norm': 3.316800832748413, 'mean': -0.011663940735161304, 'std': 0.19509601593017578}}",,,,1,,,,,9,parameter_transfer,,"8,10",,,,1753359830.829112,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{10: {'norm': 3.316800832748413, 'mean': -0.011663940735161304, 'std': 0.19509601593017578}}",,,,1,,,,,10,parameter_transfer,,"9,11",,,,1753359830.8291368,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{11: {'norm': 4.357705116271973, 'mean': 0.026860781013965607, 'std': 0.25537148118019104}}",,,,1,,,,,11,parameter_transfer,,"10,12",,,,1753359830.8291705,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{12: {'norm': 3.316800832748413, 'mean': -0.011663940735161304, 'std': 0.19509601593017578}}",,,,1,,,,,12,parameter_transfer,,"11,13",,,,1753359830.8291967,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{13: {'norm': 3.316800832748413, 'mean': -0.011663940735161304, 'std': 0.19509601593017578}}",,,,1,,,,,13,parameter_transfer,,"12,14",,,,1753359830.8292227,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{14: {'norm': 3.316800832748413, 'mean': -0.011663940735161304, 'std': 0.19509601593017578}}",,,,1,,,,,14,parameter_transfer,,"13,15",,,,1753359830.8292549,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{15: {'norm': 3.985164165496826, 'mean': 0.04748058691620827, 'std': 0.2299778312444687}}",,,,1,,,,,15,parameter_transfer,,"14,16",,,,1753359830.829365,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{16: {'norm': 4.364684104919434, 'mean': 0.05752982199192047, 'std': 0.25067463517189026}}",,,,1,,,,,16,parameter_transfer,,"15,17",,,,1753359830.8294032,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{17: {'norm': 3.316800832748413, 'mean': -0.011663940735161304, 'std': 0.19509601593017578}}",,,,1,,,,,17,parameter_transfer,,"16,18",,,,1753359830.8294303,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{18: {'norm': 3.316800832748413, 'mean': -0.011663940735161304, 'std': 0.19509601593017578}}",,,,1,,,,,18,parameter_transfer,,"17,19",,,,1753359830.8294547,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{19: {'norm': 3.896246910095215, 'mean': 0.04482068866491318, 'std': 0.2251710742712021}}",,,,1,,,,,19,parameter_transfer,,"18,0",,,,1753359830.8294806,,,,,,,,,,,,
,,,,0,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"0,19,1",,,1,,,,,,aggregation,GossipAvg,,,,,1753359830.8295155,,,,,,,,,,,,
,,,,1,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"1,0,2",,,1,,,,,,aggregation,GossipAvg,,,,,1753359830.8295424,,,,,,,,,,,,
