node_id,latitude,longitude
0,43.977186,-92.433391
1,39.294534,-76.622924
2,37.431264,-122.129212
3,42.401798,-71.039526
4,34.033501,-118.291711
5,51.487177,-0.100251
6,48.847659,2.33868
7,35.699319,139.693245
8,1.359893,103.809039
9,-33.876574,151.219942
10,44.05785,-92.445131
11,39.277413,-76.648297
12,37.478261,-122.138872
13,42.315971,-71.053006
14,34.087718,-118.287642
15,51.482677,-0.135103
16,48.849024,2.377024
17,35.691038,139.670799
18,1.360167,103.837431
19,-33.851464,151.216295
