activity_type,current_epoch,is_aggregator,metrics,param_convergence,round_num,strategy_name,timestamp,total_epochs
local_training,,,{},,1,,1753360788.1783032,3
aggregation,,False,,,1,GossipAvg,1753360797.3426652,
aggregation,,True,,,1,GossipAvg,1753360797.34268,
aggregation,,False,,,1,GossipAvg,1753360797.342694,
model_update,,,,49.116746258672364,1,,1753360798.1117787,
local_training,,,{},,2,,1753360798.6355748,3
aggregation,,False,,,2,GossipAvg,1753360806.2169323,
aggregation,,True,,,2,GossipAvg,1753360806.2169473,
aggregation,,False,,,2,GossipAvg,1753360806.2169616,
model_update,,,,48.863489656430346,2,,1753360806.9615061,
local_training,,,{},,3,,1753360807.4649386,3
aggregation,,False,,,3,GossipAvg,1753360810.706803,
aggregation,,True,,,3,GossipAvg,1753360810.7068183,
aggregation,,False,,,3,GossipAvg,1753360810.7068315,
model_update,,,,48.213082368679906,3,,1753360811.4432359,
local_training,,,{},,4,,1753360811.9847937,3
aggregation,,False,,,4,GossipAvg,1753360815.205148,
aggregation,,True,,,4,GossipAvg,1753360815.205163,
aggregation,,False,,,4,GossipAvg,1753360815.205177,
model_update,,,,48.21234523096168,4,,1753360815.9441662,
local_training,,,{},,5,,1753360816.4504027,3
aggregation,,False,,,5,GossipAvg,1753360819.443794,
aggregation,,True,,,5,GossipAvg,1753360819.443808,
aggregation,,False,,,5,GossipAvg,1753360819.44382,
model_update,,,,49.428062211868024,5,,1753360820.169754,
local_training,,,{},,6,,1753360820.671516,3
aggregation,,False,,,6,GossipAvg,1753360824.2626667,
aggregation,,True,,,6,GossipAvg,1753360824.2626815,
aggregation,,False,,,6,GossipAvg,1753360824.2626963,
model_update,,,,49.16910027383104,6,,1753360825.0005553,
local_training,,,{},,7,,1753360825.5023074,3
aggregation,,False,,,7,GossipAvg,1753360828.854883,
aggregation,,True,,,7,GossipAvg,1753360828.8548987,
aggregation,,False,,,7,GossipAvg,1753360828.8549123,
model_update,,,,50.28090175336773,7,,1753360829.5906034,
local_training,,,{},,8,,1753360830.0936918,3
aggregation,,False,,,8,GossipAvg,1753360833.202303,
aggregation,,True,,,8,GossipAvg,1753360833.2023172,
aggregation,,False,,,8,GossipAvg,1753360833.2023315,
model_update,,,,53.040067388813476,8,,1753360833.9379518,
local_training,,,{},,9,,1753360834.442111,3
aggregation,,False,,,9,GossipAvg,1753360838.0292256,
aggregation,,True,,,9,GossipAvg,1753360838.0292401,
aggregation,,False,,,9,GossipAvg,1753360838.0292535,
model_update,,,,53.304042327725895,9,,1753360838.7648802,
local_training,,,{},,10,,1753360839.277265,3
aggregation,,False,,,10,GossipAvg,1753360842.5032606,
aggregation,,True,,,10,GossipAvg,1753360842.5032783,
aggregation,,False,,,10,GossipAvg,1753360842.5032933,
model_update,,,,54.54231368451798,10,,1753360843.2359302,
